topic_group,distinct_source_quote_pairs,election_cases,shared_position,explicit_disagreement,different_mechanism,different_scope,different_strategy,different_emphasis,timing_unverified_pairs,comparison_ids,interpretation_limit
campaign_strategy_and_framing,102,58,9,0,0,1,11,81,31,co01-healthcare-passage-strategy-2026 | parent-mamdani-lander-explicit-priorities | fed24-bowman-latimer-framing | vt24-vyhovsky-ledbetter-funding-frame | vt24-vyhovsky-baruth-funding-frame | mo24-bush-bell-legislative-frame | mo24-bush-chappelle-legislative-frame | hi18-ing-fukumoto-strategy | hi18-ing-martin-strategy | hi18-ing-case-strategy | tx18-crowe-kopser-coalition | in18-canon-chatlos-experience | mo22-bush-roberts-activism | ny16-bowman-engel-priorities | ny16-bowman-fink-priorities | ny16-bowman-ravelo-priorities | ny16-bowman-engel-strategy | ny16-bowman-fink-strategy | ny16-bowman-ravelo-strategy | dc20-george-todd-strategy | dc20-george-edwards-strategy | ny22-alexis-mays-priorities | md22-socol-waldstreicher-progress | md22-socol-waldstreicher-strategy | tx24-garza-sylestine-record-frame | wi26-bennett-martinez-qualifications | az25-schubert-sinex-strategy | az25-schubert-rockafellow-budget | az25-schubert-rockafellow-homelessness | az25-schubert-sinex-homelessness | or26-fireside-huffman-strategy | pa23-leuba-oconnor-independence | ny24-shrestha-madden-strategy | ny24-shrestha-madden-donors | pa24-cass-blackwell-strategy | ny24-valdez-carmona-strategy | ny24-gallagher-simpkins-priorities | ny24-soto-benedetto-priorities | ny20-forrest-mosley-organizing | ny20-bowman-andom-strategy | mn22-freeberg-pappas-framing | ny24-aoc-dolan-local-global | frontier-lachenmeyer-puppolo-experience | frontier-shvets-zurenda-priorities | f2-langford-wolfson-reform | f2-shadduck-baker-priorities | f2-shadduck-baker-philosophy | ks20-portillo-willey-method | ks20-portillo-willey-recovery | ks20-reid-thellman-representation | tx20-sloan-oliver-donors | nc20-lockwood-price-organizing | ny17-elyateem-carroll-frame | ny17-elyateem-brannan-frame | ny17-elyateem-tong-frame | wi26-hong-barnes-priorities | wi26-hong-rodriguez-priorities | wi26-hong-brennan-priorities | wi26-hong-crowley-priorities | wi26-hong-roys-priorities | wi26-hong-barnes-bipartisan | wi26-hong-rodriguez-bipartisan | wi26-hong-brennan-bipartisan | wi26-hong-crowley-bipartisan | wi26-hong-roys-bipartisan | hpf20-sanders-yang-frame | hpf20-sanders-gleib-frame | hpf20-sanders-patrick-frame | hpf20-sanders-williamson-frame | az18-westbrook-tipirneni-health-frame | az18-westbrook-tipirneni-economic-frame | ny14-18-campaign-change-frame | ny18-nixon-cuomo-campaign-frame | il20-clark-davis-priority | il20-clark-davis-strategy | il20-clark-collins-priority | il20-clark-schanbacher-priority | il20-clark-schanbacher-strategy | il22-ahmed-raja-priorities | il22-ahmed-raja-access | md24-crooms-hoyer-framing | md24-crooms-bareebe-framing | ma20-uyterhoeven-sharp-strategy | ma20-callahan-barber-strategy | pa20-saval-farnese-strategy | tx20-garza-moore-reform-frame | tx20-garza-martinson-priorities | ny22-forrest-alabi-strategy | mn22-fateh-laden-labor-frame | pa23-celin-lozada-representation | frontier-hairston-parks-dignity | sw26-orkin-rajkumar-priorities | sw26-blackburn-wright-priorities | ma22-stanton-peake-governing | or20-canning-defazio-corporate-frame | or20-gamba-reynolds-priorities | ms18-bohren-baria-strategy | ms18-bohren-sherman-strategy | md26-acevero-lluberes-budget | md26-acevero-lopez-budget | md26-acevero-wims-budget | md26-acevero-wu-budget,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
civil_rights,3,3,3,0,0,0,0,0,1,cmp-mi12-abortion-access | tx20-sloan-oliver-equality | ma20-markey-kennedy-reparations,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
climate_environment,35,21,17,1,6,1,2,8,17,cmp-hb03-lee-wilcox-gnd | cmp-hb03-lee-blumenauer-climate | hp20-sanders-buttigieg-climate | hp20-sanders-delaney-climate | cmp-hd-16-val-hoyle | fed24-bowman-latimer-climate | hi18-ing-fukumoto-climate | ny16-bowman-engel-climate | ny16-bowman-fink-climate | pa23-mcdermott-klein-environment | wi26-bennett-benami-data-centers | wi26-bennett-castaneda-data-centers | wi26-bennett-martinez-data-centers | wi26-bennett-sullivan-data-centers | pa24-cass-blackwell-climate | ny20-bowman-andom-climate | frontier-kandil-monroe-extraction-revenue | hpf20-sanders-gleib-climate | cmp-ca26-chris-jacqui-renewable-energy | cmp-ca26-chris-sonia-ssfl-cleanup | cmp-hbr-or03-lee-barnett-climate | il20-clark-davis-climate | il22-ahmed-raja-climate | md24-crooms-hoyer-climate | md24-crooms-bareebe-climate | pa20-saval-farnese-fracking | pa23-celin-lozada-fossil-buildings | or20-canning-defazio-climate | or20-gamba-schrader-climate | tx20-sloan-oliver-gnd | ma20-markey-kennedy-climate | md26-acevero-lluberes-utilities | md26-acevero-lopez-utilities | md26-acevero-wims-utilities | md26-acevero-wu-utilities,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
democratic_reform,6,5,4,0,2,0,0,0,4,pa23-mcdermott-klein-resources | pa23-leuba-oconnor-transparency | il22-ahmed-raja-accountability | md24-crooms-hoyer-voting | md24-crooms-bareebe-voting | ma20-markey-kennedy-voting,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
development,5,2,2,0,0,0,1,2,5,cmp-hb14-crooms-dwight-development | cmp-hb14-crooms-walker-development | cmp-hb14-crooms-hardy-development | cmp-hb14-crooms-brown-development | cmp-hb17-development,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
economic_development,2,2,2,0,0,0,0,0,2,pa23-celin-lozada-public-bank | ky20-fenwick-mulvihill-waivers,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
economic_policy,1,1,0,0,0,0,1,0,0,ny20-aoc-caruso-relief,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
economic_security,2,1,0,0,2,0,0,0,0,hpf20-sanders-yang-income | hpf20-sanders-williamson-income,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
education,24,9,5,1,3,2,3,10,1,cmp-wi3-public-school-funding | hp16-college-agenda | hp20-sanders-buttigieg-college | cmp-rem-ct2-education | ma16-connolly-toomey-charters | pa24-cass-blackwell-charters | wi26-hong-barnes-schools | wi26-hong-rodriguez-schools | wi26-hong-brennan-schools | wi26-hong-crowley-schools | wi26-hong-roys-schools | wi26-hong-barnes-vouchers | wi26-hong-rodriguez-vouchers | wi26-hong-brennan-vouchers | wi26-hong-crowley-vouchers | wi26-hong-roys-vouchers | hpf20-sanders-gleib-college | hpf20-sanders-gleib-debt | hpf20-sanders-patrick-college | hpf20-sanders-bullock-schools | hpf20-sanders-williamson-debt | hpf20-sanders-williamson-college | az18-westbrook-tipirneni-education | cmp-hist-e-002,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
family_policy,1,1,1,0,0,0,0,0,1,cmp-hb12-childcare,"Counts of selected reviewed evidence, not prevalence among all candidates or whole campaigns. Reused national source pairs are deduplicated."
