race_id,election_year,election_date,state_code,office,jurisdiction,candidate_name,role,entity_kind,policy_evidence_required,reviewed_statements,reviewed_policy_positions,reviewed_campaign_frames,screened_sources,timing_qualified_sources,sources_needing_recovery_or_scope_review,coverage_status,full_platform_completeness,source_urls
race-1ebf8dc775ced8d30b89,2024,2024-03-05,CO,Democratic Presidential Primary,Statewide,Noncommitted Delegate,endorsed,endorsed_ballot_campaign,True,0,0,0,1,0,2,no_reviewed_excerpt,not_established,https://historicalelectiondata.coloradosos.gov/contest/25993 | https://web.archive.org/web/20240229103740/https://copalestine.co/vote-noncommitted | https://copalestine.co/
race-271730fa96966d7953eb,2020,2020-05-19,OR,President,Oregon,Miscellaneous,opponent,non_person_ballot_option,False,0,0,0,0,0,1,not_an_individual_platform_gap,not_established,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020
race-3b8f105d02f390f68f75,2024,2024-03-12,WA,Democratic Presidential Primary,Statewide,Uncommitted Delegates,endorsed,endorsed_ballot_campaign,True,0,0,0,0,0,3,no_reviewed_excerpt,not_established,https://results.vote.wa.gov/results/20240312 | https://uncommittedwa.org/ | https://www.uncommittedwa.org/faqs
race-5e5b97772655d92ca963,2020,2020-06-23,KY,President,Kentucky,"""Uncommitted""",opponent,non_person_ballot_option,False,0,0,0,0,0,2,not_an_individual_platform_gap,not_established,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020 | https://elect.ky.gov/results/2020-2029/Documents/primary20detail.txt
race-707589896734489b0382,2020,2020-03-10,MI,President,Michigan,Uncommitted,opponent,non_person_ballot_option,False,0,0,0,0,0,2,not_an_individual_platform_gap,not_established,https://results.vote.wa.gov/results/20200310/president-democratic-party.html | https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020
race-839b10104820793a268a,2024,2024-06-04,NJ,Democratic Presidential Primary,Statewide,Uncommitted NJ,endorsed,endorsed_ballot_campaign,True,0,0,0,0,0,3,no_reviewed_excerpt,not_established,https://www.nj.gov/state/elections/election-information-results.shtml | https://dsausa.org/ | https://www.dsausa.org/blog/putting-palestine-on-the-ballot-an-interview-with-uncommitted-new-jersey-organizers
race-9065e448b7091dd55686,2024,2024-03-05,MN,Democratic Presidential Primary,Statewide,Uncommitted,endorsed,endorsed_ballot_campaign,True,0,0,0,0,0,1,no_reviewed_excerpt,not_established,https://electionresults.sos.state.mn.us/20240305
race-97cfab5130640c94bcc2,2024,2024-04-02,CT,Democratic Presidential Primary,Statewide,Uncommitted,endorsed,endorsed_ballot_campaign,True,0,0,0,0,0,1,no_reviewed_excerpt,not_established,https://electionhistory.ct.gov/
race-c1bc1ffe72e97dc4e320,2020,2020-03-10,WA,President,Washington,Uncommitted Delegates,opponent,non_person_ballot_option,False,0,0,0,0,0,1,not_an_individual_platform_gap,not_established,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020
race-d48f1a508deba96b730b,2020,2020-06-02,DC,President,District of Columbia,Scattered,opponent,non_person_ballot_option,False,0,0,0,0,0,1,not_an_individual_platform_gap,not_established,https://www.fec.gov/introduction-campaign-finance/election-results-and-voting-information/federal-elections-2020
