race_id,election_date,candidate_name,office,jurisdiction,item_id,title,source_url,publication_date,updated_date,complete_body_path,status,first_published_by_election,updated_after_election
race-d2aabb75a31f1e810737,2026-06-23,Claire Valdez,US House,District 7,6a2d8466ba8bd24e6384f8fe,Candidate Answers to JOLDC: Claire Valdez for US Congress NY-07,https://jimowles.org/news/candidate-answers-to-joldc-claire-valdez-for-us-congress-ny-07-2026,2026-03-22,2026-06-13,data/raw/questionnaire_library/joldc/post-6a2d8466ba8bd24e6384f8fe-75c974377f69f6f0e7e0a3b56f87cb368a682a104ad4396a1eacb656a1057d08.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-d2aabb75a31f1e810737,2026-06-23,Julie Won,US House,District 7,6a25eca6d8c9092abdbd08cb,Candidate Answers to JOLDC: Julie Won for US Congress NY-07,https://jimowles.org/news/candidate-answers-to-joldc-julie-won-for-us-congress-ny-07-2026,2026-03-22,2026-06-07,data/raw/questionnaire_library/joldc/post-6a25eca6d8c9092abdbd08cb-6c522508e7117a07d58a2a9a617d175cf1706c2480835ebc09ce2a565d048cbb.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-d2aabb75a31f1e810737,2026-06-23,Antonio Reynoso,US House,District 7,6a2d896ea5bfda283e8367a1,Candidate Answers to JOLDC: Antonio Reynoso for US Congress NY-07,https://jimowles.org/news/candidate-answers-to-joldc-antonio-reynoso-for-us-congress-ny-07-2026,2026-03-22,2026-06-13,data/raw/questionnaire_library/joldc/post-6a2d896ea5bfda283e8367a1-cccbb3c542710653399ffbce532d5bb95754961c4c1d8a3f1c338ce81f06409e.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-64bde8b146c8826d40ce,2026-06-23,Adriano Espaillat,US House,District 13,6a165d9194b755418ab57eb3,Candidate Answers to JOLDC: Adriano Espaillat for US Congress NY-13,https://jimowles.org/news/candidate-answers-to-joldc-adriano-espaillat-for-us-congress-ny-13-2026,2026-03-22,2026-06-13,data/raw/questionnaire_library/joldc/post-6a165d9194b755418ab57eb3-40d0d6b7b23a0b37136467c330b093c21acd0ca04e4a3e34734cc5853faaed2c.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-a8714bfc41c3a8b6f98f,2026-06-23,Pia Rahman,State Assembly,District 37,6a2d8cd9a5357c1b9f317b0e,Candidate Answers to JOLDC: Pia Rahman for NY Assembly District 37,https://jimowles.org/news/candidate-answers-to-joldc-pia-rahman-for-ny-assembly-district-37-2026,2026-03-22,2026-06-13,data/raw/questionnaire_library/joldc/post-6a2d8cd9a5357c1b9f317b0e-d3f3099e1048d72e8de278a5d2cccbef95bd2a40fb094bc60c20180d316f6c88.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-39f265caadf4efc1cdd3,2026-06-23,David Orkin,State Assembly,District 38,6a2d726ec0ea63175eab006e,Candidate Answers to JOLDC: David Orkin for NY Assembly District 38,https://jimowles.org/news/candidate-answers-to-joldc-david-orkin-for-ny-assembly-district-38-2026,2026-03-22,2026-06-13,data/raw/questionnaire_library/joldc/post-6a2d726ec0ea63175eab006e-6d4f61ca07b16c6827417f93191fef92708cc7e172439aba7bfeabe9b3337ec6.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-3ecc1eb1bf0838801a6b,2026-06-23,Emily Gallagher,State Assembly,District 50,69c05746c501fc51342bc2a6,Candidate Answers to JOLDC: Emily Gallagher for NY Assembly District 50,https://jimowles.org/news/candidate-answers-to-joldc-emily-gallagher-for-ny-assembly-district-50-2026,2026-03-22,2026-03-23,data/raw/questionnaire_library/joldc/post-69c05746c501fc51342bc2a6-762a9da14215ad0fa2643a2cab082b360dab74b9c1f7975633a4c0c497d5361c.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-7d1d86d506cf06be54a0,2026-06-23,Christian Celeste Tate,State Assembly,District 54,69c013f9deb04c144dc13321,Candidate Answers to JOLDC: Christian Celeste Tate for NY Assembly District 54,https://jimowles.org/news/candidate-answers-to-joldc-christian-celeste-tate-for-ny-assembly-district-54-2026,2026-03-22,2026-03-23,data/raw/questionnaire_library/joldc/post-69c013f9deb04c144dc13321-5eac329e6ed8df58481c78140c47d19d2b34c5d633f4ba4b1c6d4d6409e7383e.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-8b7a8f7e7882f4f63dbb,2026-06-23,Eon Huntley,State Assembly,District 56,6a2d7d8b63e9523cf3f1c866,Candidate Answers to JOLDC: Eon Huntley for NY Assembly District 56,https://jimowles.org/news/candidate-answers-to-joldc-eon-huntley-for-ny-assembly-district-56-2026,2026-03-22,2026-06-13,data/raw/questionnaire_library/joldc/post-6a2d7d8b63e9523cf3f1c866-fb9911a2804aef67422e27525ad72056e2331f09cd5a9f81bb0813d3d093edb3.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
race-8b7a8f7e7882f4f63dbb,2026-06-23,Stefani L. Zinerman,State Assembly,District 56,69c052c3e2c87c2027db8c4a,Candidate Answers to JOLDC: Stefani L. Zinerman for NY Assembly District 56,https://jimowles.org/news/candidate-answers-to-joldc-stefani-l-zinerman-for-ny-assembly-district-56-2026,2026-03-22,2026-03-23,data/raw/questionnaire_library/joldc/post-69c052c3e2c87c2027db8c4a-d6be39b52341baa1115df7656e196e382bb8fa2135f19af8599c9d9a6ba232b1.html,discovery_lead_name_and_time_window_not_identity_or_policy_verification,True,False
