race_id,election_date,state_code,office,jurisdiction,endorsed_candidates,non_person_ballot_options,other_candidates,source_reviewed_candidates,unreviewed_candidates,comparison_count,documented_topics,policy_comparison_count,campaign_frame_comparison_count,agenda_comparison_count,unspecified_comparison_count,paired_evidence_types,agreements,differences_and_emphases,study_status,completeness,identity_review_alert,identity_review_notes
me-house-39-dem-primary-2016,2016-06-14,ME,State Representative District 39,Maine,Mike Sylvester,,Andrew Edwards,Andrew Edwards | Mike Sylvester,,0,,0,0,0,0,none,[],[],standalone_reviewed_evidence,not_a_complete_platform_census,,
national-rec0ntzcTu773zMP5-dem-primary,2023-05-16,PA,"Allegheny County Council, District 11",Allegheny County,Dennis McDermott,,Paul Klein,Dennis McDermott | Paul Klein,,4,climate_environment | democratic_reform | justice_and_public_safety | tax_budget,4,0,0,0,policy_position,"[{""pair"": ""Dennis McDermott / Paul Klein"", ""analysis"": ""Both explicitly oppose privatizing Shuman and want public accountability. The DSA endorsement is not evidence of an exclusive commitment to public ownership."", ""comparison_id"": ""pa23-mcdermott-klein-shuman""}, {""pair"": ""Dennis McDermott / Paul Klein"", ""analysis"": ""Both say council needs greater staff or resources. McDermott foregrounds advancing policy; Klein foregrounds oversight and deliberative responsibilities."", ""comparison_id"": ""pa23-mcdermott-klein-resources""}]","[{""pair"": ""Dennis McDermott / Paul Klein"", ""relationship"": ""different_emphasis"", ""analysis"": ""McDermott specifies wider fracking restrictions and clean transport; Klein stresses enforcing and strengthening pollution standards. The absence of a Klein fracking commitment here is not coded as opposition."", ""comparison_id"": ""pa23-mcdermott-klein-environment""}, {""pair"": ""Dennis McDermott / Paul Klein"", ""relationship"": ""different_emphasis"", ""analysis"": ""Both want a more equitable assessment system. McDermott specifies reassessment and protection against low-income displacement; Klein stresses a participatory committee-led overhaul."", ""comparison_id"": ""pa23-mcdermott-klein-assessments""}]",paired_reviewed_evidence,not_a_complete_platform_census,,
national-rec86L5cxZpX2cLlO-dem-primary,2018-06-26,CO,Boulder County Commissioner,Boulder County,Cliff Willmeng,,,,Cliff Willmeng,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
national-recAcpDZztXL02ym0-dem-primary,2021-09-14,CT,"Legislative Council, Hamden District 3",Hamden,Abdul Osmanu,,,,Abdul Osmanu,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
national-recDXw3CpyWrmjZpF-dem-primary,2026-08-04,MI,US Congress (MI-13),District 13,Donavan McKinney for Congress,,Shri Thanedar,,Donavan McKinney for Congress | Shri Thanedar,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,possible_duplicate_contest_requires_alias_review,"This national-import record names Donavan McKinney for Congress against Shri Thanedar for Michigan13 on August4,2026. The related reviewed record names Donavan McKinney for USHouse District13 on the same date. Treat these as suspected duplicate registry contexts, not independent campaigns; an explicit source-preserving alias resolution is still required before merging."
national-reccwrJN64S6TImp4-dem-primary,2018-06-12,ME,US Senate,Statewide,Zak Ringelstein,,,,Zak Ringelstein,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
national-recdSNsXy6cvCBnso-dem-primary,2021-06-22,NY,"Common Council, Ithaca Ward 1",Ithaca,Maddie Halpert,,,,Maddie Halpert,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
national-recfesuwYaOGwn0M1-dem-primary,2021-06-22,NY,"Common Council, Ithaca Ward 4",Ithaca,George Defendini,,,,George Defendini,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
national-rechYkbRdzk70pbun-dem-primary,2022-05-17,KY,"Louisville Metro Council, District 15",Louisville,Tyler Lamon,,,,Tyler Lamon,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
national-reciWW5o3Sg5OjAgj-dem-primary,2025-06-24,NY,"Alderperson Ward 1, Ithaca Common Council",Ithaca,Jorge DeFendini,,,,Jorge DeFendini,0,,0,0,0,0,none,[],[],not_source_reviewed,not_a_complete_platform_census,,
