race_id,candidate_name,document_id,source_race_id,source_url,final_url,source_type,publication_date,retrieved_at,raw_path,raw_sha256,source_review_status,source_issues,source_class,role_in_registry,priority
race-c05a1295eea5d13e296b,Brianna Westbrook,c7be6de3f2c0fcdd7878202f,race-c05a1295eea5d13e296b,https://gomag.com/article/trans-candidate-congress-next-danica-roem,https://gomag.com/article/trans-candidate-congress-next-danica-roem,candidate_interview,,2026-08-19T23:27:14.745909+00:00,data/raw/candidate_documents/c7be6de3f2c0fcdd7878202f/14220f70962db6118b3f8d9a575d38be39c2b034a06281d4e3c9e5301bef4b4d.html,14220f70962db6118b3f8d9a575d38be39c2b034a06281d4e3c9e5301bef4b4d,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,endorsed,0
race-c05a1295eea5d13e296b,Brianna Westbrook,12c612411b2971211db4971f,race-c05a1295eea5d13e296b,https://www.phoenixnewtimes.com/news/brianna-westbrook-wants-to-challenge-trent-franks-be-arizonas-first-transgender-congresswoman-9197499,https://www.phoenixnewtimes.com/news/brianna-westbrook-wants-to-challenge-trent-franks-be-arizonas-first-transgender-congresswoman-9197499/,candidate_interview,,2026-08-19T23:27:13.500688+00:00,data/raw/candidate_documents/12c612411b2971211db4971f/fdaf5ce6c5017b35479ab088ae8a1cf961cdfbf5e02bd306c4649073eb228d9e.html,09defb6d480c0940bac6c139df6ca3d156b9b21be2a202b86754a8ab97e9a618,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,endorsed,0
race-c05a1295eea5d13e296b,Hiral Tipirneni,2e0bb91edf572e383f726323,race-c05a1295eea5d13e296b,http://hiralforcongress.com/,https://web.archive.org/web/20170725180137id_/http://hiralforcongress.com/,campaign_website,,2026-08-19T23:29:21.224368+00:00,data/raw/candidate_documents/2e0bb91edf572e383f726323/358efffcd75375d595f93676a49674b81b8f21a99a8c44ebfd6a307e0c2174b6.com,358efffcd75375d595f93676a49674b81b8f21a99a8c44ebfd6a307e0c2174b6,screened_source_needs_semantic_review,,campaign_page,opponent,1
race-c05a1295eea5d13e296b,Hiral Tipirneni,44eb0a2625ddf795ac05448e,race-c05a1295eea5d13e296b,http://hiralforcongress.com/issues/economy,https://web.archive.org/web/20180118020724/http://hiralforcongress.com/issues/economy/,policy_page,2018-01-18,2026-08-20T02:05:58.428467+00:00,data/raw/candidate_documents/44eb0a2625ddf795ac05448e/2a50f4ba25205a2ada82540622197e94547b551fbabafedf83b4f149a4dd4d98.html,2a50f4ba25205a2ada82540622197e94547b551fbabafedf83b4f149a4dd4d98,screened_source_needs_semantic_review,,policy_page,opponent,1
race-c05a1295eea5d13e296b,Hiral Tipirneni,fb869bcb7631455f1cd88b36,race-c05a1295eea5d13e296b,http://hiralforcongress.com:80/issues/economy,https://web.archive.org/web/20171212203328/http://hiralforcongress.com/issues/economy/,policy_page,2017-12-12,2026-08-20T02:07:22.946928+00:00,data/raw/candidate_documents/fb869bcb7631455f1cd88b36/aec046813041ac05928d2fa41b946d3681aa098324d5e17b9b3309a3f17299d8.html,aec046813041ac05928d2fa41b946d3681aa098324d5e17b9b3309a3f17299d8,screened_source_needs_semantic_review,,policy_page,opponent,1
race-7b205412dcd5835f97f9,Fran Watson,139af05befc6b4213b3675be,race-7b205412dcd5835f97f9,https://texasleftist.com/2018/01/tlcq-2018-fran-watson,https://texasleftist.com/2018/01/tlcq-2018-fran-watson/,candidate_questionnaire,,2026-08-19T23:40:53.511477+00:00,data/raw/candidate_documents/139af05befc6b4213b3675be/8e1cb1de8e6ed30c49a1eeec77086a5bb6291e7118f411ece21227c03bc7b77f.html,e2da35cf9f25c622e517f35d592ca6446b912e94966533a4b2df36e41a359cd1,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,questionnaire,endorsed,0
race-7b205412dcd5835f97f9,Rita Lucido,21c48c941c4f5e9b87cadf78,race-7b205412dcd5835f97f9,https://web.archive.org/web/20180224062155id_/http://www.ritalucido.com/health_care,https://web.archive.org/web/20180224062155id_/http://www.ritalucido.com/health_care,archived_campaign_policy_page,2018-02-24,2026-08-21T03:51:03.332599+00:00,data/raw/candidate_documents/21c48c941c4f5e9b87cadf78/010e203aa04b7031704bb7596e0cc58a85cee68efd064fe4a4b185a829315fe8.html,f66f2c90e02f3c99f9e934e096bfa81fb42c22683d323bfcd400993597ba3d1c,screened_source_needs_semantic_review,,policy_page,opponent,1
race-026beb7df1654b4ca5c4,Robert L. Langford,1b87d601c5666e3025cc1181,race-026beb7df1654b4ca5c4,https://thenevadaindependent.com/article/on-the-record-the-policy-positions-of-democratic-clark-county-district-attorney-candidate-rob-langford,https://thenevadaindependent.com/article/on-the-record-the-policy-positions-of-democratic-clark-county-district-attorney-candidate-rob-langford,candidate_interview,,2026-08-19T23:41:02.334658+00:00,data/raw/candidate_documents/1b87d601c5666e3025cc1181/706c985b871006351d7c64e64afca9b223fe7113b590657a209d5b674886bbf5.html,aa4765184345f1e21b5b60c478f510754cb434217569ff3add8514fe66c7a62e,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,endorsed,0
race-026beb7df1654b4ca5c4,Steve Wolfson,dbd5ac4af608a6770ac976a0,race-026beb7df1654b4ca5c4,https://thenevadaindependent.com/article/on-the-record-the-policy-positions-of-clark-county-district-attorney-steve-wolfson,https://thenevadaindependent.com/article/on-the-record-the-policy-positions-of-clark-county-district-attorney-steve-wolfson,candidate_interview,,2026-08-19T23:49:24.197954+00:00,data/raw/candidate_documents/dbd5ac4af608a6770ac976a0/5ac83f6dd1a876ab713c49ffc2c1e061833886bfa2c53f56e7d2fec9c05887c1.html,60b1a52c52116c26dfb67eb94e7ebd60c8de168dabbe00763d11d304a0d5476c,source_requires_recovery_or_scope_review,undated_source_without_in_window_capture | mixed_speaker_source_requires_candidate_scope,interview,opponent,0
race-634e869e6260148d2f4a,Stephen Zappala Jr.,f0372521d353de824d991566,race-634e869e6260148d2f4a,https://www.pghcitypaper.com/pittsburgh/election-guide-allegheny-county-district-attorney/Content,https://web.archive.org/web/20190515144333id_/https://www.pghcitypaper.com/pittsburgh/election-guide-allegheny-county-district-attorney/Content?oid=14973316,candidate_questionnaire,,2026-08-19T23:49:50.454140+00:00,data/raw/candidate_documents/f0372521d353de824d991566/8b79298a734e72f57d396590457934cf64ff3ca78fbed90e6ee234c8c1e0f792.html,8b79298a734e72f57d396590457934cf64ff3ca78fbed90e6ee234c8c1e0f792,source_requires_recovery_or_scope_review,mixed_speaker_source_requires_candidate_scope,questionnaire,opponent,0
