excerpt_id,speaker,race_id,election_date,topic,quote,source_url,publication_date,quote_match_locators,source_sha256,reviewed,review_method,representation_kind,representation_review_notes,document_id,role,subtopic,stance,short_exact_quote,locator,notes,canonical_speaker,review_notes,archive_url,capture_date,temporal_evidence_date,ballot_name,ballot_party,identity_resolution,identity_evidence_ids,identity_review_notes,identity_source_ids,identity_evidence_type,comparison_scope,election_timing,timing_status,evidence_status,source_id,metadata_document_id,attribution_notes,election_identity_status,source_status,source_type,metadata_publication_date,publication_month,available_by_date,source_updated_date,version_timing_qualification,candidate_scoped_locators,identity_caveat,official_election_source,official_election_source_status,certified_opponents_status,replaced_source_document_id,candidate_document_registration,source_speaker,identity_review,claim_summary,answer_context
kiros-ice-2026-001,Melat Kiros,race-92d9ab18d64e4a42b737,2026-06-30,immigration,abolish ICE,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 109,b29c9287957583f0a4fceb51f624b6ee36ff3fc20ffac139b1790aa8a7582127,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-ice-2026-001,Wanda James,race-92d9ab18d64e4a42b737,2026-06-30,immigration,ICE should be abolished.,https://www.cpr.org/2026/05/18/cd-1-race-wanda-james-democrat-interview/,2026-05-18,paragraph 126,337f8bb0c7fa330e3fd25d8a3cf483041a651741db8fd7209ca6af6aa4f566ec,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiros-health-2026-001,Melat Kiros,race-92d9ab18d64e4a42b737,2026-06-30,healthcare,Medicare for All delivers us that universal healthcare coverage,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 105,b29c9287957583f0a4fceb51f624b6ee36ff3fc20ffac139b1790aa8a7582127,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degette-health-2026-001,Diana DeGette,race-92d9ab18d64e4a42b737,2026-06-30,healthcare,moving towards a single payer system,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,2026-05-18,paragraph 81,3b3b807ff5b2c053e58c0df2e86b87c5036ec4dd2d5a39d41e5d98797f4b5237,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiros-arms-2026-001,Melat Kiros,race-92d9ab18d64e4a42b737,2026-06-30,foreign_policy,we need a full arms embargo,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 122,b29c9287957583f0a4fceb51f624b6ee36ff3fc20ffac139b1790aa8a7582127,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degette-arms-2026-001,Diana DeGette,race-92d9ab18d64e4a42b737,2026-06-30,foreign_policy,we should not be giving offensive weapons to Israel,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,2026-05-18,paragraph 110,3b3b807ff5b2c053e58c0df2e86b87c5036ec4dd2d5a39d41e5d98797f4b5237,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiros-strategy-2026-001,Melat Kiros,race-92d9ab18d64e4a42b737,2026-06-30,political_strategy,electing people who refuse corporate PAC money,https://www.cpr.org/2026/05/18/cd-1-race-melat-kiros-democrat-interview/,2026-05-18,paragraph 84,b29c9287957583f0a4fceb51f624b6ee36ff3fc20ffac139b1790aa8a7582127,false,assistant_source_review_not_independent_human_gold,campaign_frame,"These statements describe a route to political change or how a candidate would exercise representation: donor-independent coalitions, committee leverage, or federal-local coordination, rather than a distinct substantive policy instrument.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degette-strategy-2026-001,Diana DeGette,race-92d9ab18d64e4a42b737,2026-06-30,political_strategy,I will have a gavel. I will have subpoena power.,https://www.cpr.org/2026/05/18/cd-1-race-diana-degette-democrat-interview/,2026-05-18,paragraph 113,3b3b807ff5b2c053e58c0df2e86b87c5036ec4dd2d5a39d41e5d98797f4b5237,false,assistant_source_review_not_independent_human_gold,campaign_frame,"These statements describe a route to political change or how a candidate would exercise representation: donor-independent coalitions, committee leverage, or federal-local coordination, rather than a distinct substantive policy instrument.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ex-ny7-claire-labor-1,Claire Valdez,race-d2aabb75a31f1e810737,2026-06-23,labor,"Strengthen and pass the PRO Act, establish active federal support for union organizing, and end “at will” employment",https://clairevaldezforcongress.com/issues,,paragraph 14,c0efaf4fcf38d55cae4842b1df4e46851bbe850b0296e49790385279a0357a8d,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ny7-claire-issues-20260613,endorsed_candidate,union_power,support,"Strengthen and pass the PRO Act, establish active federal support for union organizing, and end “at will” employment","Unions for All > In Congress, Claire will fight to, first bullet",Campaign-authored platform language attributed to Claire; navigation and surrounding promotional copy excluded.,Claire Valdez,Assistant source review; Campaign-authored platform language attributed to Claire; navigation and surrounding promotional copy excluded.,https://web.archive.org/web/20260613064424id_/https://clairevaldezforcongress.com/issues,2026-06-13,2026-06-13,Claire Valdez,Democratic,exact_case_insensitive_match,,,nyc-2026-cd07-dem,official_returns,democratic_primary,past_scheduled_date,verified_archive_capture,,,,,,,,,,,,,,,,,,,,,,,
ex-ny7-reynoso-labor-1,Antonio Reynoso,race-d2aabb75a31f1e810737,2026-06-23,labor,"a worker-first economy that empowers unions, promotes living wages, and allows Americans to lead balanced, dignified lives",https://politicsny.com/2026/05/22/campaign-insiders-a-qa-with-ny-7-candidate-antonio-reynoso/,2026-05-22,paragraph 135,ec8efd260710ef38aa16524140ff93c94c76b7923ac17f7c4ba7e5f83bc497bc,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ny7-reynoso-politicsny-20260522,opponent_candidate,union_power,support,"a worker-first economy that empowers unions, promotes living wages, and allows Americans to lead balanced, dignified lives","Question: top issue facing voters; Reynoso answer, final sentence",Only Reynoso answer text; interviewer question excluded.,Antonio Reynoso,Assistant source review; Only Reynoso answer text; interviewer question excluded.,,,2026-05-22,Antonio Reynoso,Democratic,exact_case_insensitive_match,,,nyc-2026-cd07-dem,official_returns,democratic_primary,past_scheduled_date,verified_publication_date,,,,,,,,,,,,,,,,,,,,,,,
