race_id,candidate,attempted_url,outcome,notes,url,raw_path,source_candidate_name,gap_kind,metadata_document_id,lead_index,role,resolution
race-d2aabb75a31f1e810737,Julie Won,https://www.juliewon.com/immigration,excluded_undated_current_page,,https://www.juliewon.com/immigration,data/raw/policy_ny_2026/julie-won-immigration-undated-current.html,Julie Won,,,,,
race-d2aabb75a31f1e810737,Julie Won,https://www.nycvotes.org/eFCandidateList/renderCandidateProfile?candidateId=V1722&electionCycle=2026&officeType=10&partyId=D&geoAreaAbbr=07&officelevel=3&languageType=en-US&umbracoPageId=5512,recovered_timing_unverified,,https://www.nycvotes.org/eFCandidateList/renderCandidateProfile?candidateId=V1722&electionCycle=2026&officeType=10&partyId=D&geoAreaAbbr=07&officelevel=3&languageType=en-US&umbracoPageId=5512,data/raw/policy_ny_2026/julie-won-nycvotes-profile-fragment.html,Julie Won,,,,,
race-d2aabb75a31f1e810737,Vichal Kumar,,initial_unresolved_discovery_gap,,,,Vichal Kumar,,,,,
race-d2aabb75a31f1e810737,Vichal Kumar,https://www.nycvotes.org/eFCandidateList/renderCandidateProfile?candidateId=V1646&electionCycle=2026&officeType=10&partyId=D&geoAreaAbbr=07&officelevel=3&languageType=en-US&umbracoPageId=5512,recovered_timing_unverified,,https://www.nycvotes.org/eFCandidateList/renderCandidateProfile?candidateId=V1646&electionCycle=2026&officeType=10&partyId=D&geoAreaAbbr=07&officelevel=3&languageType=en-US&umbracoPageId=5512,data/raw/policy_ny_2026/vichal-kumar-nycvotes-profile-fragment.html,Vichal Kumar,,,,,
race-64bde8b146c8826d40ce,Oscar J. Romero Jr.,,initial_unresolved_discovery_gap,,,,Oscar J. Romero Jr.,,,,,
race-64bde8b146c8826d40ce,Oscar J. Romero Jr.,https://www.nycvotes.org/eFCandidateList/renderCandidateProfile?candidateId=V1749&electionCycle=2026&officeType=10&partyId=D&geoAreaAbbr=13&officelevel=3&languageType=en-US&umbracoPageId=5512,recovered_timing_unverified,,https://www.nycvotes.org/eFCandidateList/renderCandidateProfile?candidateId=V1749&electionCycle=2026&officeType=10&partyId=D&geoAreaAbbr=13&officelevel=3&languageType=en-US&umbracoPageId=5512,data/raw/policy_ny_2026/oscar-romero-nycvotes-profile-fragment.html,Oscar J. Romero Jr.,,,,,
race-4d9e32ed7f0d618a96ce,Felipe Garcia,https://www.garcia2026.net/,excluded_undated_post_primary_retrieval,,https://www.garcia2026.net/,data/raw/policy_ny_2026/felipe-garcia-campaign.html,Felipe Garcia,,,,,
race-4d9e32ed7f0d618a96ce,Felipe Garcia,https://www.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Felipe+Garcia&candidateId=V1752&electionCycle=2026&geoAreaAbbr=14&partyId=D,profile_shell_missing_answers,,https://www.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Felipe+Garcia&candidateId=V1752&electionCycle=2026&geoAreaAbbr=14&partyId=D,data/raw/policy_ny_2026/felipe-garcia-nyc-votes-2026-primary.html,Felipe Garcia,,,,,
race-4d9e32ed7f0d618a96ce,Felipe Garcia,https://www.nycvotes.org/eFCandidateList/renderCandidateProfile?candidateId=V1752&electionCycle=2026&officeType=10&partyId=D&geoAreaAbbr=14&officelevel=3&languageType=en-US&umbracoPageId=5512,recovered_timing_unverified,,https://www.nycvotes.org/eFCandidateList/renderCandidateProfile?candidateId=V1752&electionCycle=2026&officeType=10&partyId=D&geoAreaAbbr=14&officelevel=3&languageType=en-US&umbracoPageId=5512,data/raw/policy_ny_2026/felipe-garcia-nycvotes-profile-fragment.html,Felipe Garcia,,,,,
race-64bde8b146c8826d40ce,Theo Bruce Chino-Tavarez,https://onyourballot.vote411.org/m/candidate-detail.do?id=72529590,route_gateway_or_program_error,,https://onyourballot.vote411.org/m/candidate-detail.do?id=72529590,,Theo Bruce Chino-Tavarez,,,,,
