excerpt_id,speaker,race_id,election_date,topic,quote,source_url,publication_date,quote_match_locators,source_sha256,reviewed,review_method,representation_kind,representation_review_notes,document_id,role,subtopic,stance,short_exact_quote,locator,notes,canonical_speaker,review_notes,archive_url,capture_date,temporal_evidence_date,ballot_name,ballot_party,identity_resolution,identity_evidence_ids,identity_review_notes,identity_source_ids,identity_evidence_type,comparison_scope,election_timing,timing_status,evidence_status,source_id,metadata_document_id,attribution_notes,election_identity_status,source_status,source_type,metadata_publication_date,publication_month,available_by_date,source_updated_date,version_timing_qualification,candidate_scoped_locators,identity_caveat,official_election_source,official_election_source_status,certified_opponents_status,replaced_source_document_id,candidate_document_registration,source_speaker,identity_review,claim_summary,answer_context,identity_evidence_document_ids
ex-ny7-julie-immigration-1,Julie Won,race-d2aabb75a31f1e810737,2026-06-23,immigration,"In Congress I will abolish ICE, end family separation, and protect families like ours",https://bengali.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Julie+Won&candidateId=V1722&electionCycle=2026&geoAreaAbbr=07&partyId=D,,paragraph 25,4d9decd022591529b146eb1e07459f5fe2c2f7c18cbd7b448a4d33c965220ac3,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ny7-julie-won-nycvotes-2026,opponent_candidate,abolish_ice,support,"In Congress I will abolish ICE, end family separation, and protect families like ours",Candidate profile > Issues > Immigration,Candidate-submitted NYC Votes answer; guide labels and question headings excluded.,Julie Won,Assistant source review; Candidate-submitted NYC Votes answer; guide labels and question headings excluded.,,,,Julie Won,Democratic,exact_case_insensitive_match,,,nyc-2026-cd07-dem,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ny7-vichal-immigration-1,Vichal Kumar,race-d2aabb75a31f1e810737,2026-06-23,immigration,ICE terrorizes our communities and must be dismantled,https://arabic.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Vichal+Kumar&candidateId=V1646&electionCycle=2026&geoAreaAbbr=07&partyId=D,,paragraph 25,c7738f11e04275e6ba8101b98f433a3ac6db27ef458e471201555faf88c8143f,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ny7-vichal-kumar-nycvotes-2026,opponent_candidate,abolish_ice,support,ICE terrorizes our communities and must be dismantled,"Candidate profile > Issues > Immigration, first sentence",Candidate-submitted NYC Votes answer; guide labels and question headings excluded.,Vichal Kumar,Assistant source review; Candidate-submitted NYC Votes answer; guide labels and question headings excluded.,,,,Vichal Kumar,Democratic,exact_case_insensitive_match,,,nyc-2026-cd07-dem,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ny13-oscar-immigration-1,Oscar J. Romero Jr.,race-64bde8b146c8826d40ce,2026-06-23,immigration,"I’m running for Congress to abolish ICE, protect civil rights, and end US forever wars",https://www.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Oscar+J+Romero+Jr&candidateId=V1749&electionCycle=2026&geoAreaAbbr=13&partyId=D,,paragraph 10,3eceaeae99070913b21e7d8be69612cc75bd0df0baf6c4985d224ffb6309372b,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ny13-oscar-romero-nycvotes-2026,opponent_candidate,abolish_ice,support,"I’m running for Congress to abolish ICE, protect civil rights, and end US forever wars",Candidate profile introductory statement,Candidate-submitted NYC Votes statement; guide labels excluded.,Oscar J. Romero Jr.,Assistant source review; Candidate-submitted NYC Votes statement; guide labels excluded.,,,,Oscar J. Romero Jr.,Democratic,exact_case_insensitive_match,,,nyc-2026-cd13-dem,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-ny14-felipe-housing-1,Felipe Garcia,race-4d9e32ed7f0d618a96ce,2026-06-23,housing,"increasing investment in mixed-income housing, streamlining zoning, and protecting tenants",https://www.nycvotes.org/whats-on-the-ballot/june-2026-primary-election-voter-guide/representative-in-congress-june-2026-primary-election-voter-guide-nyc-votes/candidate-profile-june-2026-primary-election-voter-guide-nyc-votes/?bannerTitle=Felipe+Garcia&candidateId=V1752&electionCycle=2026&geoAreaAbbr=14&partyId=D,,paragraph 19,45cef46a09a64bc36047eb04051cf49a96799199d93a0f91ab16ca82b84c17f4,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",ny14-felipe-garcia-nycvotes-2026,opponent_candidate,affordable_housing_supply,support,"increasing investment in mixed-income housing, streamlining zoning, and protecting tenants","Candidate profile > Issues > Affordable Housing, first sentence",Candidate-submitted NYC Votes answer; guide labels and question headings excluded.,Felipe Garcia,Assistant source review; Candidate-submitted NYC Votes answer; guide labels and question headings excluded.,,,,Felipe Garcia,Democratic,exact_case_insensitive_match,,,nyc-2026-cd14-dem,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,timing_unverified,,,,,,,,,,,,,,,,,,,,,,,
ex-il08-morrison-healthcare,Kevin B. Morrison,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,Health care is a human right.,https://www.aidschicago.org/wp-content/uploads/2026/03/AFC-2026-Primary-Federal-Candidate-Questionnaire_Kevin-Morrison_IL08.pdf,,paragraph 1,c0452e4876a4af58e01cd1a014fd534b2feeb131ff176204704644bfa7511b8e,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",il08-morrison-afc-questionnaire-202603,opponent_candidate,healthcare_as_right,support,Health care is a human right.,"Question 1, Medicaid Cuts Under H.R. 1, opening answer","Candidate questionnaire answer; PDF questions are not quoted. Source timing is unverified because no exact pre-primary publication proof was recovered. Official ballot identity is KEVIN B. MORRISON, candidate_source_id 69mvOBh4MTMC8MiJbTMPfA==, source_id il-2026-primary-federal.",Kevin B. Morrison,"Assistant source review; Candidate questionnaire answer; PDF questions are not quoted. Source timing is unverified because no exact pre-primary publication proof was recovered. Official ballot identity is KEVIN B. MORRISON, candidate_source_id 69mvOBh4MTMC8MiJbTMPfA==, source_id il-2026-primary-federal.",,,,Kevin B. Morrison,Democratic,exact_case_insensitive_match,,,il-2026-primary-federal,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
ex-il08-tully-public-payor,Dan Tully,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,one responsible public payor,https://news.wttw.com/elections/voters-guide/2026-primary/dan-tully,,paragraph 99,902af9c68780c7fea0a08d2ded21e0b04324c8ce91b50811584436a7a7a9b281,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",il08-dan-tully-wttw-followup,opponent_candidate,single_payer,support,one responsible public payor,"paragraph 99, healthcare answer",Candidate proposes consolidating coverage into a public payor with optional private supplemental coverage. Original publication/pre-primary version remains unverified.,Dan Tully,Assistant source review; Candidate proposes consolidating coverage into a public payor with optional private supplemental coverage. Original publication/pre-primary version remains unverified.,,,,Dan Tully,Democratic,exact_case_insensitive_match,,,il-2026-primary-federal,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
ex-il08-dunung-aca-subsidies,Sanjyot Dunung,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,expanding Affordable Care Act subsidies,https://news.wttw.com/elections/voters-guide/2026-primary/sanjyot-dunung,,paragraph 118,42533f41ed9a98dee359ddafe60648268226f9212dd88b2d84eb1d83bd9d167f,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",il08-sanjyot-dunung-wttw-followup,opponent_candidate,aca_subsidies,support_expansion,expanding Affordable Care Act subsidies,"paragraph 118, healthcare answer",Candidate's own proposed cost-reduction mechanism. It does not establish opposition to Medicare for All.,Sanjyot Dunung,Assistant source review; Candidate's own proposed cost-reduction mechanism. It does not establish opposition to Medicare for All.,,,,Sanjyot Dunung,Democratic,exact_case_insensitive_match,,,il-2026-primary-federal,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
ex-il08-bankole-healthcare-right,Yasmeen Bankole,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,"Healthcare is a human right, not a privilege.",https://news.wttw.com/elections/voters-guide/2026-primary/yasmeen-bankole,,paragraph 98,e4d457a0d939106a81b420487e3adc2be694caa4587135a114965a98a0bd6cbd,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",il08-yasmeen-bankole-wttw-followup,opponent_candidate,healthcare_as_right,support,"Healthcare is a human right, not a privilege.","paragraph 98, opening sentence of the healthcare answer","Candidate's explicit statement, not an inference from her party or biography.",Yasmeen Bankole,"Assistant source review; Candidate's explicit statement, not an inference from her party or biography.",,,,Yasmeen Bankole,Democratic,exact_case_insensitive_match,,,il-2026-primary-federal,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
ex-il08-bean-aca,Melissa L. Bean,race-b1a420450d32f5e0bd93,2026-03-17,healthcare,Protect and strengthen the Affordable Care Act,https://www.melissabeanforcongress.com/issues,,paragraph 50,28ab85eaf2602287ff5ad39ca393e7ff5159f12a17bfd5abe70e06f91ed7fa49,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",il08-melissa-bean-campaign-current,opponent_candidate,aca_coverage,support_expansion,Protect and strengthen the Affordable Care Act,"paragraph 50, first bullet following Melissa Bean will in Healthcare",Campaign-authored third-person platform language. Canonical ballot name is Melissa L. Bean; website uses Melissa Bean. No opposition to Medicare for All is inferred.,Melissa L. Bean,Assistant source review; Campaign-authored third-person platform language. Canonical ballot name is Melissa L. Bean; website uses Melissa Bean. No opposition to Medicare for All is inferred.,,,,Melissa L. Bean,Democratic,exact_case_insensitive_match,,,il-2026-primary-federal,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
ex-il08-vetticad-stock-trading,Ryan Vetticad,race-b1a420450d32f5e0bd93,2026-03-17,democracy,ban congressional stock trading,https://www.ryanforillinois.com/,,paragraph 23,e2cb37e7235d4777e0ef8431ff173827c3ebff0c0dc1b90be01e664c145a45d5,false,assistant_source_review_not_independent_human_gold,policy_position,"The quoted candidate words and retained source-review notes state a policy commitment, normative policy goal, or concrete governmental action. Classification does not imply identical financing, a comprehensive platform, opposition from omission, or factual verification of a claimed record.",il08-ryan-vetticad-archive-20260317,opponent_candidate,congressional_stock_trading,support_ban,ban congressional stock trading,"paragraph 23, first-person Our Platform statement","Standalone actual proposal; no comparator is imputed. Archive replay redirected to March 19 after the March 17 primary, so pre-primary version remains unverified.",Ryan Vetticad,"Assistant source review; Standalone actual proposal; no comparator is imputed. Archive replay redirected to March 19 after the March 17 primary, so pre-primary version remains unverified.",https://web.archive.org/web/20260319025455id_/https://www.ryanforillinois.com/,2026-03-19,,Ryan Vetticad,Democratic,exact_case_insensitive_match,,,il-2026-primary-federal,official_returns,democratic_primary,past_scheduled_date,pre_primary_time_unverified,,,,,,,,,,,,,,,,,,,,,,,,
