term,positive_mean_tfidf,negative_mean_tfidf,tfidf_difference,positive_npmi,negative_npmi,npmi_difference,composite_score,favored_group
tenants,0.00956946503,0.0,0.00956946503,0.33779950331,-1.0,1.33779950331,1.34736896834,hot
unions,0.010724531395,0.0,0.010724531395,0.330711721641,-1.0,1.330711721641,1.341436253036,hot
tenant,0.006164635886,0.0,0.006164635886,0.330198210165,-1.0,1.330198210165,1.33636284605,hot
eviction,0.008830501556,0.0,0.008830501556,0.32430137792,-1.0,1.32430137792,1.333131879477,hot
landlords,0.007046076765,0.0,0.007046076765,0.319910899733,-1.0,1.319910899733,1.326956976498,hot
renters,0.008837500779,0.0,0.008837500779,0.297690198894,-1.0,1.297690198894,1.306527699674,hot
workplace,0.007374073265,0.0,0.007374073265,0.299081970166,-1.0,1.299081970166,1.306456043431,hot
bail,0.005889436501,0.0,0.005889436501,0.297397602042,-1.0,1.297397602042,1.303287038543,hot
sentences,0.00547930238,0.0,0.00547930238,0.297397602042,-1.0,1.297397602042,1.302876904422,hot
theft,0.006840695965,0.0,0.006840695965,0.289488527111,-1.0,1.289488527111,1.296329223076,hot
prisons,0.006152450832,0.0,0.006152450832,0.282652126288,-1.0,1.282652126288,1.28880457712,hot
mandatory,0.00588447632,0.0,0.00588447632,0.28086571309,-1.0,1.28086571309,1.286750189409,hot
parole,0.004524916045,0.0,0.004524916045,0.28086571309,-1.0,1.28086571309,1.285390629135,hot
janus,0.004280419491,0.0,0.004280419491,0.28086571309,-1.0,1.28086571309,1.285146132581,hot
democratically,0.00421718125,0.0,0.00421718125,0.28086571309,-1.0,1.28086571309,1.285082894339,hot
bargaining,0.004102229316,0.0,0.004102229316,0.28086571309,-1.0,1.28086571309,1.284967942405,hot
collective,0.003756799941,0.0,0.003756799941,0.28086571309,-1.0,1.28086571309,1.284622513031,hot
stabilized,0.003635466063,0.0,0.003635466063,0.28086571309,-1.0,1.28086571309,1.284501179153,hot
hour,0.003289166651,0.0,0.003289166651,0.28086571309,-1.0,1.28086571309,1.284154879741,hot
exploitation,0.002559495539,0.0,0.002559495539,0.28086571309,-1.0,1.28086571309,1.283425208628,hot
organize,0.004562523827,0.0,0.004562523827,0.273298897428,-1.0,1.273298897428,1.277861421255,hot
v,0.005288220599,0.0,0.005288220599,0.271307599284,-1.0,1.271307599284,1.276595819883,hot
apartments,0.004060140061,0.0,0.004060140061,0.271307599284,-1.0,1.271307599284,1.275367739345,hot
prevailing,0.003508857996,0.0,0.003508857996,0.271307599284,-1.0,1.271307599284,1.27481645728,hot
uber,0.003391925044,0.0,0.003391925044,0.271307599284,-1.0,1.271307599284,1.274699524328,hot
penalty,0.003384434384,0.0,0.003384434384,0.271307599284,-1.0,1.271307599284,1.274692033668,hot
faced,0.003227093279,0.0,0.003227093279,0.271307599284,-1.0,1.271307599284,1.274534692563,hot
convictions,0.00318938067,0.0,0.00318938067,0.271307599284,-1.0,1.271307599284,1.274496979954,hot
landlord,0.003109380297,0.0,0.003109380297,0.271307599284,-1.0,1.271307599284,1.274416979581,hot
shelter,0.002907437477,0.0,0.002907437477,0.271307599284,-1.0,1.271307599284,1.274215036761,hot
organized,0.002874295474,0.0,0.002874295474,0.271307599284,-1.0,1.271307599284,1.274181894758,hot
harassment,0.005004696897,0.0,0.005004696897,0.262894247679,-1.0,1.262894247679,1.267898944576,hot
prison,0.006103464661,0.0,0.006103464661,0.253439534768,-1.0,1.253439534768,1.259542999429,hot
president,0.0,0.007286017628,-0.007286017628,-1.0,0.237349491043,-1.237349491043,-1.244635508671,cold
fuels,0.003422489942,0.0,0.003422489942,0.239436430749,-1.0,1.239436430749,1.242858920691,hot
purchase,0.003223087785,0.0,0.003223087785,0.2372766964,-1.0,1.2372766964,1.240499784186,hot
court,0.00293035846,0.0,0.00293035846,0.2372766964,-1.0,1.2372766964,1.24020705486,hot
compensation,0.002426603322,0.0,0.002426603322,0.2372766964,-1.0,1.2372766964,1.239703299722,hot
congress,0.0,0.009044777574,-0.009044777574,-1.0,0.228850656145,-1.228850656145,-1.237895433719,cold
elizabeth,0.0,0.007875054324,-0.007875054324,-1.0,0.223558301656,-1.223558301656,-1.23143335598,cold
vulnerable,0.002847027321,0.0,0.002847027321,0.225277205182,-1.0,1.225277205182,1.228124232504,hot
dean,0.0,0.008935095559,-0.008935095559,-1.0,0.218338556483,-1.218338556483,-1.227273652042,cold
contract,0.003160695875,0.0,0.003160695875,0.220474285125,-1.0,1.220474285125,1.223634981,hot
tech,0.003008789205,0.0,0.003008789205,0.220474285125,-1.0,1.220474285125,1.22348307433,hot
fee,0.002469206231,0.0,0.002469206231,0.220474285125,-1.0,1.220474285125,1.222943491356,hot
stabilization,0.002221068332,0.0,0.002221068332,0.220474285125,-1.0,1.220474285125,1.222695353457,hot
collect,0.001759096976,0.0,0.001759096976,0.220474285125,-1.0,1.220474285125,1.222233382101,hot
america,0.0,0.011738679884,-0.011738679884,-1.0,0.209190755034,-1.209190755034,-1.220929434918,cold
statewide,0.004853341633,0.0,0.004853341633,0.208503977985,-1.0,1.208503977985,1.213357319617,hot
3,0.003254932804,0.0,0.003254932804,0.208503977985,-1.0,1.208503977985,1.211758910789,hot
allows,0.002631265744,0.0,0.002631265744,0.208503977985,-1.0,1.208503977985,1.211135243729,hot
wars,0.0,0.004666362212,-0.004666362212,-1.0,0.202701217875,-1.202701217875,-1.207367580087,cold
controlled,0.003926113186,0.0,0.003926113186,0.2025181116,-1.0,1.2025181116,1.206444224786,hot
black,0.003280113373,0.0,0.003280113373,0.2025181116,-1.0,1.2025181116,1.205798224973,hot
foreign,0.0,0.004249191406,-0.004249191406,-1.0,0.193607761144,-1.193607761144,-1.19785695255,cold
diplomacy,0.0,0.003324186072,-0.003324186072,-1.0,0.190348374362,-1.190348374362,-1.193672560434,cold
veterans,0.0,0.007041483899,-0.007041483899,-1.0,0.185317639368,-1.185317639368,-1.192359123266,cold
requirements,0.002987192507,0.0,0.002987192507,0.187804110029,-1.0,1.187804110029,1.190791302536,hot
disproportionately,0.002418865502,0.0,0.002418865502,0.187804110029,-1.0,1.187804110029,1.190222975531,hot
guaranteeing,0.001923951097,0.0,0.001923951097,0.187804110029,-1.0,1.187804110029,1.189728061126,hot
super,0.001908377909,0.0,0.001908377909,0.187804110029,-1.0,1.187804110029,1.189712487938,hot
composting,0.0,0.003291473127,-0.003291473127,-1.0,0.183388870467,-1.183388870467,-1.186680343594,cold
tulsi,0.0,0.004885109624,-0.004885109624,-1.0,0.181590394639,-1.181590394639,-1.186475504262,cold
select,0.002107423926,0.0,0.002107423926,0.182159408647,-1.0,1.182159408647,1.184266832573,hot
political,0.0,0.004381308788,-0.004381308788,-1.0,0.179698092276,-1.179698092276,-1.184079401064,cold
disease,0.0,0.003947133756,-0.003947133756,-1.0,0.175673407482,-1.175673407482,-1.179620541239,cold
ubi,0.0,0.002805173757,-0.002805173757,-1.0,0.175673407482,-1.175673407482,-1.178478581239,cold
automation,0.0,0.002437114034,-0.002437114034,-1.0,0.175673407482,-1.175673407482,-1.178110521516,cold
regime,0.0,0.002365701868,-0.002365701868,-1.0,0.175673407482,-1.175673407482,-1.17803910935,cold
congressional,0.0,0.002287083039,-0.002287083039,-1.0,0.175673407482,-1.175673407482,-1.177960490521,cold
massachusetts,0.007845215111,0.0,0.007845215111,0.168782693137,-1.0,1.168782693137,1.176627908248,hot
allies,0.0,0.002181075073,-0.002181075073,-1.0,0.171439905927,-1.171439905927,-1.173620981,cold
borough,0.0,0.003172827012,-0.003172827012,-1.0,0.169090582952,-1.169090582952,-1.172263409963,cold
prices,0.0,0.002797226303,-0.002797226303,-1.0,0.166880585163,-1.166880585163,-1.169677811465,cold
sponsor,0.0,0.002204018226,-0.002204018226,-1.0,0.166880585163,-1.166880585163,-1.169084603389,cold
wasteful,0.0,0.002154602292,-0.002154602292,-1.0,0.166880585163,-1.166880585163,-1.169035187455,cold
canal,0.0,0.002032581667,-0.002032581667,-1.0,0.166880585163,-1.166880585163,-1.16891316683,cold
countries,0.0,0.001953291572,-0.001953291572,-1.0,0.166880585163,-1.166880585163,-1.168833876735,cold
chief,0.0,0.001651108727,-0.001651108727,-1.0,0.166880585163,-1.166880585163,-1.16853169389,cold
brought,0.0,0.001347292882,-0.001347292882,-1.0,0.166880585163,-1.166880585163,-1.168227878045,cold
administration,0.0,0.003743406221,-0.003743406221,-1.0,0.163386121337,-1.163386121337,-1.167129527558,cold
page,0.002074503028,0.0,0.002074503028,0.163742721648,-1.0,1.163742721648,1.165817224676,hot
drivers,0.003287702119,0.0,0.003287702119,0.161595334528,-1.0,1.161595334528,1.164883036646,hot
caucus,0.0,0.002506659199,-0.002506659199,-1.0,0.161909817361,-1.161909817361,-1.164416476559,cold
chemical,0.0,0.002323294477,-0.002323294477,-1.0,0.161909817361,-1.161909817361,-1.164233111838,cold
military,0.0,0.004910503373,-0.004910503373,-1.0,0.159171862414,-1.159171862414,-1.164082365787,cold
wrong,0.0,0.001931673938,-0.001931673938,-1.0,0.161909817361,-1.161909817361,-1.163841491299,cold
honor,0.0,0.001634566022,-0.001634566022,-1.0,0.161909817361,-1.161909817361,-1.163544383383,cold
commander,0.0,0.001515921272,-0.001515921272,-1.0,0.161909817361,-1.161909817361,-1.163425738633,cold
uniform,0.0,0.001393122774,-0.001393122774,-1.0,0.161909817361,-1.161909817361,-1.163302940135,cold
reach,0.002049101841,0.0,0.002049101841,0.16064344996,-1.0,1.16064344996,1.1626925518,hot
democrat,0.001790092399,0.0,0.001790092399,0.16064344996,-1.0,1.16064344996,1.162433542358,hot
offenses,0.001774106798,0.0,0.001774106798,0.16064344996,-1.0,1.16064344996,1.162417556757,hot
conviction,0.00136955451,0.0,0.00136955451,0.16064344996,-1.0,1.16064344996,1.162013004469,hot
month,0.0,0.001690247262,-0.001690247262,-1.0,0.159207959701,-1.159207959701,-1.160898206963,cold
doctors,0.0,0.002675726082,-0.002675726082,-1.0,0.15639988009,-1.15639988009,-1.159075606172,cold
capabilities,0.0,0.001974096296,-0.001974096296,-1.0,0.15639988009,-1.15639988009,-1.158373976386,cold
task,0.0,0.001901557446,-0.001901557446,-1.0,0.15639988009,-1.15639988009,-1.158301437536,cold
arms,0.0,0.001876909392,-0.001876909392,-1.0,0.15639988009,-1.15639988009,-1.158276789482,cold
abroad,0.0,0.001796300291,-0.001796300291,-1.0,0.15639988009,-1.15639988009,-1.158196180381,cold
aca,0.0,0.001796022232,-0.001796022232,-1.0,0.15639988009,-1.15639988009,-1.158195902322,cold
stress,0.0,0.001753018112,-0.001753018112,-1.0,0.15639988009,-1.15639988009,-1.158152898202,cold
coverage,0.0,0.004170100448,-0.004170100448,-1.0,0.153934763551,-1.153934763551,-1.158104863999,cold
troops,0.0,0.001557931139,-0.001557931139,-1.0,0.15639988009,-1.15639988009,-1.15795781123,cold
points,0.0,0.001473085466,-0.001473085466,-1.0,0.15639988009,-1.15639988009,-1.157872965556,cold
richest,0.0,0.001396923145,-0.001396923145,-1.0,0.15639988009,-1.15639988009,-1.157796803235,cold
came,0.0,0.001259283379,-0.001259283379,-1.0,0.15639988009,-1.15639988009,-1.157659163469,cold
remember,0.0,0.001219441765,-0.001219441765,-1.0,0.15639988009,-1.15639988009,-1.157619321855,cold
educate,0.0,0.000929757494,-0.000929757494,-1.0,0.15639988009,-1.15639988009,-1.157329637584,cold
understands,0.0,0.003247924566,-0.003247924566,-1.0,0.152556229536,-1.152556229536,-1.155804154102,cold
trillions,0.0,0.002212775105,-0.002212775105,-1.0,0.153584056893,-1.153584056893,-1.155796831998,cold
projects,0.004552009859,0.0,0.004552009859,0.146929603692,-1.0,1.146929603692,1.151481613551,hot
watch,0.0,0.003854857109,-0.003854857109,-1.0,0.146826940699,-1.146826940699,-1.150681797808,cold
prosperity,0.0,0.002951552545,-0.002951552545,-1.0,0.147341201312,-1.147341201312,-1.150292753858,cold
hawaii,0.0,0.003169763313,-0.003169763313,-1.0,0.146826940699,-1.146826940699,-1.149996704012,cold
force,0.0,0.00312363169,-0.00312363169,-1.0,0.146826940699,-1.146826940699,-1.149950572389,cold
peace,0.0,0.002735504561,-0.002735504561,-1.0,0.140286305731,-1.140286305731,-1.143021810292,cold
relationships,0.0,0.002302482921,-0.002302482921,-1.0,0.140286305731,-1.140286305731,-1.142588788652,cold
citizens,0.0,0.002097002667,-0.002097002667,-1.0,0.140286305731,-1.140286305731,-1.142383308398,cold
citizenship,0.0,0.001836347773,-0.001836347773,-1.0,0.140286305731,-1.140286305731,-1.142122653504,cold
conversation,0.0,0.001776386585,-0.001776386585,-1.0,0.140286305731,-1.140286305731,-1.142062692315,cold
quotes,0.0,0.00154372567,-0.00154372567,-1.0,0.140286305731,-1.140286305731,-1.141830031401,cold
immigrants,0.0,0.003442388294,-0.003442388294,-1.0,0.137163114771,-1.137163114771,-1.140605503065,cold
believes,0.0,0.003357780766,-0.003357780766,-1.0,0.137163114771,-1.137163114771,-1.140520895537,cold
wall,0.0,0.003270231048,-0.003270231048,-1.0,0.132123441687,-1.132123441687,-1.135393672735,cold
supporting,0.0,0.002519095259,-0.002519095259,-1.0,0.132123441687,-1.132123441687,-1.134642536946,cold
lobbyists,0.0,0.001991098453,-0.001991098453,-1.0,0.132123441687,-1.132123441687,-1.13411454014,cold
whose,0.0,0.001757391969,-0.001757391969,-1.0,0.132123441687,-1.132123441687,-1.133880833657,cold
driven,0.0,0.001756831106,-0.001756831106,-1.0,0.132123441687,-1.132123441687,-1.133880272793,cold
nuclear,0.0,0.001616635321,-0.001616635321,-1.0,0.132123441687,-1.132123441687,-1.133740077009,cold
course,0.0,0.001256909951,-0.001256909951,-1.0,0.132123441687,-1.132123441687,-1.133380351638,cold
already,0.0,0.002758371545,-0.002758371545,-1.0,0.130607460172,-1.130607460172,-1.133365831717,cold
wide,0.002284330585,0.0,0.002284330585,0.129574852123,-1.0,1.129574852123,1.131859182708,hot
voucher,0.001211132932,0.0,0.001211132932,0.129574852123,-1.0,1.129574852123,1.130785985056,hot
estate,0.001196963182,0.0,0.001196963182,0.129574852123,-1.0,1.129574852123,1.130771815305,hot
violent,0.001170686922,0.0,0.001170686922,0.129574852123,-1.0,1.129574852123,1.130745539046,hot
nothing,0.0,0.00240796955,-0.00240796955,-1.0,0.125784175458,-1.125784175458,-1.128192145007,cold
far,0.0,0.002104086047,-0.002104086047,-1.0,0.125784175458,-1.125784175458,-1.127888261505,cold
contribute,0.0,0.00177575059,-0.00177575059,-1.0,0.125784175458,-1.125784175458,-1.127559926048,cold
21st,0.0,0.00307009577,-0.00307009577,-1.0,0.122763817551,-1.122763817551,-1.12583391332,cold
