race_id,candidate_name,role,election_date,research_status,title,source_type,source_tier,publication_date,effective_date,source_url,live_url,archive_url,locator,analysis_scope,notes
race-a47f2c44662b82173189,Anita Prizio,endorsed,2017-05-16,verified_source,Anita Prizio 2017 campaign issues,archived_campaign_platform,tier_2,,2017-09-22,https://web.archive.org/web/20181108190712id_/https://ballotpedia.org/Anita_Prizio,https://ballotpedia.org/Anita_Prizio#Campaign_themes,https://web.archive.org/web/20181108190712id_/https://ballotpedia.org/Anita_Prizio,Campaign themes > 2017,"Full quoted first-party platform text on constituent voice, transparency, fracking, affordable housing, and clean water. Ballotpedia identifies the source as the 2017 campaign Issues page, accessed 2017-09-22; original campaign URL is no longer fetchable.",
race-0737ecc067d5cc0799e8,Ali Khorasani,endorsed,2018-03-06,verified_source,Ali A. Khorasani Ballotpedia candidate survey,candidate_questionnaire,tier_2,2018-02-26,2018-02-26,https://ballotpedia.org/Ali_Khorasani#Campaign_themes,https://ballotpedia.org/Ali_Khorasani#Campaign_themes,,Campaign themes > 2018 > Ballotpedia survey responses,"Candidate-authored answers on Green New Deal, Medicare for All, public-school funding, criminal-justice reform, racial equality, reproductive rights, capitalism, term limits, and redistricting.",Dated questionnaire completed eight days before the primary.
race-0737ecc067d5cc0799e8,Ali Khorasani,endorsed,2018-03-06,verified_source,Ali for Congress campaign site,archived_campaign_platform,tier_1,,2018-02-09,https://web.archive.org/web/20180209101917id_/https://www.tx2.rocks/,https://www.tx2.rocks/,https://web.archive.org/web/20180209101917id_/https://www.tx2.rocks/,homepage and Issues navigation; snapshot 20180209101917,"First-party progressive framing and issue agenda: Green New Deal, Medicare for All, public education, racial justice, reproductive rights, labor rights, electoral reform, and taxes on the wealthy.",Campaign-domain snapshot taken before the primary; archive target is fetchable and preserves first-party provenance.
race-0737ecc067d5cc0799e8,Hamid Parvizian,opponent,2018-03-06,searched_not_found,,,,,,,,,,,"Searched exact-name web results, Ballotpedia alias H. P. Parvizian, campaign/FEC references, issue-position aggregators, and Houston interview indexes. Off the Kuff states Parvizian did not respond to its 2018 interview request; no recoverable campaign-window substantive text was located."
race-0737ecc067d5cc0799e8,Jimmy Jones,opponent,2018-03-06,searched_not_found,,,,,,,,,,,"Searched exact-name and race-specific variants and the ballot identity J. Darnell Jones shown in contemporary TX-02 election records. Located ballot/biographical references but no recoverable campaign-window platform, questionnaire, interview, speech, or debate text."
race-0737ecc067d5cc0799e8,Silky Malik,opponent,2018-03-06,verified_source,So You Want to Be In Charge: Silky Malik (D) for Texas District 2,candidate_interview,tier_2,2017-12-06,2017-12-06,https://web.archive.org/web/20180118215314id_/https://www.freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,https://freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,https://web.archive.org/web/20180118215314id_/https://www.freepresshouston.com/so-you-want-to-be-in-charge-silky-malik-d-for-texas-district-2/,full text Q&A; archive snapshot 20180118215314,"Attributable answers on teacher tax deductions, the Windfall Elimination Provision, education costs, universal health care, and preserving the ACA.","Use the archive target: the live article currently displays an erroneous 2026 date, while the archived capture preserves the original 2017 publication context and 2018-race wording."
race-0737ecc067d5cc0799e8,Todd Litton,opponent,2018-03-06,verified_source,Todd Litton for Congress,archived_campaign_page,tier_1,,2018-01-18,https://web.archive.org/web/20180118144058id_/https://toddlitton.com/,https://toddlitton.com/,https://web.archive.org/web/20180118144058id_/https://toddlitton.com/,homepage; snapshot 20180118144058,"First-party campaign framing around common sense and decency, inclusive representation, investment in all residents, and education/nonprofit service to children and families.",Campaign-domain snapshot taken before the primary; source remains recoverable despite the live domain TLS failure.
race-9ca784db2d625d8783bf,Briana Urbina,opponent,2020-06-02,verified_source,Briana Urbina Ballotpedia Candidate Connection survey,candidate_questionnaire,tier_2,,,https://web.archive.org/web/20201123044732id_/https://ballotpedia.org/Briana_Urbina,https://ballotpedia.org/Briana_Urbina#Campaign_themes,https://web.archive.org/web/20201123044732id_/https://ballotpedia.org/Briana_Urbina,Campaign themes > 2019 Ballotpedia survey responses,"Candidate-authored priorities and values: affordable housing, Medicare for All, social justice, education, criminal-justice reform, civil rights, environmental justice, Green New Deal, honesty, inclusion, and family.",Ballotpedia records the survey as completed in 2019 during the 2020 campaign; Urbina suspended the campaign in January 2020 but remained on the ballot.
race-9ca784db2d625d8783bf,Vanessa Marie Hoffman,opponent,2020-06-02,verified_source,"Voter guide: Vanessa Marie Hoffman, Congress, District 5",candidate_questionnaire,tier_2,2020-05-18,2020-05-18,https://www.capitalgazette.com/2020/05/18/voter-guide-vanessa-marie-hoffman-congress-district-5/,https://www.capitalgazette.com/2020/05/18/voter-guide-vanessa-marie-hoffman-congress-district-5/,,full candidate Q&A,"Extensive attributable answers on climate, taxation, inequality, gun laws, ACA and health care, urban policy, opioids, immigration/DACA, trade, and foreign policy.",Published during the primary window; page contains the candidate responses in full text.
race-9ca784db2d625d8783bf,William Devine III,opponent,2020-06-02,searched_not_found,,,,,,,,,,,"Searched exact-name/race queries, Ballotpedia, campaign-domain variants, voter guides, and archive indexes. Found election/biographical records, including his prior 2018 Republican candidacy and 2020 Democratic ballot appearance, but no recoverable substantive text attributable to the 2020 campaign."
race-dea57c83cdef4681dc1f,Erik Simonson,opponent,2020-08-11,verified_source,What a progressive DFLer’s primary victory in Duluth says — and doesn’t say — about politics and environmental policy in northern Minnesota,attributable_interview,tier_2,2020-08-13,2020-08-11,https://www.minnpost.com/greater-minnesota/2020/08/what-a-progressive-dflers-primary-victory-in-duluth-says-and-doesnt-say-about-politics-and-environmental-policy-in-northern-minnesota/,https://www.minnpost.com/greater-minnesota/2020/08/what-a-progressive-dflers-primary-victory-in-duluth-says-and-doesnt-say-about-politics-and-environmental-policy-in-northern-minnesota/,,Replacing a moderate Democrat; direct Simonson quotation,"Directly attributable Simonson position on a slower fossil-fuel transition and baseload power, plus documented campaign positions supporting PolyMet and contrasting with McEwen on mining and clean-energy timing.",Published two days after the primary but reports and quotes the campaign-defining positions; suitable for primary discourse analysis with this timing caveat.
race-dea57c83cdef4681dc1f,Jen McEwen,endorsed,2020-08-11,verified_source,Jen McEwen Ballotpedia Candidate Connection survey,candidate_questionnaire,tier_2,,2020,https://web.archive.org/web/20201130033543id_/https://ballotpedia.org/Jen_McEwen,https://ballotpedia.org/Jen_McEwen#Campaign_themes,https://web.archive.org/web/20201130033543id_/https://ballotpedia.org/Jen_McEwen,Campaign themes > 2020 Ballotpedia survey responses,"Candidate-authored case for single-payer Medicare for All/Minnesota Health Plan, secure housing, clean-energy transition, community advocacy, and Duluth-first representation.",Ballotpedia records the survey as completed in 2020; substantive answers are tied directly to the Senate District 7 campaign.
race-02c4c65549e1b95a5ad9,Cynthia Mota,opponent,2021-05-18,verified_source,The Morning Call Allentown City Council candidate forum,candidate_forum,tier_2,2021-04-22,2021-04-22,https://www.mcall.com/2021/04/22/the-morning-call-held-an-allentown-city-council-candidate-forum-thursday-watch-a-replay/,https://www.mcall.com/2021/04/22/the-morning-call-held-an-allentown-city-council-candidate-forum-thursday-watch-a-replay/,,forum replay; Cynthia Mota participant,"Candidate discussion of jobs, housing, taxes, policing, COVID-19 governance, American Rescue Plan spending, homelessness, small business, and youth opportunities.",The article confirms Mota participated and summarizes the questions; replay is embedded/linked from the page.
race-02c4c65549e1b95a5ad9,Daryl L Hendricks,opponent,2021-05-18,verified_source,The Morning Call Allentown City Council candidate forum,candidate_forum,tier_2,2021-04-22,2021-04-22,https://www.mcall.com/2021/04/22/the-morning-call-held-an-allentown-city-council-candidate-forum-thursday-watch-a-replay/,https://www.mcall.com/2021/04/22/the-morning-call-held-an-allentown-city-council-candidate-forum-thursday-watch-a-replay/,,forum replay; Daryl Hendricks participant,"Candidate discussion of jobs, housing, taxes, policing, COVID-19 governance, American Rescue Plan spending, homelessness, small business, and youth opportunities.",The article confirms Hendricks participated and summarizes the questions; replay is embedded/linked from the page.
