document_id,organization,title,document_type,publication_date,url,archive_url,source_tier,official_account,verification_status,notes
boston-dsa-mike-connolly-confirmation-2023,Boston Democratic Socialists of America,Boston DSA official statement on the motion to expel Mike Connolly,chapter_statement,2023-07-04,https://bostondsa.org/2023/07/04/2452/,,1,true,verified,Official Boston DSA statement confirms Mike Connolly was endorsed by the chapter in his initial 2016 run and not since.
dsa-members-run-office-2016,Democratic Socialists of America,DSA members run for office to continue the political revolution,endorsement_retrospective,,https://www.dsausa.org/blog/dsa_members_run_for_office_to_continue_the_political_revolution_dl/,,1,true,verified,First-party DSA retrospective confirms Mike Sylvester as a 2016 endorsed candidate and notes his Democratic primary win.
ma-26th-middlesex-dem-primary-2016-results,Massachusetts Secretary of the Commonwealth,2016 State Representative Democratic Primary 26th Middlesex District,election_results,2016-09-08,https://electionstats.state.ma.us/elections/view/129704,,1,true,verified,Official Massachusetts election results page for Mike Connolly versus Timothy J. Toomey Jr. in the 2016 Democratic primary.
maine-strep-dem-primary-2016-results,Maine Secretary of State,"June 14, 2016 Democratic primary results for State Representative",election_results,2016-06-14,https://www.maine.gov/sos/cec/elec/results/2016/June16/STREPDEM.xlsx,,1,true,verified,Official Maine SOS statewide Democratic State Representative primary tabulation; House District 39 lists Mike Sylvester and Andrew Edwards.
mike-connolly-progressive-platform-2016,Mike Connolly for State Representative,Our Progressive Platform,campaign_platform,2016-08-07,http://www.mikeconnolly.org/progressive_platform,http://web.archive.org/web/20160807044232/http://www.mikeconnolly.org:80/progressive_platform,1,true,verified,Original 2016 campaign platform page; use the matching August 2016 Wayback capture for source-first recovery.
dsa-what-is-democratic-socialism-current,Democratic Socialists of America,What is Democratic Socialism?,official_issue_page,,https://www.dsausa.org/about-us/what-is-democratic-socialism/,,1,true,verified,Current official explanatory page
dsa-national-program-2026,Democratic Socialists of America,DSA National Program,adopted_program,2026-07-01,https://program.dsausa.org/,,1,true,verified,Exact adoption date requires confirmation
dsa-constitution-2025,Democratic Socialists of America,DSA Constitution 2025,constitution,2025-08-01,https://www.dsausa.org/about-us/constitution/,,1,true,verified,Exact convention date requires confirmation
dsa-convention-2019-highlights,Democratic Socialists of America,2019 Convention Highlights,convention_summary,2019-08-01,https://www.dsausa.org/2019-convention-a-world-to-win/,,1,true,verified,Official summary links to adopted resolutions
dsa-national-endorsements-archive,DSA National Electoral Commission,Past Endorsements,endorsement_archive,,https://electoral.dsausa.org/our-campaigns/past-endorsements/,,1,true,found_unverified,Cloudflare may require browser-assisted export
dsa-chapter-directory-current,Democratic Socialists of America,DSA Chapters,chapter_directory,,https://www.dsausa.org/chapters/,,1,true,found_unverified,Historical status requires archives
dsa-statements-archive,Democratic Socialists of America,Statements Archive,statement_archive,,https://www.dsausa.org/statements/,,1,true,found_unverified,Collect dated statements separately
democratic-platform-2016,Democratic National Committee,2016 Democratic Party Platform,adopted_platform,2016-07-25,https://democrats.org/wp-content/uploads/sites/2/2019/07/2016_DNC_Platform.pdf,,1,true,verified,Official DNC PDF
democratic-platform-2020,Democratic National Committee,2020 Democratic Party Platform,adopted_platform,2020-08-18,https://democrats.org/wp-content/uploads/sites/2/2020/08/2020-Democratic-Party-Platform.pdf,,1,true,verified,Official DNC PDF
democratic-platform-2024,Democratic National Committee,2024 Democratic Party Platform,adopted_platform,2024-08-19,https://democrats.org/wp-content/uploads/2025/07/2024-Democratic-Party-Platform.pdf,,1,true,verified,Official DNC PDF
mo01-joint-appearance-2026,St. Louis Public Radio,Bell and Bush joint appearance,joint_candidate_interview,2026-07-24,https://www.stlpr.org/show/st-louis-on-the-air/2026-07-24/missouri-wesley-bell-cori-bush-radio-appearance,,2,false,verified,Direct quotations from both candidates in the same hosted appearance
nycdsa-mamdani-mayor-2025,New York City Democratic Socialists of America,NYC-DSA endorses Zohran Mamdani for mayor,chapter_endorsement,2025-01-01,https://socialists.nyc/zohran-mayor-nyc-dsa/,,1,true,verified,Official local chapter endorsement page
madsa-hong-governor-2026,Madison Area Democratic Socialists of America,MADSA endorses Francesca Hong for governor,chapter_endorsement_report,2026-02-01,https://redmadison.com/2026/02/01/monthly-round-up-january-2026/,,2,true,verified,Member publication disclaims formal views but reports the chapter endorsement vote
milwaukee-dsa-hong-governor-2026,Milwaukee Democratic Socialists of America,Current endorsements,chapter_endorsement,2026-01-01,https://milwaukee.dsawi.org/resources/endorsements/,,1,true,verified,Official local chapter endorsement page
nyc-boe-mayor-primary-2025,New York City Board of Elections,2025 Democratic mayoral primary contest list,election_metadata,2025-06-03,https://www.vote.nyc/sites/default/files/news/2025-05/6_3_2025%203_04_37%20PM_Contest%20List.pdf,,1,true,verified,Official ballot roster
