endorsement_id,race_id,candidate_id,candidate_name,office,jurisdiction,election_date,primary_party,endorsing_body,endorsement_date,endorsement_source_document_id,outcome,verification_status
endorsement-mike-connolly-2016,ma-house-26th-middlesex-dem-primary-2016,mike-connolly,Mike Connolly,State Representative 26th Middlesex District,Massachusetts 26th Middlesex District,2016-09-08,Democratic,Boston DSA,,boston-dsa-mike-connolly-confirmation-2023,Win,verified
endorsement-mike-sylvester-2016,me-house-39-dem-primary-2016,mike-sylvester,Mike Sylvester,State Representative District 39,Maine,2016-06-14,Democratic,DSA National,,dsa-members-run-office-2016,Win,verified
endorsement-cori-bush-2026,mo01-dem-primary-2026,cori-bush,Cori Bush,US Congress MO-01,Missouri 1st Congressional District,2026-08-04,Democratic,DSA National,,dsa-national-endorsements-archive,Loss,verified
endorsement-zohran-mamdani-2025,nyc-mayor-dem-primary-2025,zohran-mamdani,Zohran Mamdani,Mayor,New York City,2025-06-24,Democratic,NYC-DSA,,nycdsa-mamdani-mayor-2025,Win,verified
endorsement-francesca-hong-2026-madison,wi-governor-dem-primary-2026,francesca-hong,Francesca Hong,Governor,Wisconsin,2026-08-11,Democratic,Madison Area DSA,2026-01-28,madsa-hong-governor-2026,Loss,verified
endorsement-francesca-hong-2026-milwaukee,wi-governor-dem-primary-2026,francesca-hong,Francesca Hong,Governor,Wisconsin,2026-08-11,Democratic,Milwaukee DSA,,milwaukee-dsa-hong-governor-2026,Loss,verified
endorsement-bernie-sanders-president-2016-nh,us-president-dem-primary-2016-nh,bernie-sanders,Bernie Sanders,President,New Hampshire,2016-02-09,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Win,verified
endorsement-bernie-sanders-president-2016-al,us-president-dem-primary-2016-al,bernie-sanders,Bernie Sanders,President,Alabama,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Loss,verified
endorsement-bernie-sanders-president-2016-ar,us-president-dem-primary-2016-ar,bernie-sanders,Bernie Sanders,President,Arkansas,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Loss,verified
endorsement-bernie-sanders-president-2016-ga,us-president-dem-primary-2016-ga,bernie-sanders,Bernie Sanders,President,Georgia,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Loss,verified
endorsement-bernie-sanders-president-2016-ma,us-president-dem-primary-2016-ma,bernie-sanders,Bernie Sanders,President,Massachusetts,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Loss,verified
endorsement-bernie-sanders-president-2016-ok,us-president-dem-primary-2016-ok,bernie-sanders,Bernie Sanders,President,Oklahoma,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Win,verified
endorsement-bernie-sanders-president-2016-tn,us-president-dem-primary-2016-tn,bernie-sanders,Bernie Sanders,President,Tennessee,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Loss,verified
endorsement-bernie-sanders-president-2016-tx,us-president-dem-primary-2016-tx,bernie-sanders,Bernie Sanders,President,Texas,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Loss,verified
endorsement-bernie-sanders-president-2016-va,us-president-dem-primary-2016-va,bernie-sanders,Bernie Sanders,President,Virginia,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Loss,verified
endorsement-bernie-sanders-president-2016-vt,us-president-dem-primary-2016-vt,bernie-sanders,Bernie Sanders,President,Vermont,2016-03-01,Democratic,DSA National,2015-06-22,dsa-national-bernie-sanders-2015,Win,verified
