record_id,campaign,endorsement_election_date,office,classification,primary_date,primary_party,state,state_code,jurisdiction,official_election_source,opponents,verification_status,notes
recg4ZZebweStukVo,Jovanka Beckles,2018-11-06,State Assembly - District 15,nonpartisan_primary,2018-06-05,Nonpartisan,California,CA,District 15,https://elections.cdn.sos.ca.gov/sov/2018-primary/sov/2018-complete-sov.pdf,"Andy Katz; Ben Bartlett; Buffy Wicks; Cheryl Sudduth; Dan Kalb; Judy Appel; Owen Poindexter; Pranav Jandhyala; Raquella Thaman; Rochelle Pardue-Okimoto; Sergey Vikramsingh Piterman",official,California's top-two primary was not a Democratic-party primary.
recrMbvIbzFRmpD58,Marguerite Green,2019-10-12,Louisiana Agriculture and Forestry Commissioner,nonpartisan_primary,2019-10-12,Nonpartisan,Louisiana,LA,Statewide,https://voterportal.sos.la.gov/Graphical,"Charlie Greer; Bradley Zaunbrecher; Michael G. Strain; Peter Williams",official,Louisiana's all-candidate primary was not a Democratic-party primary.
reclhsXOXVpNFqi7o,Mary Ellen Biggerstaff,2020-08-04,"WA-22 State House, Position 2",nonpartisan_primary,2020-08-04,Nonpartisan,Washington,WA,District 22 Position 2,https://results.vote.wa.gov/results/20200804/legislativedistrict22.html,"Anthony Novack; Dusty Pierpoint; Glenda Breiler; Jessica Bateman",official,Washington's top-two primary was not a Democratic-party primary.
recyUIQkyX8hcdiZ8,Rebecca Parson,2020-08-04,"US Congress, WA-06",nonpartisan_primary,2020-08-04,Nonpartisan,Washington,WA,District 6,https://results.vote.wa.gov/results/20200804/congressional-district-6-us-representative.html,"Chris Welton; Derek Kilmer; Elizabeth Kreiselmaier; Johny Alberg; Stephan Brodhead",official,Washington's top-two primary was not a Democratic-party primary.
recQGZcUyMPtHv7ea,Fatima Iqbal-Zubair,2020-11-03,California State Assembly District 64,nonpartisan_primary,2020-03-03,Nonpartisan,California,CA,District 64,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,Mike A. Gipson,official,California's top-two primary was not a Democratic-party primary.
recxpzKLLU44ibnxU,Jackie Fielder,2020-11-03,"State Senate, 11th District",nonpartisan_primary,2020-03-03,Nonpartisan,California,CA,District 11,https://elections.cdn.sos.ca.gov/sov/2020-primary/complete-sov.pdf,"Erin Smith; Scott Wiener",official,California's top-two primary was not a Democratic-party primary.
rec1E10MK2YwYjBY4,Bernie Sanders,2016-07-28,US President,democratic_primary,,Democratic,United States,US,Nationwide,source_unavailable,"Hillary Clinton | Martin O'Malley",partial,"Presidential nomination was decided through state Democratic primaries/caucuses; no single national election-authority canvass URL was recovered in the bounded pass."
reciYJxWCVs4A1gGu,Ginger Jentzen,2017-11-07,"City Council, Minneapolis - Ward 3",general_only,,,Minnesota,MN,Minneapolis,https://vote.minneapolismn.gov/results-data/election-results/,,partial,"Minneapolis used ranked-choice municipal elections in 2017 rather than a separate primary."
recgGGkIBypRWFW6C,JT Scott,2017-11-07,"Board of Aldermen, Somerville, Ward 2",general_only,,,Massachusetts,MA,Somerville,https://www.somervillema.gov/departments/elections,,partial,"Somerville Elections page located; no separate 2017 ward preliminary was confirmed in the bounded pass."
recczmetxeWU5Vekx,Jabari Brisport,2017-11-07,"City Council, NYC - District 35",ballot_or_party_position,2017-09-12,Green,New York,NY,"New York City, District 35",https://www.vote.nyc/page/election-results-summary-2017,Scott Hutchinson,partial,"Registry matched a Green Party primary rather than a Democratic primary for the same cycle."
