"record_id","campaign","endorsement_election_date","office","classification","primary_date","primary_party","state","state_code","jurisdiction","official_election_source","opponents","verification_status","notes"
"rec4hBUX7hpAjhRIU","Missy Zombor","2023-02-21","Milwaukee Board of School Directors - Citywide","general_only","","","Wisconsin","WI","City of Milwaukee","https://city.milwaukee.gov/election/ElectionInformation/MilwaukeeElectionResults/Archive-Election-Results","Jeff Spence","mixed","Scheduled Feb. 21 spring primary was not needed; two-candidate field advanced directly to Apr. 4 nonpartisan general."
"recplya149KQEzm8G","Samuel Harshner","2023-02-21","Village of Shorewood Trustee","general_only","","","Wisconsin","WI","Village of Shorewood / Milwaukee County","https://county.milwaukee.gov/EN/County-Clerk/Election-Commission/Election-Results ; https://www.villageofshorewood.org/DocumentCenter/View/10649/April-4-2023---Precinct-Report","Arthur Ircink; Kathy Stokebrand","mixed","No Feb. primary was held; race was the Apr. 4 nonpartisan general for two trustee seats."
"recjYWXc3YkGRcJYA","Ambria Taylor","2023-02-28","Chicago City Council, Ward 11","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241 ; https://chicagoelections.gov/elections/results/242","Nicole Lee; Anthony Ciaravino; Don Don; Elvira Jimenez; Froylan Jimenez; Steve Demitro","mixed","Chicago aldermanic races were nonpartisan municipal general elections on Feb. 28 with Apr. 4 runoff if no majority."
"recDXYHrCdFNAOhW8","Angela Clay","2023-02-28","City Council, 46th ward","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241 ; https://chicagoelections.gov/elections/results/242","Kimberly Walz; Marianne Lalonde; Patrick Nagle; Roushaunda Williams; Michael Cortez","mixed","Nonpartisan municipal general on Feb. 28; Clay advanced to and won Apr. 4 runoff."
"reczpBnaDQhpnMVMv","Byron Sigcho-Lopez","2023-02-28","Chicago City Council, ward 25","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241 ; https://chicagoelections.gov/elections/results/242","Aida Flores","mixed","Nonpartisan municipal general on Feb. 28; Sigcho-Lopez advanced to runoff."
"recgdFjSuBasfBWUa","Carlos Ramirez-Rosa","2023-02-28","Chicago City Council, Ward 35","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241","Sammy Blanco","mixed","Nonpartisan municipal general; won outright in first round."
"recVVhx4uo3jgS5ze","Daniel La Spata","2023-02-28","Chicago City Council, Ward 1","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241 ; https://chicagoelections.gov/elections/results/242","Sam Royko; Andy Schneider; Steve Niketopoulos","mixed","Nonpartisan municipal general on Feb. 28; advanced to Apr. 4 runoff."
"reckRL7DAJHorTQTQ","Jeanette Taylor","2023-02-28","Chicago City Council, Ward 20","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241","Jennifer Maddox; Andre Smith; Jabari Gouge","mixed","Nonpartisan municipal general; won outright in first round."
"rec5ZSEPz9k5ErT7e","Nick Ward","2023-02-28","48th Ward Alderman","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241 ; https://chicagoelections.gov/elections/results/242","Joe Dunne; Leni Manaa-Hoppenworth; Isaac Freilich Jones; Larry Svabek; Roxanne Volkmann; Andrew Peters; Nassir Faulkner; Andre Peloquin; Brian Haag","mixed","Nonpartisan municipal general; Ward did not advance to runoff."
"recZ0kgfx0kCj1vk6","Oscar Sanchez","2023-02-28","City Council (ward 10)","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241 ; https://chicagoelections.gov/elections/results/242","Peter Chico; Ana Guajardo; Jessica Venegas; Yessenia Carreón","mixed","Nonpartisan municipal general; Chico and Guajardo advanced to runoff."
"recyQDyhEg7FimH88","Rossana Rodriguez","2023-02-28","Chicago City Council, Ward 33","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241","Samie Martinez","mixed","Nonpartisan municipal general; won outright in first round."
"recl6ldM7FuNTCXOY","Warren Williams","2023-02-28","Chicago City Council (Ward 30)","general_only","","","Illinois","IL","City of Chicago","https://chicagoelections.gov/elections/results/241 ; https://chicagoelections.gov/elections/results/242","Jessica Gutierrez; Ruth Cruz; JuanPablo Prieto; Andrew Cleaver (write-in)","mixed","Nonpartisan municipal general; Gutierrez and Cruz advanced to runoff."
"reczNGJFNvWV3tJP6","Sarah Parady","2023-04-04","Denver City Council, At-Large","general_only","","","Colorado","CO","City and County of Denver","https://www.denvergov.org/Government/Agencies-Departments-Offices/Clerk-and-Recorder/Elections-Division/Election-Results/2023-Municipal-General-Election-Results","Serena Gonzales-Gutierrez; Penfield Tate; Travis Leiker; Tim Hoffman; Marty Zimmerman; Will Chan; Jeff Walker; Dominic Angelo Diaz; Janelle Jenkins (write-in)","official","Denver council races were nonpartisan general elections; at-large seats had no primary and no runoff."
"recY9X77VlERHfisp","Tiffany Caudill","2023-04-04","Denver City Council, District 2","general_only","","","Colorado","CO","City and County of Denver","https://www.denvergov.org/Government/Agencies-Departments-Offices/Clerk-and-Recorder/Elections-Division/Election-Results/2023-Municipal-General-Election-Results","Kevin Flynn; Chris Herr","official","Nonpartisan general election; Flynn won outright so no runoff."
"recuJzTy2fd8H356C","David McMahon","2023-05-16","Norristown City Council, District 2","unopposed_no_primary","2023-05-16","Democratic","Pennsylvania","PA","Norristown Borough / Montgomery County","https://www.montgomerycountypa.gov/753/Election-Results","None listed","mixed","Official county summaries indicate no contested Democratic primary; public returns also do not show a challenger in the general."
