context_entry_id,state,state_code,cycle_year,organization_level,context_category,organization,endorsing_body,title,platform_type,adoption_date,effective_date,source_url,archive_url,verification_status,notes
context-dnc-ma-2016,Massachusetts,MA,2016,national,dnc_national,Democratic National Committee,,2016 Democratic Party Platform,national_party_platform,2016-07-25,2016-07-25,https://democrats.org/wp-content/uploads/sites/2/2019/07/2016_DNC_Platform.pdf,,verified,Official DNC platform aligned to the 2016 Massachusetts primary cycle.
context-dsa-national-ma-2016,Massachusetts,MA,2016,national,dsa_national,Democratic Socialists of America,,DSA national platform search seed,dsa_national_platform_search_seed,,,https://www.dsausa.org/,,searched_not_found,"Official DSA national site was searched for a qualifying 2016 national platform or equivalent electoral program, and none was confirmed before the later 2017 priorities-resolution cycle."
context-boston-dsa-ma-2016,Massachusetts,MA,2016,local,dsa_state_local,Boston Democratic Socialists of America,Boston DSA,Boston DSA endorsement process archive search seed,chapter_questionnaire_or_platform_search_seed,,,https://bostondsa.org/endorsements/,,source_unavailable,"Searched Boston DSA’s official endorsements pages and WordPress content index for Connolly, questionnaire, electoral, endorsement, and platform materials. The current official platform was first published May 31, 2026 and is not cycle-appropriate; the official site exposes no 2016 questionnaire or adopted local platform, and Wayback discovery found no Boston DSA site capture before July 2017. A cycle-appropriate official 2016 source therefore could not be retrieved, and no third-party questionnaire was substituted."
context-state-party-ma-2016,Massachusetts,MA,2016,state,state_democratic_party,Massachusetts Democratic Party,,2013 Massachusetts Democratic Party Platform,state_party_platform_archive,,,http://www.massdems.org/files/2013_MDP_Platform_FINAL.pdf,,verified,Official Massachusetts Democratic Party 2013 platform governed the 2016 cycle; research also identified an archived platform page capture dated 2017-04-03.
context-dnc-me-2016,Maine,ME,2016,national,dnc_national,Democratic National Committee,,2016 Democratic Party Platform,national_party_platform,2016-07-25,2016-07-25,https://democrats.org/wp-content/uploads/sites/2/2019/07/2016_DNC_Platform.pdf,,verified,Official DNC platform aligned to the 2016 Maine primary cycle.
context-dsa-national-me-2016,Maine,ME,2016,national,dsa_national,Democratic Socialists of America,,DSA national platform search seed,dsa_national_platform_search_seed,,,https://www.dsausa.org/,,searched_not_found,"Official DSA national site was searched for a qualifying 2016 national platform or equivalent electoral program, and none was confirmed before the later 2017 priorities-resolution cycle."
context-state-party-me-2016,Maine,ME,2016,state,state_democratic_party,Maine Democratic Party,,Maine Democratic Party platform search seed,state_party_platform_search_seed,,,https://www.mainedems.org/,,searched_not_found,The official Maine Democrats site was located but no official 2016 platform document was isolated in the bounded pass.
context-dsa-national-ny-2017,New York,NY,2017,national,dsa_national,Democratic Socialists of America,,DSA national platform search seed,dsa_national_platform_search_seed,,,https://www.dsausa.org/,,searched_not_found,"Official DSA national site was searched for a qualifying 2017 national platform or equivalent electoral program before the later 2017 priorities-resolution cycle, and none was confirmed for the represented 2017 primary cycle."
context-state-party-ny-full-platform-2017,New York,NY,2017,state,state_democratic_party,New York State Democratic Party,,New York State Democratic Party full platform search seed,state_party_platform_search_seed,,,https://www.nydems.org/about,,searched_not_found,"Official New York State Democratic Party materials were searched for a qualifying full state platform, but only about/resolution/archive analog materials were confirmed in the bounded pass."
synthetic-pa-2017-dsa_state_local-e5c35959bea8de72,Pennsylvania,PA,2017,local,dsa_state_local,Pittsburgh Democratic Socialists of America,Pittsburgh DSA,Pittsburgh DSA 2017 Mik Pappas Endorsement Statement and Electoral Justice Planks,chapter_electoral_endorsement_planks,,2017-11-01,https://pghdsa.org/2017/11/01/statement-on-pittsburgh-dsa-endorsement-of-mik-pappas/,https://web.archive.org/web/20171108172922id_/http://pghdsa.org:80/2017/11/01/statement-on-pittsburgh-dsa-endorsement-of-mik-pappas/,verified,"Verified official, cycle-specific Pittsburgh DSA electoral planks. The chapter statement affirms its membership-backed 2017 endorsement and states the governing rationale: democratic control for public need, opposition to eviction rubber-stamping and criminalization of addiction, recognition of justice-system disparities, opposition to punitive cash-bail effects, and access to justice. The official site and complete 2017 Wayback URL inventory were searched for a standalone chapter platform or candidate questionnaire; none was recovered, so this is cataloged as endorsement planks rather than a full platform/questionnaire. The endorsement vote date is not stated; November 1 is the official statement publication/effective date."
