race_id,candidate_name,election_date,party,role,evidence_status
race-008359a3ae2f818fb2a9,Christy Lynch,2024-11-05,Republican,opponent,source_unavailable
race-008359a3ae2f818fb2a9,Devin Davis,2024-11-05,Democratic,endorsed,source_unavailable
race-008359a3ae2f818fb2a9,Devin Davis,2024-11-05,Democratic,endorsed,verified
race-008359a3ae2f818fb2a9,Devin Lance Graham,2024-11-05,Republican,opponent,source_unavailable
race-008359a3ae2f818fb2a9,Devin Lance Graham,2024-11-05,Republican,opponent,verified
race-008359a3ae2f818fb2a9,Shondrell Perrilloux,2024-11-05,Republican,opponent,source_unavailable
race-008359a3ae2f818fb2a9,Shondrell Perrilloux,2024-11-05,Republican,opponent,verified
race-008359a3ae2f818fb2a9,Troy A. Carter Sr.,2024-11-05,Democratic,opponent,source_unavailable
race-01544fd6f43d869a7792,Michael Benedetto,2024-06-25,Democratic,opponent,source_unavailable
race-0159b30b2abfcca8ea6b,Alexa Avilés,2025-06-24,Democratic,endorsed,verified
race-0159b30b2abfcca8ea6b,Ling Ye,2025-06-24,Democratic,opponent,source_unavailable
race-017fe96eb07366f790ea,Eon Huntley,2024-06-25,Democratic,endorsed,verified
race-017fe96eb07366f790ea,Stefani L. Zinerman,2024-06-25,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Beth Doglio,2020-08-04,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Dean Johnson,2020-08-04,Republican,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Don Hewett,2020-08-04,Republican,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Eric LeMay,2020-08-04,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Gordon Allen Pross,2020-08-04,Republican,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Jackson Maynard,2020-08-04,Republican,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Joshua Collins,2020-08-04,Essential Workers,endorsed,source_unavailable
race-01a8a2624bb11b60a39a,Kristine M. Reeves,2020-08-04,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Marilyn Strickland,2020-08-04,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Mary Bacon,2020-08-04,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Nancy Dailey Slotnick,2020-08-04,Republican,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Phil Gardner,2020-08-04,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Ralph Johnson,2020-08-04,Republican,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Randolph (Randy) Bell,2020-08-04,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Rian Ingrim,2020-08-04,Republican,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Richard Boyce,2020-08-04,Congress Sucks,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Ryan Tate,2020-08-04,Republican,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Sam Wright,2020-08-04,Democratic,opponent,source_unavailable
race-01a8a2624bb11b60a39a,Todd Buckley,2020-08-04,Independent,opponent,source_unavailable
race-0218abea5bd67b0db8de,Valerie Thomason,2024-06-11,Democratic,endorsed,verified
race-0218abea5bd67b0db8de,Venise L. Karris,2024-06-11,Democratic,opponent,verified
race-0237c4a27ae65d01b793,Janeese Lewis George,2024-06-04,Democratic,endorsed,source_unavailable
race-0237c4a27ae65d01b793,Janeese Lewis George,2024-06-04,Democratic,endorsed,verified
race-0237c4a27ae65d01b793,Lisa Gore,2024-06-04,Democratic,opponent,verified
race-0237c4a27ae65d01b793,Paul Johnson,2024-06-04,Democratic,opponent,source_unavailable
race-0238993b2ccb424dc347,Byron H. Nolen,2026-08-04,Democratic,opponent,source_unavailable
race-0238993b2ccb424dc347,Rashida Tlaib,2026-08-04,Democratic,endorsed,verified
race-0238993b2ccb424dc347,Shanelle Jackson,2026-08-04,Democratic,opponent,source_unavailable
race-026beb7df1654b4ca5c4,Robert L. Langford,2018-06-12,Democratic,endorsed,verified
race-026beb7df1654b4ca5c4,Steve Wolfson,2018-06-12,Democratic,opponent,verified
race-02c4c65549e1b95a5ad9,Cynthia Mota,2021-05-18,Democratic,opponent,source_unavailable
race-02c4c65549e1b95a5ad9,Daryl L Hendricks,2021-05-18,Democratic,opponent,source_unavailable
race-02c4c65549e1b95a5ad9,Ed Zucal,2021-05-18,Democratic,opponent,source_unavailable
race-02c4c65549e1b95a5ad9,Erik Rodriguez,2021-05-18,Democratic,endorsed,source_unavailable
race-02c4c65549e1b95a5ad9,Erik Rodriguez,2021-05-18,Democratic,opponent,source_unavailable
race-02c4c65549e1b95a5ad9,Justan Fields,2021-05-18,Democratic,opponent,source_unavailable
race-02c4c65549e1b95a5ad9,Natalie Santos,2021-05-18,Democratic,endorsed,source_unavailable
race-02c4c65549e1b95a5ad9,Natalie Santos,2021-05-18,Democratic,opponent,source_unavailable
race-02c4c65549e1b95a5ad9,Patrick Palmer,2021-05-18,Democratic,endorsed,source_unavailable
race-02c4c65549e1b95a5ad9,Patrick Palmer,2021-05-18,Democratic,opponent,source_unavailable
race-02c4c65549e1b95a5ad9,Santo Napoli,2021-05-18,Democratic,opponent,source_unavailable
race-02c4c65549e1b95a5ad9,Tino Babayan,2021-05-18,Democratic,opponent,source_unavailable
race-0371ba58189e203d8e3e,Adam L. Bojak,2020-06-23,Democratic,endorsed,source_unavailable
race-0371ba58189e203d8e3e,Jonathan D. Rivera,2020-06-23,Democratic,opponent,source_unavailable
race-0371ba58189e203d8e3e,Robert Quintana,2020-06-23,Democratic,opponent,source_unavailable
race-049299a4595c67aafc85,Dexter Fisher,2026-05-19,Nonpartisan,opponent,source_unavailable
race-049299a4595c67aafc85,LaKeisha Gantt,2026-05-19,Nonpartisan,opponent,verified
race-049299a4595c67aafc85,Mara Zuniga,2026-05-19,Nonpartisan,opponent,source_unavailable
race-049299a4595c67aafc85,Sharon Miller,2026-05-19,Nonpartisan,opponent,source_unavailable
race-049299a4595c67aafc85,Tim Denson,2026-05-19,Nonpartisan,endorsed,source_unavailable
race-04cb327196963b09ba9f,Gabriella A. Romero,2021-06-22,Democratic,endorsed,source_unavailable
race-04cb327196963b09ba9f,Jeffrey D. Mayo,2021-06-22,Democratic,opponent,source_unavailable
race-04cb327196963b09ba9f,Richard-Olivier Marius,2021-06-22,Democratic,opponent,source_unavailable
race-04cb327196963b09ba9f,Susan M. Pedo,2021-06-22,Democratic,opponent,source_unavailable
race-04edaf6b921af5fb05b3,Brenda Short,2026-08-11,Democratic-Farmer-Labor,opponent,verified
race-04edaf6b921af5fb05b3,Jeanelle Austin,2026-08-11,Democratic-Farmer-Labor,opponent,verified
race-04edaf6b921af5fb05b3,Omar Fateh,2026-08-11,Democratic-Farmer-Labor,endorsed,verified
race-04f4b140e43f16fb25b0,Jeremy A. Garza,2021-08-03,,opponent,source_unavailable
race-04f4b140e43f16fb25b0,Nicklas Zande,2021-08-03,,opponent,source_unavailable
race-04f4b140e43f16fb25b0,Oprah Revish,2021-08-03,,endorsed,source_unavailable
race-05835d3a049b0be0e256,"Albert ""Al"" Mills",2020-09-15,Democratic,opponent,source_unavailable
race-05835d3a049b0be0e256,Coby Owens,2020-09-15,Democratic,endorsed,verified
race-05835d3a049b0be0e256,"Karen ""Butter"" Flowers",2020-09-15,Democratic,opponent,source_unavailable
race-05835d3a049b0be0e256,Linda Gray,2020-09-15,Democratic,opponent,source_unavailable
race-05c887ffae75d010ea4d,DeArtriss Coleman-Richardson,2024-08-06,Democratic,opponent,source_unavailable
race-05c887ffae75d010ea4d,Dylan Wegela,2024-08-06,Democratic,endorsed,verified
race-0650530eb5458097dae5,Isaac Powell,2021-08-03,Democratic,opponent,source_unavailable
race-0650530eb5458097dae5,James Jerome Bell,2021-08-03,Democratic,opponent,source_unavailable
