race_id,election_date,office,jurisdiction,state,state_code,official_election_source,verification_status,notes
race-d96bd5f1de26b3d3b7d6,2020-08-11,State Senate,District 62,Minnesota,MN,https://electionresults.sos.state.mn.us/Results/StateSenate/1?districtid=562,verified,Official Minnesota primary results identify Omar Fateh and Jeff Hayden in Senate District 62.
race-0371ba58189e203d8e3e,2020-06-23,State Assembly,District 149,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,verified,"Verified on New York State Board of Elections June 23, 2020 certified primary results."
race-05835d3a049b0be0e256,2020-09-15,City Council,Wilmington District 1,Delaware,DE,https://elections.delaware.gov/results/html/index.shtml?electionDate=2020-09-15,verified,Verified on Delaware Department of Elections 2020 primary results.
race-0f831c1823a5528f7bf6,2020-09-15,State House,District 27,Delaware,DE,https://elections.delaware.gov/results/html/index.shtml?electionDate=2020-09-15,verified,Verified on Delaware Department of Elections 2020 primary results.
race-1ae0377fbe0218036806,2020-06-02,City Council,Baltimore District 12,Maryland,MD,https://results.elections.maryland.gov/elections/2020/results/primary/index.html,verified,Verified on Maryland State Board of Elections 2020 primary results.
race-1b75c0e578468fd6ef46,2020-09-01,State Representative,2nd Suffolk District,Massachusetts,MA,https://electionstats.state.ma.us/elections/view/140574/,verified,Verified on Massachusetts Election Statistics 2020 state primary results.
race-22a936e1e172dbe73f83,2020-09-15,State Senate,District 13,Delaware,DE,https://elections.delaware.gov/results/html/index.shtml?electionDate=2020-09-15,verified,Verified on Delaware Department of Elections 2020 primary results.
race-248037f4a8dd844f2fd3,2020-09-08,State House,District 7,Rhode Island,RI,https://www.ri.gov/election/results/2020/statewide_primary/races/289.html,verified,Verified on Rhode Island official statewide primary results.
race-24aa59df50abd920bfce,2020-06-23,State Assembly,District 36,New York,NY,https://elections.ny.gov/system/files/documents/2024/01/certifiedjune232020stateprimaryresults.pdf,verified,Verified on New York State Board of Elections certified results; official contest matches Zohran Mamdani/Aravella Simotas and the queue opponent field was blank.
race-270213668f9b0459e1f5,2020-08-04,US House,District 1,Missouri,MO,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/All_Results_2020_Primary_8_4_2020.pdf/,verified,Verified on Missouri Secretary of State 2020 primary results.
race-271730fa96966d7953eb,2020-05-19,President,Statewide,Oregon,OR,https://sos.oregon.gov/elections/Documents/results/may-2020-official.pdf,verified,Verified on Oregon Secretary of State May 2020 official results.
race-27898efa1748e81e5d56,2020-06-30,US Senate,Statewide,Colorado,CO,https://www.sos.state.co.us/pubs/elections/Results/Abstract/2020/primary/democratic/usSenate.html,source_unavailable,"Official Colorado Democratic U.S. Senate primary results list Andrew Romanoff and John Hickenlooper; Lorena Garcia does not appear on the official ballot, so the queue row conflicts with the official source."
race-2812e849ff7ef05c62d9,2020-06-02,State Senate,District 1,Pennsylvania,PA,https://www.electionreturns.pa.gov/,verified,Verified on Pennsylvania Department of State 2020 primary results.
race-2f8e4895b4a4f1338b92,2020-06-02,State House,District 95,Montana,MT,https://sosmt.gov/elections/results/,verified,Verified on Montana Secretary of State 2020 primary results; Danny Tenenbaum was unopposed.
