race_id,election_date,office,jurisdiction,state,state_code,official_election_source,verification_status,notes
race-008359a3ae2f818fb2a9,2024-11-05,US House,District 2,Louisiana,LA,https://voterportal.sos.la.gov/graphical,verified,Verified from Louisiana SOS Nov. 5 2024 results for U.S. House District 2.
race-017fe96eb07366f790ea,2024-06-25,State Assembly,District 56,New York,NY,https://results.elections.ny.gov/,verified,Verified from NY BOE June 25 2024 primary results for Assembly District 56.
race-0218abea5bd67b0db8de,2024-06-11,State Assembly,District 10,Nevada,NV,https://www.nvsos.gov/silverstate2024pri/NVAssembly/,verified,Verified from Nevada SOS June 11 2024 primary results for Assembly District 10.
race-0237c4a27ae65d01b793,2024-06-04,City Council,Ward 4,District of Columbia,DC,https://www.dcboe.org/,verified,Verified from DC Board of Elections June 4 2024 Democratic primary materials for Ward 4.
race-05c887ffae75d010ea4d,2024-08-06,State Representative,District 26,Michigan,MI,https://mvic.sos.state.mi.us/PublicCandidateList.aspx?PageMode=Ballot&SearchType=OFFICE&ElectionCode=512_20240806,verified,Verified from Michigan SOS Aug. 6 2024 candidate listing/results for House District 26.
race-0efcfaf846114fe67a11,2023-09-12,Legislative Council At-Large,Hamden,Connecticut,CT,https://electionhistory.ct.gov/,verified,Verified from Connecticut elections database/Hamden primary candidate listing for Hamden Legislative Council At-Large.
race-1b16bc7d886dcbb78057,2024-05-21,State Representative,District 35,Oregon,OR,https://results.oregonvotes.gov/2024May/index.html,verified,Verified from Oregon SOS May 2024 primary results for House District 35.
race-1d52e9db30dc8b63812b,2024-09-10,County Council President,New Castle County,Delaware,DE,https://elections.delaware.gov/results/index.shtml,verified,Verified from Delaware Dept. of Elections Sept. 10 2024 primary results.
race-1e73e737c92d27505df4,2023-06-27,City Council,Ithaca Ward 3,New York,NY,https://results.elections.ny.gov/,verified,Verified from NY BOE June 27 2023 primary results for Ithaca Ward 3.
race-1ebf8dc775ced8d30b89,2024-03-05,Democratic Presidential Primary,,Colorado,CO,https://historicalelectiondata.coloradosos.gov/contest/25993,verified,Verified from Colorado SOS March 5 2024 Democratic presidential primary results.
race-24985f44b17b3b11253a,2024-09-10,City Council,Wilmington District 7,Delaware,DE,https://elections.delaware.gov/results/index.shtml,verified,Verified from Delaware Dept. of Elections Sept. 10 2024 primary results.
race-2b388b22da81a36b8441,2024-06-25,State House,District 36,Colorado,CO,https://www.coloradosos.gov/pubs/elections/Results/Abstract/2024/,verified,Verified from Colorado SOS June 25 2024 primary results for House District 36.
race-2d45550960d2b093207f,2024-06-25,State Senate,District 59,New York,NY,https://results.elections.ny.gov/,verified,Verified from NY BOE June 25 2024 primary results for Senate District 59.
race-31fe14573c903bb5d74d,2024-08-13,State Senate,Chittenden Central,Vermont,VT,https://electionresults.vermont.gov/,verified,Verified from Vermont SOS Aug. 13 2024 primary results for Chittenden Central State Senate.
race-32787f9ccc5947c3fca5,2023-06-27,City Council,Rochester East,New York,NY,https://results.elections.ny.gov/,verified,Verified from NY BOE June 27 2023 primary results for Rochester East council seat.
race-35fa446ca326b84f7fb7,2023-05-16,City Council,Philadelphia District 7,Pennsylvania,PA,https://vote-results.phila.gov/Default.aspx?eid=51,verified,Verified from Philadelphia official May 16 2023 Democratic primary results for District 7.
race-37d84e89f40adca092d4,2024-08-13,State Senate,Chittenden Central,Vermont,VT,https://electionresults.vermont.gov/,verified,Verified from Vermont SOS Aug. 13 2024 primary results for Chittenden Central State Senate.
race-38c48dfc001f2881c404,2023-05-02,City Council At-Large,Akron,Ohio,OH,https://liveresults.boe.ohio.gov/ENR/summitohenr/7/summary_7.pdf,verified,Verified from Summit County BOE May 2 2023 Democratic primary results for Akron Council At-Large.
race-3928850e2f90dbc3b55f,2024-06-25,State House,District 4,Colorado,CO,https://www.coloradosos.gov/pubs/elections/Results/Abstract/2024/,verified,Verified from Colorado SOS June 25 2024 primary results for House District 4.
race-3b8f105d02f390f68f75,2024-03-12,Democratic Presidential Primary,,Washington,WA,https://results.vote.wa.gov/results/20240312/,verified,Verified from Washington statewide March 12 2024 Democratic presidential primary materials.
