record_id,created_time,Blog,Bluesky,Email list,Event Calendar,Facebook,Group Email,Instagram,Linktree,Name,State,Status,Twitter,Website,directory_presence
rec54EXFtdU3sY5ln,2020-06-08T13:08:52.000Z,,,bit.ly/bhamdsabulletin,bhamdsa.org/calendar,facebook.com/bhamdsa,info@bhamdsa.org,instagram.com/bhamdsa,,Birmingham,AL,Chapter,,https://bhamdsa.org,current
recqVD57cMVELsEux,2023-08-09T17:37:36.000Z,,https://bsky.app/profile/mobilebaydsa.bsky.social,,,http://www.facebook.com/mobiledsa,steering@mobilebaydsa.org,https://www.instagram.com/mobiledsa,https://linktr.ee/mobilebaydsa,Mobile Bay,AL,Chapter,https://x.com/mobiledsa,mobilebaydsa.org,current
reclmXwgrT4BHf9Vq,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsanorthalabama.bsky.social,https://actionnetwork.org/forms/sign-up-here-for-updates-on-north-alabama-dsa,https://teamup.com/ksnzpyhp4t3mx2c7t2,https://www.facebook.com/NorthAlabamaDSA/,info@northal-dsa.org,instagram.com/dsanorthal,,North Alabama,AL,Chapter,,https://www.northal-dsa.org/,current
recHa3LuQePOlurGF,2025-04-07T19:06:50.000Z,,https://bsky.app/profile/riverregiondsa.bsky.social ,,https://www.theriverregiondsa.org/calendar ,https://www.facebook.com/riverregiondsa/ ,Riverregiondsa@gmail.com,https://www.instagram.com/riverregiondsa/ ,https://linktr.ee/riverregiondsa ,River Region,AL,Chapter,,https://www.theriverregiondsa.org/,current
reccvfwbAsEZHpPfh,2025-06-12T16:35:18.000Z,,,,,https://www.facebook.com/shoalsdsa,shoalsdsa@proton.me,,,The Shoals,AL,Organizing Committee,,,current
recGwgmQTIF0Hz0Ym,2020-10-21T17:59:35.000Z,,,,,https://www.facebook.com/fortsmithdsa,fortsmithdsa@gmail.com,,,Arkansas Valley,AR,Chapter,,,current
rec10F86xarzwxgv3,2020-06-08T13:08:52.000Z,,,https://actionnetwork.org/forms/stay-in-touch-with-the-central-arkansas-democratic-socialists-of-america/,https://calendar.google.com/calendar/u/0/embed?src=central.arkansas.dsa@gmail.com&ctz=America/Chicago,https://www.facebook.com/CentralArkansasDSA/,central.arkansas.dsa@gmail.com,https://www.instagram.com/central_ar_dsa/,,Central Arkansas,AR,Chapter,https://twitter.com/CentralArkDSA,https://centralarkansasdsa.org/,current
recIZudVm6B3o5tAN,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsanwa.org,https://actionnetwork.org/forms/nwa-dsa-email-list-signup?source=direct_link&,https://dsanwa.org/calendar,https://www.facebook.com/dsaofnwa/,nwademsoc@gmail.com ,https://www.instagram.com/nwadsa/,,Northwest Arkansas,AR,Chapter,,https://dsanwa.org/,current
recdQwlYzhFjozDeh,2025-04-30T18:42:28.000Z,,,,,,flagstaffdsa@gmail.com,,,Flagstaff,AZ,Organizing Committee,,,current
recJJ2eQgDwgQVLAR,2020-06-08T13:08:52.000Z,https://redallover.substack.com/,,https://actionnetwork.org/forms/sign-up-for-phoenix-dsas-mailing-list,https://phxdsa.org/calendar,,phxazdsa@gmail.com,https://www.instagram.com/phoenix_dsa/ ,,Phoenix,AZ,Chapter,https://x.com/phxdsa,http://phxdsa.org/,current
recxiA4PdNnBvxKOF,2025-06-12T16:34:51.000Z,,,,,,pinalcountydsa@gmail.com,https://www.instagram.com/pinalcountydsa,https://actionnetwork.org/forms/pinal-county-dsa-chapter-interest-form?source=direct_link&,Pinal County,AZ,Organizing Committee,,,current
recCcEM7Z3Ch8IR0X,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/tucson-dsa.bsky.social,https://actionnetwork.org/forms/join-the-tucson-dsa-community,https://www.tucsondsa.org/events,,contact@tucsondsa.org,https://www.instagram.com/tucson_dsa/,https://linktr.ee/TucsonDSA,Tucson,AZ,Chapter,,https://www.tucsondsa.org/,current
rec1PoP1FexlSxpRj,2020-10-21T17:56:37.000Z,,,,https://www.centralcoastdsa.org/events,https://www.facebook.com/centralcoastdsa/,central.coast.ca.dsa@gmail.com,https://www.instagram.com/centralcoastdsa,https://linktr.ee/cc.dsa,Central Coast California,CA,Chapter,https://x.com/centralcoastdsa,https://www.centralcoastdsa.org,current
reciHswHKOYjwYIT7,2020-06-08T13:08:52.000Z,,,,https://calendar.google.com/calendar/u/3?cid=Zm9vdGhpbGxzZHNhQGdtYWlsLmNvbQ,https://www.facebook.com/csfdsa,foothillsdsa@gmail.com,https://www.instagram.com/csf_dsa/,https://linktr.ee/foothillsdsa,Central Sierra Foothills,CA,Chapter,,,current
reclrcVPfxAuBDFLR,2020-06-08T13:08:52.000Z,https://bayareacurrent.com/,https://bsky.app/profile/dsaeastbay.bsky.social,eastbaydsa.org/join,eastbaydsa.org/events,facebook.com/eastbaydsa,steering@eastbaydsa.org,instagram.com/dsaeastbay,https://linktr.ee/eastbaydsa,East Bay,CA,Chapter,twitter.com/dsaeastbay,https://eastbaydsa.org,current
recCqWfZhgS1Y8uxk,2025-07-15T21:23:55.000Z,,,https://actionnetwork.org/forms/humboldt-dsa-interest-form ,https://humboldtdsa.org/calendar/, https://www.facebook.com/humboldtcaDSA/,HumboldtDSA@proton.me,https://www.instagram.com/dsahumboldt/,,Humboldt,CA,Chapter,,https://humboldtdsa.org/,current
reck5iOPvimUvgqOs,2020-06-08T13:08:52.000Z,https://iedsa.org/blog/,,,https://iedsa.org/event-calendar/,https://www.facebook.com/InlandEmpireDSA,inlanddsa@gmail.com,https://www.instagram.com/inlandempiredsa/,https://linktr.ee/inlandempiredsa,Inland Empire,CA,Chapter,https://x.com/inlandempiredsa,https://iedsa.org/,current
rec5oCB3pkgeeCu3c,2025-07-22T23:13:15.000Z,,https://bsky.app/profile/dsakerncounty.bsky.social,,,https://www.facebook.com/dsakerncounty/,dsa.kern.county@gmail.com,https://www.instagram.com/dsakerncounty,https://linktr.ee/dsakerncounty,Kern County,CA,Organizing Committee,https://x.com/dsakerncounty,https://dsakern.org/,current
recM9oJzvTBqHfg05,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsa-lb.bsky.social,https://actionnetwork.org/forms/dsa-lb-newsletter-signup,https://dsalb.org/calendar/,,info@dsalb.org,https://www.instagram.com/dsa_lb/,https://linktr.ee/dsalongbeach,Long Beach,CA,Chapter,https://twitter.com/DSALongBeach,https://dsalb.org/,current
recxtTi13BvQKTdbb,2020-06-08T13:08:52.000Z,https://dsa-la.org/blog/,https://bsky.app/profile/dsa.la,https://dsa-la.org,https://dsa-la.org/calendar/,https://www.facebook.com/DSALosAngeles/,steeringcommittee@dsa-la.org,https://www.instagram.com/dsa_la/,dsa.la/links,Los Angeles,CA,Chapter,https://x.com/dsa_losangeles,http://www.dsa-la.org/,current
rec1XZXW341XzyNWC,2021-10-28T21:11:46.000Z,,https://bsky.app/profile/marin-dsa.bsky.social,,,https://www.facebook.com/MarinDSA,marindemsoc@gmail.com,https://www.instagram.com/marin_dsa,https://linktr.ee/marindsa,Marin,CA,Chapter,https://x.com/dsa_marin,https://marin.dsausa.org/,current
recmjWM6YNJ2vDGZj,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/ncvdsa.bsky.social,,,,northcentralvalleydsa@gmail.com,https://www.instagram.com/northcentralvalleydsa,https://linktr.ee/NCVDSA,North Central Valley,CA,Chapter,,,current
rec5hJmR73tFnnrHr,2020-06-08T13:08:52.000Z,,,www.ocdsa.org,www.ocdsa.org/events,facebook.com/dsaorangecounty,contact@ocdsa.org,instagram.com/ocdsa,,Orange County,CA,Chapter,twitter.com/dsaorangecounty,www.ocdsa.org,current
rec18H0LBUFgw7VOA,2020-06-08T13:08:52.000Z,https://peninsuladsa.org/blog/,https://bsky.app/profile/peninsuladsa.bsky.social,http://eepurl.com/cNwNHH,https://peninsuladsa.org/calendar/,https://www.facebook.com/peninsulaDSA/,info@peninsuladsa.org,https://www.instagram.com/peninsuladsa/,,Peninsula California,CA,Chapter,https://twitter.com/DSA_Peninsula,peninsuladsa.org,current
reczRzsq3yjibUmxn,2020-06-08T13:08:52.000Z,https://www.sacdsa.org/blog/,,,,https://www.facebook.com/DSA.Sacramento,DSAsacramento@gmail.com,https://www.instagram.com/dsasac/?hl=en,,Sacramento,CA,Chapter,http://www.twitter.com/DSASac,http://www.sacdsa.org/,current
recx3POhJ9lB3zLLk,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsasandiego.org,https://www.dsasandiego.org/subscribe,https://www.dsasandiego.org/events,https://www.facebook.com/sandiegodsa/,sandiegodsa@gmail.com,https://www.instagram.com/dsa.san.diego/,https://linktr.ee/dsasandiego,San Diego,CA,Chapter,,https://dsasandiego.org/,current
recBlZviC59yKt1hj,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsasf.org,https://dsasf.solidarity.tech/newsletter-sign-up-form,https://dsasf.org/events/,https://www.facebook.com/dsasanfrancisco,steering@dsasf.org,https://www.instagram.com/dsa_sf/,https://lnk.bio/dsasf/,San Francisco,CA,Chapter,https://x.com/DSA_SF,https://dsasf.org/,current
rec7sks6OHL9j2ndi,2020-06-08T13:08:52.000Z,,,,,https://www.facebook.com/slocialism/,slocialism@gmail.com,https://www.instagram.com/dsa_slo,,San Luis Obispo,CA,Chapter,https://twitter.com/dsa_slo,http://www.dsaslo.org/,current
recOGcJgoHsY9bqcc,2020-06-08T13:08:52.000Z,,https://bsky.app/profile/dsasantabarbara.bsky.social,,,https://www.facebook.com/sbdsa,contact@dsasb.org,https://www.instagram.com/dsasantabarbara,,Santa Barbara,CA,Chapter,,https://dsasb.org/,current
recROx1PBZD5Vk7xh,2020-06-08T13:08:52.000Z,https://dsasantacruz.org/articles/,,,,https://www.facebook.com/DSASantaCruz/,info@DSAsantacruz.org,https://www.instagram.com/dsasantacruz/,,Santa Cruz,CA,Chapter,https://twitter.com/DSASantaCruz,http://www.dsasantacruz.org/,current
recD9h4FSEzw49xz8,2021-03-23T15:46:04.000Z,,,,,https://www.facebook.com/ShastaDSA,shastacountydsa@gmail.com,,,Shasta County,CA,Chapter,https://twitter.com/ShastaDSA,,current
