record_id,campaign,office,office_types,national_endorsement,election_date,endorsing_chapters,primary_result,general_result,created_time,source_view_url,source_presence,retrieved_at
rec1E10MK2YwYjBY4,Bernie Sanders,US President,Federal,Endorsed 2016,2016-07-28,,N/A,N/A,2024-01-02T17:29:40.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
rec1re93o4SLX51Kj,Khader El-Yateem,"City Council, NYC - 43rd District",Municipal,Endorsed 2017,2017-09-12,New York City,Loss,Loss,2024-01-02T17:28:13.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
reciYJxWCVs4A1gGu,Ginger Jentzen,"City Council, Minneapolis - Ward 3",Municipal,Endorsed 2017,2017-11-07,Twin Cities,N/A,Loss,2024-01-02T17:28:13.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
recgGGkIBypRWFW6C,JT Scott,"Board of Aldermen, Somerville, Ward 2",Municipal,Endorsed 2017,2017-11-07,Boston,Win,Win,2024-01-02T17:28:13.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
recczmetxeWU5Vekx,Jabari Brisport,"City Council, NYC - District 35",Municipal,Endorsed 2017,2017-11-07,New York City,N/A,Loss,2024-01-02T17:28:13.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
rece2arOEOUC7Xo1f,Jon Grant,"City Council, Seattle - Position 8",Municipal,Endorsed 2017,2017-11-07,Seattle,Loss,Loss,2024-01-02T17:28:13.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
rec7RY6KfOVj4jftV,Tristan Rader,"City Council, Lakewood - At-Large",Municipal,Endorsed 2017,2017-11-07,Cleveland,Win,Win,2024-01-02T17:28:13.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
recVxXOmhmKzuc3xx,Genevieve Jones-Wright,"District Attorney, San Diego County",Law Enforcement,Endorsed 2018,2018-06-05,San Diego,Loss,Loss,2024-01-02T17:28:13.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
rec0UFyP597OpQytj,Kaniela Ing,"US House, HI-01",Federal,Endorsed 2018,2018-08-11,Honolulu,Loss,Loss,2024-01-02T17:24:07.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
recSFVf7zRG8KBl6s,Alexandria Ocasio-Cortez,"US Congress, NY-14",Federal,Endorsed 2018,2018-11-06,New York City,Win,Win,2024-01-02T17:24:07.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
recaYxEb9IcmWZgsJ,Amelia Marquez,"State House, District 52",State,Endorsed 2018,2018-11-06,Billings,Win,Loss,2024-01-02T17:27:11.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
rec86L5cxZpX2cLlO,Cliff Willmeng,Boulder County Commissioner,County,Endorsed 2018,2018-11-06,Boulder,N/A,Loss,2024-01-02T17:24:07.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
rectJNMnUH77bBX9s,Elizabeth Fiedler,State House - District 184,State,Endorsed 2018,2018-11-06,Philadelphia,Win,Win,2024-01-02T17:24:07.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
recYHX6BxvnTvUxkX,Franklin Bynum,"Judge, County Criminal Court - Harris County 8",Judicial | County,Endorsed 2018,2018-11-06,Houston,N/A,Win,2024-01-02T17:24:07.000Z,https://airtable.com/embed/app41ni7RJppgXEBL/shrlm0oDQJkJsCnSr?backgroundColor=grayLight&viewControls=on,latest_official_views,2026-09-22T16:52:22.768948+00:00
