race_id,scope_kind,election_date,election_year,primary_party,endorsed_candidate,endorsed_candidates,unopposed_candidates,opponent_candidates,all_candidates,candidate_count,role_set,party_set,evidence_statuses,office,office_status,office_source,office_confidence,jurisdiction,jurisdiction_status,jurisdiction_source,jurisdiction_confidence,state,state_code,state_status,state_source,state_confidence,official_election_source,official_election_source_status,official_election_source_source,official_election_source_confidence,supporting_source,supporting_source_status,supporting_source_type,supporting_source_source,supporting_source_confidence,certified_opponents,certified_opponents_status,endorsing_bodies,metadata_source,source_reference,canonical_candidate_aliases,source_race_ids,merged_race_id_count,unresolved_fields
me-house-39-dem-primary-2016,tracked_dsa_endorsed_democratic_primary,2016-06-14,2016,Democratic,Mike Sylvester,Mike Sylvester,,Andrew Edwards,Andrew Edwards | Mike Sylvester,2,endorsed | opponent,Democratic,verified,State Representative District 39,manual_verified,me-house-39-dem-primary-2016,verified,Maine,manual_verified,me-house-39-dem-primary-2016,verified,Maine,ME,manual_verified,me-house-39-dem-primary-2016,verified,https://www.maine.gov/sos/cec/elec/results/2016/June16/STREPDEM.xlsx,manual_verified,me-house-39-dem-primary-2016,verified,,unresolved,,,,Andrew Edwards,manual_verified,DSA National,manual_verified,me-house-39-dem-primary-2016,a edwards | and edwards | andrew edwards | m sylvester | mik sylvester | mike sylvester,me-house-39-dem-primary-2016,1,
national-rec0ntzcTu773zMP5-dem-primary,tracked_dsa_endorsed_democratic_primary,2023-05-16,2023,Democratic,Dennis McDermott,Dennis McDermott,,Paul Klein,Dennis McDermott | Paul Klein,2,endorsed | opponent,Democratic,mixed,"Allegheny County Council, District 11",resolution_source_unavailable,national_census_resolutions_2023_2024.csv:21:rec0ntzcTu773zMP5,high,Allegheny County,resolution_source_unavailable,national_census_resolutions_2023_2024.csv:21:rec0ntzcTu773zMP5,high,Pennsylvania,PA,resolution_source_unavailable,national_census_resolutions_2023_2024.csv:21:rec0ntzcTu773zMP5,high,,source_unavailable,national_census_resolutions_2023_2024.csv:21:rec0ntzcTu773zMP5,,https://www.alleghenycounty.us/Government/Elections/Election-Results,resolution_supporting,candidate_controlled,national_census_resolutions_2023_2024.csv:21:rec0ntzcTu773zMP5,high,Paul Klein,corpus_candidate_set,,resolution_source_unavailable,national_census_resolutions_2023_2024.csv:21:rec0ntzcTu773zMP5,d mcdermott | den mcdermott | dennis mcdermott | p klein | pau klein | paul klein,national-rec0ntzcTu773zMP5-dem-primary,1,
national-rec86L5cxZpX2cLlO-dem-primary,tracked_dsa_endorsed_democratic_primary,2018-06-26,2018,Democratic,Cliff Willmeng,Cliff Willmeng,,,Cliff Willmeng,1,endorsed,Democratic,partial,Boulder County Commissioner,resolution_verified,national_census_resolutions_2016_2020.csv:16:rec86L5cxZpX2cLlO,verified,Boulder County,resolution_verified,national_census_resolutions_2016_2020.csv:16:rec86L5cxZpX2cLlO,verified,Colorado,CO,resolution_verified,national_census_resolutions_2016_2020.csv:16:rec86L5cxZpX2cLlO,verified,https://www.coloradosos.gov/pubs/elections/Results/Abstract/2018/primary/index.html,resolution_verified,national_census_resolutions_2016_2020.csv:16:rec86L5cxZpX2cLlO,verified,,unresolved,,,,,unresolved,,resolution_verified,national_census_resolutions_2016_2020.csv:16:rec86L5cxZpX2cLlO,c willmeng | cli willmeng | cliff willmeng,national-rec86L5cxZpX2cLlO-dem-primary,1,certified_opponents
national-recAcpDZztXL02ym0-dem-primary,tracked_dsa_endorsed_democratic_primary,2021-09-14,2021,Democratic,Abdul Osmanu,Abdul Osmanu,,,Abdul Osmanu,1,endorsed,Democratic,inferred,"Legislative Council, Hamden District 3",resolution_verified,national_census_resolutions_2021_2022.csv:10:recAcpDZztXL02ym0,verified,Hamden,resolution_verified,national_census_resolutions_2021_2022.csv:10:recAcpDZztXL02ym0,verified,Connecticut,CT,resolution_verified,national_census_resolutions_2021_2022.csv:10:recAcpDZztXL02ym0,verified,https://electionhistory.ct.gov/,resolution_verified,national_census_resolutions_2021_2022.csv:10:recAcpDZztXL02ym0,verified,,unresolved,,,,,unresolved,,resolution_verified,national_census_resolutions_2021_2022.csv:10:recAcpDZztXL02ym0,a osmanu | abd osmanu | abdul osmanu,national-recAcpDZztXL02ym0-dem-primary,1,certified_opponents
national-recDXw3CpyWrmjZpF-dem-primary,tracked_dsa_endorsed_democratic_primary,2026-08-04,2026,Democratic,Donavan McKinney for Congress,Donavan McKinney for Congress,,Shri Thanedar,Donavan McKinney for Congress | Shri Thanedar,2,endorsed | opponent,Democratic,verified,US Congress (MI-13),resolution_source_unavailable,national_census_resolutions_2025_2026.csv:31:recDXw3CpyWrmjZpF,high,District 13,resolution_source_unavailable,national_census_resolutions_2025_2026.csv:31:recDXw3CpyWrmjZpF,high,Michigan,MI,resolution_source_unavailable,national_census_resolutions_2025_2026.csv:31:recDXw3CpyWrmjZpF,high,,source_unavailable,national_census_resolutions_2025_2026.csv:31:recDXw3CpyWrmjZpF,,https://thanedar.house.gov/,resolution_supporting,incumbent_office,national_census_resolutions_2025_2026.csv:31:recDXw3CpyWrmjZpF,high,Shri Thanedar,corpus_candidate_set,,resolution_source_unavailable,national_census_resolutions_2025_2026.csv:31:recDXw3CpyWrmjZpF,d congress | d for | don congress | don for | donavan congress | donavan for | donavan mckinney for congress | s thanedar | shr thanedar | shri thanedar,national-recDXw3CpyWrmjZpF-dem-primary,1,
national-reccwrJN64S6TImp4-dem-primary,tracked_dsa_endorsed_democratic_primary,2018-06-12,2018,Democratic,Zak Ringelstein,Zak Ringelstein,,,Zak Ringelstein,1,endorsed,Democratic,partial,US Senate,resolution_verified,national_census_resolutions_2016_2020.csv:19:reccwrJN64S6TImp4,verified,Statewide,resolution_verified,national_census_resolutions_2016_2020.csv:19:reccwrJN64S6TImp4,verified,Maine,ME,resolution_verified,national_census_resolutions_2016_2020.csv:19:reccwrJN64S6TImp4,verified,https://www.maine.gov/sos/elections-voting/election-results-data/election-results-2018,resolution_verified,national_census_resolutions_2016_2020.csv:19:reccwrJN64S6TImp4,verified,,unresolved,,,,,unresolved,,resolution_verified,national_census_resolutions_2016_2020.csv:19:reccwrJN64S6TImp4,z ringelstein | zak ringelstein,national-reccwrJN64S6TImp4-dem-primary,1,certified_opponents
national-recdSNsXy6cvCBnso-dem-primary,tracked_dsa_endorsed_democratic_primary,2021-06-22,2021,Democratic,Maddie Halpert,Maddie Halpert,,,Maddie Halpert,1,endorsed,Democratic,inferred,"Common Council, Ithaca Ward 1",resolution_verified,national_census_resolutions_2021_2022.csv:28:recdSNsXy6cvCBnso,verified,Ithaca,resolution_verified,national_census_resolutions_2021_2022.csv:28:recdSNsXy6cvCBnso,verified,New York,NY,resolution_verified,national_census_resolutions_2021_2022.csv:28:recdSNsXy6cvCBnso,verified,https://electionhistory.tompkinscountyny.gov/,resolution_verified,national_census_resolutions_2021_2022.csv:28:recdSNsXy6cvCBnso,verified,,unresolved,,,,,unresolved,,resolution_verified,national_census_resolutions_2021_2022.csv:28:recdSNsXy6cvCBnso,m halpert | mad halpert | maddie halpert,national-recdSNsXy6cvCBnso-dem-primary,1,certified_opponents
national-recfesuwYaOGwn0M1-dem-primary,tracked_dsa_endorsed_democratic_primary,2021-06-22,2021,Democratic,George Defendini,George Defendini,,,George Defendini,1,endorsed,Democratic,inferred,"Common Council, Ithaca Ward 4",resolution_verified,national_census_resolutions_2021_2022.csv:19:recfesuwYaOGwn0M1,verified,Ithaca,resolution_verified,national_census_resolutions_2021_2022.csv:19:recfesuwYaOGwn0M1,verified,New York,NY,resolution_verified,national_census_resolutions_2021_2022.csv:19:recfesuwYaOGwn0M1,verified,https://electionhistory.tompkinscountyny.gov/,resolution_verified,national_census_resolutions_2021_2022.csv:19:recfesuwYaOGwn0M1,verified,,unresolved,,,,,unresolved,,resolution_verified,national_census_resolutions_2021_2022.csv:19:recfesuwYaOGwn0M1,g defendini | geo defendini | george defendini,national-recfesuwYaOGwn0M1-dem-primary,1,certified_opponents
national-rechYkbRdzk70pbun-dem-primary,tracked_dsa_endorsed_democratic_primary,2022-05-17,2022,Democratic,Tyler Lamon,Tyler Lamon,,,Tyler Lamon,1,endorsed,Democratic,inferred,"Louisville Metro Council, District 15",resolution_verified,national_census_resolutions_2021_2022.csv:36:rechYkbRdzk70pbun,verified,Louisville,resolution_verified,national_census_resolutions_2021_2022.csv:36:rechYkbRdzk70pbun,verified,Kentucky,KY,resolution_verified,national_census_resolutions_2021_2022.csv:36:rechYkbRdzk70pbun,verified,https://elect.ky.gov/results/2020-2029/Pages/2022.aspx,resolution_verified,national_census_resolutions_2021_2022.csv:36:rechYkbRdzk70pbun,verified,,unresolved,,,,,unresolved,,resolution_verified,national_census_resolutions_2021_2022.csv:36:rechYkbRdzk70pbun,t lamon | tyl lamon | tyler lamon,national-rechYkbRdzk70pbun-dem-primary,1,certified_opponents
national-reciWW5o3Sg5OjAgj-dem-primary,tracked_dsa_endorsed_democratic_primary,2025-06-24,2025,Democratic,Jorge DeFendini,Jorge DeFendini,,,Jorge DeFendini,1,endorsed,Democratic,inferred,"Alderperson Ward 1, Ithaca Common Council",resolution_source_unavailable,national_census_resolutions_2025_2026.csv:4:reciWW5o3Sg5OjAgj,high,Ithaca,resolution_source_unavailable,national_census_resolutions_2025_2026.csv:4:reciWW5o3Sg5OjAgj,high,New York,NY,resolution_source_unavailable,national_census_resolutions_2025_2026.csv:4:reciWW5o3Sg5OjAgj,high,,source_unavailable,national_census_resolutions_2025_2026.csv:4:reciWW5o3Sg5OjAgj,,,unresolved,,,,,unresolved,,resolution_source_unavailable,national_census_resolutions_2025_2026.csv:4:reciWW5o3Sg5OjAgj,j defendini | jor defendini | jorge defendini,national-reciWW5o3Sg5OjAgj-dem-primary,1,certified_opponents
