source_pdf,page,chamber,district,primary_party,candidate_name,candidate_source_id,declared_party,write_in,votes,contest_total
wi-2024-partisan-primary-us-house-county-canvass.pdf,1,House,01,Democratic,Peter Barca,wi-2024-house-01-democratic-1,Democratic,False,59758,59861
wi-2024-partisan-primary-us-house-county-canvass.pdf,1,House,01,Democratic,SCATTERING,wi-2024-house-01-democratic-2,,True,103,59861
wi-2024-partisan-primary-us-house-county-canvass.pdf,2,House,02,Democratic,Mark Pocan,wi-2024-house-02-democratic-1,Democratic,False,149581,149897
wi-2024-partisan-primary-us-house-county-canvass.pdf,2,House,02,Democratic,SCATTERING,wi-2024-house-02-democratic-2,,True,316,149897
wi-2024-partisan-primary-us-house-county-canvass.pdf,3,House,03,Democratic,Rebecca Cooke,wi-2024-house-03-democratic-1,Democratic,False,42316,83776
wi-2024-partisan-primary-us-house-county-canvass.pdf,3,House,03,Democratic,Katrina Shankland,wi-2024-house-03-democratic-2,Democratic,False,34812,83776
wi-2024-partisan-primary-us-house-county-canvass.pdf,3,House,03,Democratic,Eric Wilson,wi-2024-house-03-democratic-3,Democratic,False,6624,83776
wi-2024-partisan-primary-us-house-county-canvass.pdf,3,House,03,Democratic,SCATTERING,wi-2024-house-03-democratic-4,,True,24,83776
wi-2024-partisan-primary-us-house-county-canvass.pdf,4,House,04,Democratic,Gwen S. Moore,wi-2024-house-04-democratic-1,Democratic,False,85017,85428
wi-2024-partisan-primary-us-house-county-canvass.pdf,4,House,04,Democratic,SCATTERING,wi-2024-house-04-democratic-2,,True,411,85428
wi-2024-partisan-primary-us-house-county-canvass.pdf,5,House,05,Democratic,Ben Steinhoff,wi-2024-house-05-democratic-1,Democratic,False,57039,57133
wi-2024-partisan-primary-us-house-county-canvass.pdf,5,House,05,Democratic,SCATTERING,wi-2024-house-05-democratic-2,,True,94,57133
wi-2024-partisan-primary-us-house-county-canvass.pdf,6,House,06,Democratic,John Zarbano,wi-2024-house-06-democratic-1,Democratic,False,54212,54277
wi-2024-partisan-primary-us-house-county-canvass.pdf,6,House,06,Democratic,SCATTERING,wi-2024-house-06-democratic-2,,True,65,54277
wi-2024-partisan-primary-us-house-county-canvass.pdf,7,House,07,Democratic,Kyle Kilbourn,wi-2024-house-07-democratic-1,Democratic,False,32917,56775
wi-2024-partisan-primary-us-house-county-canvass.pdf,7,House,07,Democratic,Elsa Rae Duranceau,wi-2024-house-07-democratic-2,Democratic,False,23795,56775
wi-2024-partisan-primary-us-house-county-canvass.pdf,7,House,07,Democratic,SCATTERING,wi-2024-house-07-democratic-3,,True,63,56775
wi-2024-partisan-primary-us-house-county-canvass.pdf,8,House,08,Democratic,Kristin Lyerly,wi-2024-house-08-democratic-1,Democratic,False,56469,56494
wi-2024-partisan-primary-us-house-county-canvass.pdf,8,House,08,Democratic,SCATTERING,wi-2024-house-08-democratic-2,,True,25,56494
wi-2024-partisan-primary-us-house-county-canvass.pdf,9,House,01,Republican,Bryan Steil,wi-2024-house-01-republican-1,Republican,False,52253,52580
wi-2024-partisan-primary-us-house-county-canvass.pdf,9,House,01,Republican,SCATTERING,wi-2024-house-01-republican-2,,True,327,52580
wi-2024-partisan-primary-us-house-county-canvass.pdf,10,House,02,Republican,Erik Olsen,wi-2024-house-02-republican-1,Republican,False,23035,41042
wi-2024-partisan-primary-us-house-county-canvass.pdf,10,House,02,Republican,Charity Barry,wi-2024-house-02-republican-2,Republican,False,17897,41042
wi-2024-partisan-primary-us-house-county-canvass.pdf,10,House,02,Republican,SCATTERING,wi-2024-house-02-republican-3,,True,110,41042
wi-2024-partisan-primary-us-house-county-canvass.pdf,11,House,03,Republican,Derrick Van Orden,wi-2024-house-03-republican-1,Republican,False,52533,52744
wi-2024-partisan-primary-us-house-county-canvass.pdf,11,House,03,Republican,SCATTERING,wi-2024-house-03-republican-2,,True,211,52744
wi-2024-partisan-primary-us-house-county-canvass.pdf,12,House,04,Republican,Purnima Nath,wi-2024-house-04-republican-1,Republican,False,5348,18799
wi-2024-partisan-primary-us-house-county-canvass.pdf,12,House,04,Republican,Tim Rogers,wi-2024-house-04-republican-2,Republican,False,13382,18799
wi-2024-partisan-primary-us-house-county-canvass.pdf,12,House,04,Republican,SCATTERING,wi-2024-house-04-republican-3,,True,69,18799
wi-2024-partisan-primary-us-house-county-canvass.pdf,13,House,05,Republican,Scott Fitzgerald,wi-2024-house-05-republican-1,Republican,False,100916,101650
wi-2024-partisan-primary-us-house-county-canvass.pdf,13,House,05,Republican,SCATTERING,wi-2024-house-05-republican-2,,True,734,101650
wi-2024-partisan-primary-us-house-county-canvass.pdf,14,House,06,Republican,Glenn Grothman,wi-2024-house-06-republican-1,Republican,False,75113,75693
wi-2024-partisan-primary-us-house-county-canvass.pdf,14,House,06,Republican,SCATTERING,wi-2024-house-06-republican-2,,True,580,75693
wi-2024-partisan-primary-us-house-county-canvass.pdf,15,House,07,Republican,Tom Tiffany,wi-2024-house-07-republican-1,Republican,False,78503,78952
wi-2024-partisan-primary-us-house-county-canvass.pdf,15,House,07,Republican,SCATTERING,wi-2024-house-07-republican-2,,True,449,78952
wi-2024-partisan-primary-us-house-county-canvass.pdf,16,House,08,Republican,Roger Roth,wi-2024-house-08-republican-1,Republican,False,34344,99532
wi-2024-partisan-primary-us-house-county-canvass.pdf,16,House,08,Republican,Tony Wied,wi-2024-house-08-republican-2,Republican,False,41937,99532
wi-2024-partisan-primary-us-house-county-canvass.pdf,16,House,08,Republican,André Jacque,wi-2024-house-08-republican-3,Republican,False,23186,99532
wi-2024-partisan-primary-us-house-county-canvass.pdf,16,House,08,Republican,SCATTERING,wi-2024-house-08-republican-4,,True,65,99532
wi-2024-partisan-primary-us-house-county-canvass.pdf,17,House,01,Constitution,SCATTERING,wi-2024-house-01-constitution-1,,True,21,21
wi-2024-partisan-primary-us-house-county-canvass.pdf,18,House,02,Constitution,SCATTERING,wi-2024-house-02-constitution-1,,True,12,12
wi-2024-partisan-primary-us-house-county-canvass.pdf,19,House,03,Constitution,SCATTERING,wi-2024-house-03-constitution-1,,True,8,8
wi-2024-partisan-primary-us-house-county-canvass.pdf,20,House,04,Constitution,SCATTERING,wi-2024-house-04-constitution-1,,True,22,22
wi-2024-partisan-primary-us-house-county-canvass.pdf,21,House,05,Constitution,SCATTERING,wi-2024-house-05-constitution-1,,True,15,15
wi-2024-partisan-primary-us-house-county-canvass.pdf,22,House,06,Constitution,SCATTERING,wi-2024-house-06-constitution-1,,True,8,8
wi-2024-partisan-primary-us-house-county-canvass.pdf,23,House,07,Constitution,SCATTERING,wi-2024-house-07-constitution-1,,True,7,7
wi-2024-partisan-primary-us-house-county-canvass.pdf,24,House,08,Constitution,SCATTERING,wi-2024-house-08-constitution-1,,True,6,6
wi-2024-partisan-primary-us-house-county-canvass.pdf,25,House,01,Libertarian,SCATTERING,wi-2024-house-01-libertarian-1,,True,23,23
wi-2024-partisan-primary-us-house-county-canvass.pdf,26,House,02,Libertarian,SCATTERING,wi-2024-house-02-libertarian-1,,True,37,37
wi-2024-partisan-primary-us-house-county-canvass.pdf,27,House,03,Libertarian,SCATTERING,wi-2024-house-03-libertarian-1,,True,18,18
wi-2024-partisan-primary-us-house-county-canvass.pdf,28,House,04,Libertarian,SCATTERING,wi-2024-house-04-libertarian-1,,True,24,24
wi-2024-partisan-primary-us-house-county-canvass.pdf,29,House,05,Libertarian,SCATTERING,wi-2024-house-05-libertarian-1,,True,22,22
wi-2024-partisan-primary-us-house-county-canvass.pdf,30,House,06,Libertarian,SCATTERING,wi-2024-house-06-libertarian-1,,True,22,22
wi-2024-partisan-primary-us-house-county-canvass.pdf,31,House,07,Libertarian,SCATTERING,wi-2024-house-07-libertarian-1,,True,21,21
wi-2024-partisan-primary-us-house-county-canvass.pdf,32,House,08,Libertarian,SCATTERING,wi-2024-house-08-libertarian-1,,True,23,23
wi-2024-partisan-primary-us-house-county-canvass.pdf,33,House,01,Wisconsin Green,"Chester Todd, Jr.",wi-2024-house-01-wisconsin-green-1,Wisconsin Green,False,259,264
wi-2024-partisan-primary-us-house-county-canvass.pdf,33,House,01,Wisconsin Green,SCATTERING,wi-2024-house-01-wisconsin-green-2,,True,5,264
wi-2024-partisan-primary-us-house-county-canvass.pdf,34,House,02,Wisconsin Green,SCATTERING,wi-2024-house-02-wisconsin-green-1,,True,39,39
wi-2024-partisan-primary-us-house-county-canvass.pdf,35,House,03,Wisconsin Green,SCATTERING,wi-2024-house-03-wisconsin-green-1,,True,13,13
wi-2024-partisan-primary-us-house-county-canvass.pdf,36,House,04,Wisconsin Green,SCATTERING,wi-2024-house-04-wisconsin-green-1,,True,25,25
wi-2024-partisan-primary-us-house-county-canvass.pdf,37,House,05,Wisconsin Green,SCATTERING,wi-2024-house-05-wisconsin-green-1,,True,24,24
wi-2024-partisan-primary-us-house-county-canvass.pdf,38,House,06,Wisconsin Green,SCATTERING,wi-2024-house-06-wisconsin-green-1,,True,16,16
wi-2024-partisan-primary-us-house-county-canvass.pdf,39,House,07,Wisconsin Green,SCATTERING,wi-2024-house-07-wisconsin-green-1,,True,11,11
wi-2024-partisan-primary-us-house-county-canvass.pdf,40,House,08,Wisconsin Green,SCATTERING,wi-2024-house-08-wisconsin-green-1,,True,15,15
wi-2024-partisan-primary-us-senate-county-canvass.pdf,3,Senate,S,Democratic,Tammy Baldwin,wi-2024-senate-s-democratic-1,Democratic,False,639049,640247
wi-2024-partisan-primary-us-senate-county-canvass.pdf,3,Senate,S,Democratic,SCATTERING,wi-2024-senate-s-democratic-2,,True,1198,640247
wi-2024-partisan-primary-us-senate-county-canvass.pdf,6,Senate,S,Republican,Eric Hovde,wi-2024-senate-s-republican-1,Republican,False,477197,553547
wi-2024-partisan-primary-us-senate-county-canvass.pdf,6,Senate,S,Republican,Charles E. Barman,wi-2024-senate-s-republican-2,Republican,False,40990,553547
wi-2024-partisan-primary-us-senate-county-canvass.pdf,6,Senate,S,Republican,Rejani Raveendran,wi-2024-senate-s-republican-3,Republican,False,34612,553547
wi-2024-partisan-primary-us-senate-county-canvass.pdf,6,Senate,S,Republican,SCATTERING,wi-2024-senate-s-republican-4,,True,748,553547
