cycle,contest_name,candidate_name,candidate_source_id,party,write_in,source_url,raw_filename,raw_sha256
2024,1ST CONGRESS,Jonathan L. Jackson,1inDbnIrUbJPjsrVK8qt7A==,DEMOCRATIC,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=1inDbnIrUbJPjsrVK8qt7A%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-a94a9b9034dde81d.html,9982787a2f713f5ece85ff6fd64495801bfcabb494094ea65d881c981fbd4e86
2024,1ST CONGRESS,Marcus Lewis,YnnMxnOdWojip5DEhk3ZCQ==,REPUBLICAN,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=YnnMxnOdWojip5DEhk3ZCQ%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-6c94fd133311079d.html,11a7c9298e094300f7cfe37ac2ae3dea08028053deddf996c66ca5f13359bf23
2024,1ST CONGRESS,Montelle L. Gaji,STFKrKcaO/WJCREO83/Npw==,REPUBLICAN,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=STFKrKcaO%2fWJCREO83%2fNpw%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-4a59fc8ab66172c3.html,4bfe6cea4d6eb300bce41d819188408aba5a0e7b6ba69095936b01ac3de79c81
2024,2ND CONGRESS,Robin Kelly,G5C33ArhVIsOnQGJewl+zg==,DEMOCRATIC,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=G5C33ArhVIsOnQGJewl%2bzg%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-dbc549b8708fe672.html,eb006c1b70e4187d3a55143586b73068f716962643b209ef845c82cc836f2474
2024,2ND CONGRESS,Ashley Ramos,h3Fu3qo8fvY7lsbWn3QB5w==,REPUBLICAN,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=h3Fu3qo8fvY7lsbWn3QB5w%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-9e4b3f9844e0ce4c.html,953a6597f6e9d5c4d0d634b1efc9066e6d7e70d702ebce023dbc62d250cf5f5f
2024,3RD CONGRESS,Delia Ramirez,8fwSjqx9F89UxW+3m9RzBw==,DEMOCRATIC,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=8fwSjqx9F89UxW%2b3m9RzBw%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-d5c50c531e2cbdf4.html,a3d1c3a6ae41a145e23399455304707800793ce53c66fff636c9da92e1bcddef
2024,3RD CONGRESS,John Booras,PGM9HuOhOvlUFmBrfAtbBw==,REPUBLICAN,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=PGM9HuOhOvlUFmBrfAtbBw%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-c2ad8ce306dcc39c.html,bfe3020cc653e238fcc620c0c9733f7721ebc123a78b18d22ea649a713587a64
2024,4TH CONGRESS,"Jesus ""Chuy"" Garcia",h3Fu3qo8fvYv3QrEMnpIYQ==,DEMOCRATIC,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=h3Fu3qo8fvYv3QrEMnpIYQ%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-43d494a9eea763df.html,0b2116d75ccbfd92a9d20c054c56fefc8791f79c7e90909d1de001300584c4fb
2024,4TH CONGRESS,Raymond A. Lopez,dyXrl/4jeEzHoH72Rz0GUg==,DEMOCRATIC,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=dyXrl%2f4jeEzHoH72Rz0GUg%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-7c74c1e5c1ae9aad.html,31cb6162b87a79c1ddab1bf4e727a54fa4116d9ae9768dc6e9e684e5c8fe13ff
2024,5TH CONGRESS,Mike Quigley,e6q/GGnmIJf9ZQWu1m6EAw==,DEMOCRATIC,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=e6q%2fGGnmIJf9ZQWu1m6EAw%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-ac818c5f6fdb411e.html,60a0a4776e9260a092640f50ae6ea6d35605f1c3b47478955e0d173094c86a3d
2024,5TH CONGRESS,Tommy Hanson,3hkkEJNH77uEI8chN9G9kw==,REPUBLICAN,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=3hkkEJNH77uEI8chN9G9kw%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-76d73692c6589060.html,cc94105723c35c69f02a9b927d83fc90595c5c7ca626612acf72fa6171657649
2024,6TH CONGRESS,Sean Casten,ms27bHj/Tr++5xOAS+p08w==,DEMOCRATIC,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=ms27bHj%2fTr%2b%2b5xOAS%2bp08w%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-a87ecec8b274ef8e.html,7c9b861c77ac13af83a16fa91f2468de4a5a843ee6c98c92f813cdb7aea3b2cb
2024,6TH CONGRESS,Niki Conforti,blz2+Dbg9uioJZH9+gCH1w==,REPUBLICAN,No,https://www.elections.il.gov/electionoperations/CandidateDetailEO.aspx?CandidateID=blz2%2bDbg9uioJZH9%2bgCH1w%3d%3d&ElectionID=rfZ%2buidMSDY%3d,candidate_details/il-2024-bc11454f4d2512cf.html,4420870bc7cc36330ddb214cdb6772372a3fea3448f0a09049ed917b703257d8
