cycle,election_date,chamber,district,primary_party,candidate_name,source_url,source_locator
2024,2024-08-13,Senate,S,Democratic,Christopher S. Murphy,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-US-Senate
2024,2024-08-13,House,01,Democratic,John B. Larson,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
2024,2024-08-13,House,01,Republican,Jim Griffin,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
2024,2024-08-13,House,02,Democratic,Joe Courtney,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
2024,2024-08-13,House,02,Republican,Mike France,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
2024,2024-08-13,House,03,Democratic,Rosa L. DeLauro,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
2024,2024-08-13,House,03,Republican,Michael Massey,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
2024,2024-08-13,House,04,Democratic,Jim Himes,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
2024,2024-08-13,House,05,Democratic,Jahana Hayes,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
2024,2024-08-13,House,05,Republican,George Logan,https://portal.ct.gov/-/media/sots/electionservices/2024/voter_guide/voter_guide_2024_general_election.pdf,Appendix-page-4
