source_pdf,page,total_page,chamber,district,primary_party,candidate_name,candidate_source_id,write_in,votes
2026-official-primary-results-us-senate.pdf,1,1,Senate,S,Democratic,CORY BOOKER,nj-2026-senate-s-democratic-1,False,587980
2026-official-primary-results-us-senate.pdf,2,2,Senate,S,Republican,JUSTIN MURPHY,nj-2026-senate-s-republican-1,False,82272
2026-official-primary-results-us-senate.pdf,3,3,Senate,S,Republican,RICHARD TABOR,nj-2026-senate-s-republican-2,False,71915
2026-official-primary-results-us-senate.pdf,4,4,Senate,S,Republican,ALEX ZDAN,nj-2026-senate-s-republican-3,False,66183
2026-official-primary-results-us-senate.pdf,5,5,Senate,S,Republican,ROBERT S. LEBOVICS,nj-2026-senate-s-republican-4,False,26280
2026-official-primary-results-us-house.pdf,1,1,House,01,Democratic,DONALD NORCROSS,nj-2026-house-01-democratic-1,False,66059
2026-official-primary-results-us-house.pdf,1,1,House,01,Republican,DAMON GALDO,nj-2026-house-01-republican-1,False,16265
2026-official-primary-results-us-house.pdf,2,2,House,02,Republican,JEFF VAN DREW,nj-2026-house-02-republican-1,False,35602
2026-official-primary-results-us-house.pdf,2,2,House,02,Democratic,ZACK MULLOCK,nj-2026-house-02-democratic-1,False,17698
2026-official-primary-results-us-house.pdf,2,2,House,02,Democratic,TIM ALEXANDER,nj-2026-house-02-democratic-2,False,12168
2026-official-primary-results-us-house.pdf,3,3,House,02,Democratic,BAYLY WINDER,nj-2026-house-02-democratic-3,False,9846
2026-official-primary-results-us-house.pdf,3,3,House,02,Democratic,TERRI REESE,nj-2026-house-02-democratic-4,False,4733
2026-official-primary-results-us-house.pdf,4,4,House,03,Democratic,HERB CONAWAY,nj-2026-house-03-democratic-1,False,50437
2026-official-primary-results-us-house.pdf,4,4,House,03,Republican,MICHAEL P. MCGUIRE,nj-2026-house-03-republican-1,False,14810
2026-official-primary-results-us-house.pdf,4,4,House,03,Republican,JASON CULLEN,nj-2026-house-03-republican-2,False,6238
2026-official-primary-results-us-house.pdf,4,4,House,03,Republican,JUSTIN BARBERA,nj-2026-house-03-republican-3,False,4519
2026-official-primary-results-us-house.pdf,5,5,House,04,Republican,CHRISTOPHER H. SMITH,nj-2026-house-04-republican-1,False,34110
2026-official-primary-results-us-house.pdf,5,5,House,04,Democratic,RACHEL PEACE,nj-2026-house-04-democratic-1,False,20782
