"County","County Name","Office Name","Office District","Candidate Name","Party","Winner","Congressional District 1","Congressional District 2","Congressional District 3","Congressional District 4","Congressional District 5","Congressional District 6","Congressional District 7","Congressional District 8" 
"00","State of Maryland","President - Vice Pres","","Joe Biden","DEM","Y","43492","74052","73017","74402","89620","51592","87304","98044" 
"00","State of Maryland","President - Vice Pres","","Dean Phillips","DEM","","918","1264","1239","583","980","843","1299","1062" 
"00","State of Maryland","President - Vice Pres","","Marianne Williamson","DEM","","1384","2068","1812","984","1566","1521","2122","1478" 
"00","State of Maryland","President - Vice Pres","","Uncommitted to any Presidential Candidate","DEM","","5457","9889","8411","5079","6447","6512","13928","10445" 
"00","State of Maryland","President - Vice Pres","01","Joe Biden","DEM","Y","43492","","","","","","","" 
"00","State of Maryland","President - Vice Pres","01","Dean Phillips","DEM","","918","","","","","","","" 
"00","State of Maryland","President - Vice Pres","01","Marianne Williamson","DEM","","1384","","","","","","","" 
"00","State of Maryland","President - Vice Pres","01","Uncommitted to any Presidential Candidate","DEM","","5457","","","","","","","" 
"00","State of Maryland","President - Vice Pres","02","Joe Biden","DEM","Y","","74052","","","","","","" 
"00","State of Maryland","President - Vice Pres","02","Dean Phillips","DEM","","","1264","","","","","","" 
"00","State of Maryland","President - Vice Pres","02","Marianne Williamson","DEM","","","2068","","","","","","" 
"00","State of Maryland","President - Vice Pres","02","Uncommitted to any Presidential Candidate","DEM","","","9889","","","","","","" 
"00","State of Maryland","President - Vice Pres","03","Joe Biden","DEM","Y","","","73017","","","","","" 
"00","State of Maryland","President - Vice Pres","03","Dean Phillips","DEM","","","","1239","","","","","" 
"00","State of Maryland","President - Vice Pres","03","Marianne Williamson","DEM","","","","1812","","","","","" 
"00","State of Maryland","President - Vice Pres","03","Uncommitted to any Presidential Candidate","DEM","","","","8411","","","","","" 
"00","State of Maryland","President - Vice Pres","04","Joe Biden","DEM","Y","","","","74402","","","","" 
"00","State of Maryland","President - Vice Pres","04","Dean Phillips","DEM","","","","","583","","","","" 
"00","State of Maryland","President - Vice Pres","04","Marianne Williamson","DEM","","","","","984","","","","" 
"00","State of Maryland","President - Vice Pres","04","Uncommitted to any Presidential Candidate","DEM","","","","","5079","","","","" 
"00","State of Maryland","President - Vice Pres","05","Joe Biden","DEM","Y","","","","","89620","","","" 
"00","State of Maryland","President - Vice Pres","05","Dean Phillips","DEM","","","","","","980","","","" 
"00","State of Maryland","President - Vice Pres","05","Marianne Williamson","DEM","","","","","","1566","","","" 
"00","State of Maryland","President - Vice Pres","05","Uncommitted to any Presidential Candidate","DEM","","","","","","6447","","","" 
"00","State of Maryland","President - Vice Pres","06","Joe Biden","DEM","Y","","","","","","51592","","" 
"00","State of Maryland","President - Vice Pres","06","Dean Phillips","DEM","","","","","","","843","","" 
"00","State of Maryland","President - Vice Pres","06","Marianne Williamson","DEM","","","","","","","1521","","" 
"00","State of Maryland","President - Vice Pres","06","Uncommitted to any Presidential Candidate","DEM","","","","","","","6512","","" 
"00","State of Maryland","President - Vice Pres","07","Joe Biden","DEM","Y","","","","","","","87304","" 
"00","State of Maryland","President - Vice Pres","07","Dean Phillips","DEM","","","","","","","","1299","" 
"00","State of Maryland","President - Vice Pres","07","Marianne Williamson","DEM","","","","","","","","2122","" 
"00","State of Maryland","President - Vice Pres","07","Uncommitted to any Presidential Candidate","DEM","","","","","","","","13928","" 
"00","State of Maryland","President - Vice Pres","08","Joe Biden","DEM","Y","","","","","","","","98044" 
"00","State of Maryland","President - Vice Pres","08","Dean Phillips","DEM","","","","","","","","","1062" 
"00","State of Maryland","President - Vice Pres","08","Marianne Williamson","DEM","","","","","","","","","1478" 
"00","State of Maryland","President - Vice Pres","08","Uncommitted to any Presidential Candidate","DEM","","","","","","","","","10445" 
"00","State of Maryland","U.S. Senator","","Angela Alsobrooks","DEM","Y","19221","41789","42476","56938","61417","16879","60760","57572" 
"00","State of Maryland","U.S. Senator","","Michael W. Cobb, Sr.","DEM","","704","722","684","331","515","320","881","367" 
"00","State of Maryland","U.S. Senator","","Marcellus Crews","DEM","","424","435","572","318","519","265","579","267" 
"00","State of Maryland","U.S. Senator","","Brian E. Frydenborg","DEM","","399","546","659","206","361","417","517","530" 
"00","State of Maryland","U.S. Senator","","Scottie J. Griffin","DEM","","592","583","551","186","408","305","636","318" 
"00","State of Maryland","U.S. Senator","","Robert K. Houton","DEM","","256","290","341","117","216","179","293","254" 
"00","State of Maryland","U.S. Senator","","Joseph Perez","DEM","","549","640","722","378","448","472","850","629" 
"00","State of Maryland","U.S. Senator","","Steven Henry Seuferer","DEM","","182","233","219","161","314","110","298","147" 
"00","State of Maryland","U.S. Senator","","David J. Trone","DEM","","27332","40062","36423","21910","33270","40619","37393","49372" 
"00","State of Maryland","U.S. Senator","","Andrew Jaye Wildman","DEM","","297","415","287","159","258","179","391","212" 
"00","State of Maryland","U.S. Congress","01","Blane H. Miller, III","DEM","Y","26845","","","","","","","" 
"00","State of Maryland","U.S. Congress","01","Blessing T. Oluwadare","DEM","","17289","","","","","","","" 
"00","State of Maryland","U.S. Congress","02","Harry Bhandari","DEM","","","7150","","","","","","" 
"00","State of Maryland","U.S. Congress","02","Sia Kyriakakos","DEM","","","4080","","","","","","" 
"00","State of Maryland","U.S. Congress","02","John ""Johnny O"" Olszewski, Jr.","DEM","Y","","65995","","","","","","" 
"00","State of Maryland","U.S. Congress","02","Sharron Reed-Burns","DEM","","","3472","","","","","","" 
"00","State of Maryland","U.S. Congress","02","Jessica Sjoberg","DEM","","","1692","","","","","","" 
"00","State of Maryland","U.S. Congress","02","Clint Spellman, Jr.","DEM","","","1466","","","","","","" 
"00","State of Maryland","U.S. Congress","03","Mark S. Chang","DEM","","","","4106","","","","","" 
"00","State of Maryland","U.S. Congress","03","Michael Coburn","DEM","","","","583","","","","","" 
"00","State of Maryland","U.S. Congress","03","Malcolm Thomas Colombo","DEM","","","","527","","","","","" 
"00","State of Maryland","U.S. Congress","03","Abigail Diehl","DEM","","","","1379","","","","","" 
"00","State of Maryland","U.S. Congress","03","Juan Dominguez","DEM","","","","1025","","","","","" 
"00","State of Maryland","U.S. Congress","03","Lindsay Donahue","DEM","","","","1213","","","","","" 
"00","State of Maryland","U.S. Congress","03","Harry Anthony Dunn","DEM","","","","20380","","","","","" 
"00","State of Maryland","U.S. Congress","03","Sarah Elfreth","DEM","Y","","","29459","","","","","" 
"00","State of Maryland","U.S. Congress","03","Mark Steven Gosnell","DEM","","","","221","","","","","" 
"00","State of Maryland","U.S. Congress","03","Terri Hill","DEM","","","","5318","","","","","" 
"00","State of Maryland","U.S. Congress","03","Aisha Khan","DEM","","","","2199","","","","","" 
"00","State of Maryland","U.S. Congress","03","Clarence Lam","DEM","","","","9548","","","","","" 
"00","State of Maryland","U.S. Congress","03","Matt Libber","DEM","","","","159","","","","","" 
"00","State of Maryland","U.S. Congress","03","Kristin Anne Lyman Nabors","DEM","","","","397","","","","","" 
"00","State of Maryland","U.S. Congress","03","John H. Morse, III","DEM","","","","1447","","","","","" 
"00","State of Maryland","U.S. Congress","03","Jake Pretot","DEM","","","","162","","","","","" 
"00","State of Maryland","U.S. Congress","03","Don Quinn","DEM","","","","408","","","","","" 
"00","State of Maryland","U.S. Congress","03","Mike Rogers","DEM","","","","2147","","","","","" 
"00","State of Maryland","U.S. Congress","03","Danny Craig Rupli","DEM","","","","34","","","","","" 
"00","State of Maryland","U.S. Congress","03","Gary Schuman","DEM","","","","286","","","","","" 
"00","State of Maryland","U.S. Congress","03","Stewart Fred Silver","DEM","","","","78","","","","","" 
"00","State of Maryland","U.S. Congress","03","Jeff Woodard","DEM","","","","352","","","","","" 
"00","State of Maryland","U.S. Congress","04","Joseph Gomes","DEM","","","","","3673","","","","" 
"00","State of Maryland","U.S. Congress","04","Glenn F. Ivey","DEM","Y","","","","66659","","","","" 
"00","State of Maryland","U.S. Congress","04","Emmett Johnson","DEM","","","","","3835","","","","" 
"00","State of Maryland","U.S. Congress","04","Gabriel Njinimbot","DEM","","","","","4366","","","","" 
"00","State of Maryland","U.S. Congress","05","Quincy Bareebe","DEM","","","","","","9970","","","" 
"00","State of Maryland","U.S. Congress","05","Andrea L. Crooms","DEM","","","","","","6955","","","" 
"00","State of Maryland","U.S. Congress","05","Steny Hoyer","DEM","Y","","","","","69723","","","" 
"00","State of Maryland","U.S. Congress","05","McKayla Wilkes","DEM","","","","","","9743","","","" 
"00","State of Maryland","U.S. Congress","06","Peter Choharis","DEM","","","","","","","818","","" 
"00","State of Maryland","U.S. Congress","06","George Gluck","DEM","","","","","","","437","","" 
"00","State of Maryland","U.S. Congress","06","Geoffrey Grammer","DEM","","","","","","","651","","" 
"00","State of Maryland","U.S. Congress","06","Ashwani Jain","DEM","","","","","","","4750","","" 
"00","State of Maryland","U.S. Congress","06","Lesley J. Lopez","DEM","","","","","","","2600","","" 
"00","State of Maryland","U.S. Congress","06","Tekesha A. Martinez","DEM","","","","","","","3992","","" 
"00","State of Maryland","U.S. Congress","06","April McClain Delaney","DEM","Y","","","","","","22985","","" 
"00","State of Maryland","U.S. Congress","06","Stephen R. McDow, II","DEM","","","","","","","246","","" 
"00","State of Maryland","U.S. Congress","06","Mohammad S. Mozumder","DEM","","","","","","","1005","","" 
"00","State of Maryland","U.S. Congress","06","Adrian Petrus","DEM","","","","","","","166","","" 
"00","State of Maryland","U.S. Congress","06","Joel Rubin","DEM","","","","","","","820","","" 
"00","State of Maryland","U.S. Congress","06","Laurie-Anne Sayles","DEM","","","","","","","1845","","" 
"00","State of Maryland","U.S. Congress","06","Joe Vogel","DEM","","","","","","","14940","","" 
"00","State of Maryland","U.S. Congress","06","Destiny Drake West","DEM","","","","","","","1086","","" 
"00","State of Maryland","U.S. Congress","06","Kiambo ""Bo"" White","DEM","","","","","","","401","","" 
"00","State of Maryland","U.S. Congress","06","Altimont Mark Wilks","DEM","","","","","","","179","","" 
"00","State of Maryland","U.S. Congress","07","Tashi Kimandus Davis","DEM","","","","","","","","11640","" 
"00","State of Maryland","U.S. Congress","07","Kweisi Mfume","DEM","Y","","","","","","","88727","" 
"00","State of Maryland","U.S. Congress","08","Eric Felber","DEM","","","","","","","","","5636" 
"00","State of Maryland","U.S. Congress","08","Jamie Raskin","DEM","Y","","","","","","","","103071" 
"03","Baltimore City","Mayor","","""Uncle Wayne"" Baker","DEM","","","22","","","","","188","" 
"03","Baltimore City","Mayor","","Wendy Bozel","DEM","","","35","","","","","303","" 
"03","Baltimore City","Mayor","","Texas Brown","DEM","","","3","","","","","57","" 
"03","Baltimore City","Mayor","","Sheila Dixon","DEM","","","1600","","","","","34347","" 
"03","Baltimore City","Mayor","","Kevin P. Harris","DEM","","","20","","","","","228","" 
"03","Baltimore City","Mayor","","Wendell Hill-Freeman","DEM","","","7","","","","","91","" 
"03","Baltimore City","Mayor","","Yolanda Pulley","DEM","","","8","","","","","230","" 
"03","Baltimore City","Mayor","","Brandon M. Scott","DEM","Y","","5980","","","","","42826","" 
"03","Baltimore City","Mayor","","Joseph E. Scott","DEM","","","14","","","","","101","" 
"03","Baltimore City","Mayor","","Keith B. Scott","DEM","","","6","","","","","102","" 
"03","Baltimore City","Mayor","","Thiru Vignarajah","DEM","","","360","","","","","3019","" 
"03","Baltimore City","Mayor","","Bob Wallace","DEM","","","218","","","","","2605","" 
"03","Baltimore City","Mayor","","Yasaun Young","DEM","","","5","","","","","87","" 
"03","Baltimore City","President City Council","","Zeke Cohen","DEM","Y","","5877","","","","","40355","" 
"03","Baltimore City","President City Council","","Nick Mosby","DEM","","","611","","","","","20505","" 
"03","Baltimore City","President City Council","","Shannon Sneed","DEM","","","1576","","","","","21875","" 
"03","Baltimore City","Comptroller","","Bill Henry","DEM","Y","","6620","","","","","67511","" 
"03","Baltimore City","Member City Council","001","Liam Davis","DEM","","","","","","","","1888","" 
"03","Baltimore City","Member City Council","001","Joseph Raymond Koehler","DEM","","","","","","","","619","" 
"03","Baltimore City","Member City Council","001","Mark Parker","DEM","Y","","","","","","","2780","" 
"03","Baltimore City","Member City Council","002","India Carter","DEM","","","","","","","","1110","" 
"03","Baltimore City","Member City Council","002","Danielle McCray","DEM","Y","","","","","","","4337","" 
"03","Baltimore City","Member City Council","003","Margo Bruner-Settles","DEM","","","","","","","","2089","" 
"03","Baltimore City","Member City Council","003","Marques Dent","DEM","","","","","","","","775","" 
"03","Baltimore City","Member City Council","003","Ryan Dorsey","DEM","Y","","","","","","","5296","" 
"03","Baltimore City","Member City Council","004","Mark Conway","DEM","Y","","1240","","","","","5744","" 
"03","Baltimore City","Member City Council","005","Marvin M. Briscoe","DEM","","","458","","","","","1490","" 
"03","Baltimore City","Member City Council","005","Isaac ""Yitzy"" Schleifer","DEM","Y","","1341","","","","","4888","" 
"03","Baltimore City","Member City Council","006","Robyn A. Christian","DEM","","","180","","","","","664","" 
"03","Baltimore City","Member City Council","006","Sharon Green Middleton","DEM","Y","","1193","","","","","2967","" 
"03","Baltimore City","Member City Council","006","Steven T. Johnson","DEM","","","459","","","","","1251","" 
"03","Baltimore City","Member City Council","007","Tori Rose","DEM","","","224","","","","","2311","" 
"03","Baltimore City","Member City Council","007","James Torrence","DEM","Y","","521","","","","","3260","" 
"03","Baltimore City","Member City Council","008","Bilal Ali","DEM","","","","","","","","2431","" 
"03","Baltimore City","Member City Council","008","Christian B. Allen","DEM","","","","","","","","525","" 
"03","Baltimore City","Member City Council","008","Jeffery David Allen","DEM","","","","","","","","356","" 
"03","Baltimore City","Member City Council","008","Paris Gray","DEM","Y","","","","","","","2669","" 
"03","Baltimore City","Member City Council","008","Joyous D. Jones","DEM","","","","","","","","465","" 
"03","Baltimore City","Member City Council","009","John T. Bullock","DEM","Y","","","","","","","2188","" 
"03","Baltimore City","Member City Council","009","Sonia G. Eaddy","DEM","","","","","","","","957","" 
"03","Baltimore City","Member City Council","009","Matthew K. Johnson","DEM","","","","","","","","226","" 
"03","Baltimore City","Member City Council","009","Venroy July","DEM","","","","","","","","670","" 
"03","Baltimore City","Member City Council","010","Richard Parker","DEM","","","","","","","","552","" 
"03","Baltimore City","Member City Council","010","Phylicia Porter","DEM","Y","","","","","","","2161","" 
"03","Baltimore City","Member City Council","011","Zac Blanchard","DEM","Y","","","","","","","3467","" 
"03","Baltimore City","Member City Council","011","Eric Costello","DEM","","","","","","","","3419","" 
"03","Baltimore City","Member City Council","012","Jermaine Jones","DEM","Y","","","","","","","2678","" 
