"County","County Name","Office Name","Office District","Candidate Name","Party","Winner","Congressional District 1","Congressional District 2","Congressional District 3","Congressional District 4","Congressional District 5","Congressional District 6","Congressional District 7","Congressional District 8" 
"22","Washington County","Mayor of Hagerstown","","Bill McIntire","NON","Y","","","","","","2513","","" 
"22","Washington County","Mayor of Hagerstown","","Stephen S. Schutte","NON","Y","","","","","","1564","","" 
"22","Washington County","Hagerstown Council","","Kristin B. Aleshire","NON","Y","","","","","","2617","","" 
"22","Washington County","Hagerstown Council","","Caroline Anderson","NON","Y","","","","","","1252","","" 
"22","Washington County","Hagerstown Council","","Erika T. Bell","NON","Y","","","","","","1369","","" 
"22","Washington County","Hagerstown Council","","Mark Bell","NON","Y","","","","","","1101","","" 
"22","Washington County","Hagerstown Council","","Tiara R. Burnett","NON","Y","","","","","","2062","","" 
"22","Washington County","Hagerstown Council","","Sean Flaherty","NON","Y","","","","","","1453","","" 
"22","Washington County","Hagerstown Council","","Journie Martinez","NON","","","","","","","722","","" 
"22","Washington County","Hagerstown Council","","Stacy L. Michael","NON","Y","","","","","","1347","","" 
"22","Washington County","Hagerstown Council","","Rich Owens","NON","Y","","","","","","1074","","" 
"22","Washington County","Hagerstown Council","","Peter E. Perini, Sr.","NON","Y","","","","","","1579","","" 
"22","Washington County","Hagerstown Council","","Matthew J. Schindler","NON","Y","","","","","","1660","","" 
"11","Frederick County","Board of Education","","Mahesh Aitha","NON","","","","","","","6206","","" 
"11","Frederick County","Board of Education","","Jerry N. Alexandratos","NON","","","","","","","3343","","" 
"11","Frederick County","Board of Education","","Colt Morningstar Black","NON","Y","","","","","","11502","","" 
"11","Frederick County","Board of Education","","Josh Bokee","NON","Y","","","","","","14332","","" 
"11","Frederick County","Board of Education","","Jaime Kiersten Brennan","NON","Y","","","","","","12588","","" 
"11","Frederick County","Board of Education","","Paul Fairfield","NON","","","","","","","3337","","" 
"11","Frederick County","Board of Education","","Veronica D. Lowe","NON","Y","","","","","","6881","","" 
"11","Frederick County","Board of Education","","Tabitha McLoughlin","NON","","","","","","","6619","","" 
"11","Frederick County","Board of Education","","Allison Medrano","NON","","","","","","","3016","","" 
"11","Frederick County","Board of Education","","Janie Monier","NON","Y","","","","","","14538","","" 
"11","Frederick County","Board of Education","","Cecelia Moore Reidler","NON","","","","","","","3746","","" 
"11","Frederick County","Board of Education","","Rayna Remondini","NON","","","","","","","2887","","" 
"11","Frederick County","Board of Education","","Navian Scarlett","NON","","","","","","","2261","","" 
"11","Frederick County","Board of Education","","Justin L. Smith","NON","","","","","","","3396","","" 
"11","Frederick County","Board of Education","","Angie Vigliotti","NON","","","","","","","5022","","" 
"11","Frederick County","Board of Education","","Chad King Wilson, Sr.","NON","Y","","","","","","14012","","" 
"11","Frederick County","Board of Education","","Patti Lee Worsley","NON","","","","","","","5508","","" 
