County,"Russ Fulcher
Republican","Total Votes Cast"
Totals,"109,057","109,057"
Ada,"23,527","23,527"
Adams,826,826
Benewah,"1,474","1,474"
Boise,"1,507","1,507"
Bonner,"9,732","9,732"
Boundary,"2,935","2,935"
Canyon,"20,404","20,404"
Clearwater,921,921
Gem,"2,820","2,820"
Idaho,"3,933","3,933"
Kootenai,"23,837","23,837"
Latah,"3,278","3,278"
Lewis,699,699
"Nez Perce","2,936","2,936"
Owyhee,"1,778","1,778"
Payette,"2,915","2,915"
Shoshone,"1,093","1,093"
Valley,"2,143","2,143"
Washington,"2,299","2,299"
Totals,"109,057","109,057"

