County,"Idaho Law - Carta Sierra
Constitutional","Pro-Life (A person formerly known as Marvin Richardson)
Constitutional","Total Votes Cast"
Totals,102,98,200
Ada,29,24,53
Bannock,8,9,17
"Bear Lake",1,4,5
Bingham,3,3,6
Blaine,2,1,3
Bonneville,13,12,25
Butte,0,2,2
Camas,0,2,2
Caribou,2,0,2
Cassia,6,0,6
Clark,0,0,0
Custer,0,1,1
Elmore,5,4,9
Franklin,1,5,6
Fremont,3,1,4
Gooding,2,4,6
Jefferson,10,5,15
Jerome,0,2,2
Lemhi,2,2,4
Lincoln,0,0,0
Madison,4,3,7
Minidoka,2,1,3
Oneida,0,2,2
Power,0,0,0
Teton,0,1,1
"Twin Falls",9,10,19
Totals,102,98,200

