County,"David Roth
Democratic","Total Votes Cast"
Totals,"17,234","17,234"
Ada,"9,417","9,417"
Bannock,"1,603","1,603"
"Bear Lake",46,46
Bingham,259,259
Blaine,"2,847","2,847"
Bonneville,751,751
Butte,29,29
Camas,20,20
Caribou,38,38
Cassia,81,81
Clark,7,7
Custer,44,44
Elmore,224,224
Franklin,41,41
Fremont,72,72
Gooding,103,103
Jefferson,97,97
Jerome,68,68
Lemhi,231,231
Lincoln,46,46
Madison,127,127
Minidoka,91,91
Oneida,34,34
Power,113,113
Teton,265,265
"Twin Falls",580,580
Totals,"17,234","17,234"

