County,"Mike Simpson
Republican","Scott Cleveland
Republican","Sean Higgins
Republican","Total Votes Cast"
Totals,"53,476","35,036","9,333","97,845"
Ada,"10,456","6,169","1,705","18,330"
Bannock,"3,654","2,142",835,"6,631"
"Bear Lake","1,029",254,170,"1,453"
Bingham,"3,669","2,456",699,"6,824"
Blaine,746,307,77,"1,130"
Bonneville,"7,974","5,399","1,334","14,707"
Butte,323,176,98,597
Camas,217,136,38,391
Caribou,"1,032",371,156,"1,559"
Cassia,"1,498","1,359",272,"3,129"
Clark,91,48,16,155
Custer,750,531,183,"1,464"
Elmore,"1,605","1,133",199,"2,937"
Franklin,"1,961",839,299,"3,099"
Fremont,"1,210",738,290,"2,238"
Gooding,"1,052",946,184,"2,182"
Jefferson,"2,808","1,938",491,"5,237"
Jerome,976,994,150,"2,120"
Lemhi,"1,505",898,220,"2,623"
Lincoln,443,256,68,767
Madison,"2,375","1,226",366,"3,967"
Minidoka,876,852,221,"1,949"
Oneida,706,431,95,"1,232"
Power,650,297,97,"1,044"
Teton,642,279,150,"1,071"
"Twin Falls","5,228","4,861",920,"11,009"
Totals,"53,476","35,036","9,333","97,845"

