,,Martin Heinrich,Total Votes Cast,Total Ballots Cast
,,Democratic,,
State,New Mexico,122961,122961,122961
County,Bernalillo,44886,44886,44886
Precinct,1,55,55,55
Precinct,2,104,104,104
Precinct,3,42,42,42
Precinct,4,123,123,123
Precinct,5,88,88,88
Precinct,6,99,99,99
Precinct,7,99,99,99
Precinct,8,57,57,57
Precinct,9,105,105,105
Precinct,10,48,48,48
Precinct,11,131,131,131
Precinct,12,79,79,79
Precinct,13,133,133,133
Precinct,14,112,112,112
Precinct,15,72,72,72
Precinct,16,76,76,76
Precinct,17,138,138,138
Precinct,18,141,141,141
Precinct,19,69,69,69
Precinct,20,84,84,84
Precinct,21,61,61,61
Precinct,22,49,49,49
Precinct,23,85,85,85
Precinct,24,79,79,79
Precinct,25,73,73,73
Precinct,26,78,78,78
Precinct,27,92,92,92
Precinct,28,68,68,68
Precinct,29,82,82,82
Precinct,30,148,148,148
Precinct,31,137,137,137
Precinct,32,38,38,38
Precinct,33,45,45,45
Precinct,34,45,45,45
Precinct,35,51,51,51
Precinct,36,117,117,117
Precinct,37,78,78,78
Precinct,38,64,64,64
Precinct,39,56,56,56
Precinct,40,81,81,81
Precinct,41,43,43,43
Precinct,42,68,68,68
Precinct,43,44,44,44
Precinct,44,12,12,12
Precinct,45,53,53,53
Precinct,46,124,124,124
Precinct,47,65,65,65
Precinct,48,22,22,22
Precinct,49,*,0,0
Precinct,50,61,61,61
Precinct,51,70,70,70
Precinct,52,67,67,67
Precinct,53,54,54,54
Precinct,54,44,44,44
Precinct,55,29,29,29
Precinct,56,31,31,31
Precinct,57,257,257,257
Precinct,58,10,10,10
Precinct,59,34,34,34
Precinct,60,53,53,53
Precinct,61,104,104,104
Precinct,62,59,59,59
Precinct,63,50,50,50
Precinct,64,37,37,37
Precinct,65,91,91,91
Precinct,66,84,84,84
Precinct,67,101,101,101
Precinct,68,28,28,28
Precinct,69,68,68,68
Precinct,70,40,40,40
Precinct,71,84,84,84
Precinct,72,42,42,42
Precinct,73,57,57,57
Precinct,74,73,73,73
Precinct,75,47,47,47
Precinct,76,68,68,68
Precinct,77,60,60,60
Precinct,78,43,43,43
Precinct,79,42,42,42
Precinct,80,39,39,39
Precinct,81,82,82,82
Precinct,82,72,72,72
Precinct,83,69,69,69
Precinct,84,38,38,38
Precinct,85,61,61,61
Precinct,86,63,63,63
Precinct,87,43,43,43
Precinct,88,*,0,0
Precinct,89,53,53,53
Precinct,90,29,29,29
Precinct,91,82,82,82
Precinct,92,112,112,112
Precinct,93,140,140,140
Precinct,94,37,37,37
