,,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Republican,,
State,New Mexico,79809,79809,79809
County,Bernalillo,21600,21600,21600
Precinct,1,24,24,24
Precinct,2,61,61,61
Precinct,3,34,34,34
Precinct,4,57,57,57
Precinct,5,23,23,23
Precinct,6,46,46,46
Precinct,7,32,32,32
Precinct,8,20,20,20
Precinct,9,50,50,50
Precinct,10,41,41,41
Precinct,11,26,26,26
Precinct,12,33,33,33
Precinct,13,44,44,44
Precinct,14,47,47,47
Precinct,15,57,57,57
Precinct,16,24,24,24
Precinct,17,42,42,42
Precinct,18,37,37,37
Precinct,19,70,70,70
Precinct,20,55,55,55
Precinct,21,23,23,23
Precinct,22,26,26,26
Precinct,23,28,28,28
Precinct,24,42,42,42
Precinct,25,40,40,40
Precinct,26,38,38,38
Precinct,27,29,29,29
Precinct,28,24,24,24
Precinct,29,24,24,24
Precinct,30,52,52,52
Precinct,31,25,25,25
Precinct,32,9,9,9
Precinct,33,6,6,6
Precinct,34,14,14,14
Precinct,35,21,21,21
Precinct,36,33,33,33
Precinct,37,17,17,17
Precinct,38,16,16,16
Precinct,39,23,23,23
Precinct,40,23,23,23
Precinct,41,16,16,16
Precinct,42,23,23,23
Precinct,43,7,7,7
Precinct,44,*,0,0
Precinct,45,31,31,31
Precinct,46,26,26,26
Precinct,47,15,15,15
Precinct,48,*,*,5
Precinct,49,*,0,0
Precinct,50,10,10,10
Precinct,51,14,14,14
Precinct,52,31,31,31
Precinct,53,24,24,24
Precinct,54,17,17,17
Precinct,55,8,8,8
Precinct,56,14,14,14
Precinct,57,102,102,102
Precinct,58,*,0,0
Precinct,59,20,20,20
Precinct,60,17,17,17
Precinct,61,20,20,20
Precinct,62,13,13,13
Precinct,63,*,*,5
Precinct,64,12,12,12
Precinct,65,27,27,27
Precinct,66,32,32,32
Precinct,67,12,12,12
Precinct,68,22,22,22
Precinct,69,35,35,35
Precinct,70,30,30,30
Precinct,71,34,34,34
Precinct,72,7,7,7
Precinct,73,25,25,25
Precinct,74,31,31,31
Precinct,75,9,9,9
Precinct,76,24,24,24
Precinct,77,22,22,22
Precinct,78,27,27,27
Precinct,79,40,40,40
Precinct,80,38,38,38
Precinct,81,38,38,38
Precinct,82,55,55,55
Precinct,83,31,31,31
Precinct,84,49,49,49
Precinct,85,59,59,59
Precinct,86,51,51,51
Precinct,87,28,28,28
Precinct,88,*,0,0
Precinct,89,20,20,20
Precinct,90,18,18,18
Precinct,91,46,46,46
Precinct,92,56,56,56
Precinct,93,19,19,19
Precinct,94,7,7,7
Precinct,95,6,6,6
Precinct,96,56,56,56
Precinct,97,33,33,33
Precinct,98,11,11,11
Precinct,99,34,34,34
Precinct,100,47,47,47
Precinct,101,*,*,5
Precinct,102,6,6,6
Precinct,103,*,0,0
Precinct,104,*,0,0
Precinct,105,*,*,5
Precinct,106,*,*,5
Precinct,107,9,9,9
Precinct,108,28,28,28
Precinct,109,*,0,0
Precinct,110,57,57,57
Precinct,111,20,20,20
Precinct,112,37,37,37
Precinct,113,77,77,77
Precinct,114,76,76,76
Precinct,115,30,30,30
Precinct,116,65,65,65
Precinct,117,41,41,41
Precinct,118,47,47,47
Precinct,119,12,12,12
Precinct,120,36,36,36
Precinct,121,16,16,16
Precinct,122,*,0,0
Precinct,123,14,14,14
Precinct,124,*,*,5
Precinct,125,7,7,7
Precinct,126,23,23,23
Precinct,127,14,14,14
Precinct,128,47,47,47
Precinct,129,37,37,37
Precinct,130,24,24,24
Precinct,131,7,7,7
Precinct,132,10,10,10
Precinct,133,6,6,6
Precinct,134,30,30,30
Precinct,135,*,*,5
Precinct,136,9,9,9
Precinct,137,25,25,25
Precinct,138,9,9,9
Precinct,139,19,19,19
Precinct,140,11,11,11
Precinct,141,21,21,21
Precinct,142,13,13,13
Precinct,143,12,12,12
Precinct,144,20,20,20
Precinct,145,26,26,26
Precinct,146,23,23,23
Precinct,147,*,0,0
Precinct,148,14,14,14
Precinct,149,14,14,14
Precinct,150,16,16,16
Precinct,151,20,20,20
Precinct,152,20,20,20
Precinct,153,30,30,30
Precinct,154,16,16,16
Precinct,155,42,42,42
Precinct,156,36,36,36
Precinct,157,37,37,37
Precinct,158,28,28,28
Precinct,159,28,28,28
Precinct,160,66,66,66
Precinct,161,*,0,0
Precinct,162,14,14,14
Precinct,163,19,19,19
Precinct,164,18,18,18
Precinct,165,9,9,9
Precinct,166,*,0,0
Precinct,167,46,46,46
Precinct,168,25,25,25
Precinct,169,48,48,48
Precinct,170,15,15,15
Precinct,171,24,24,24
Precinct,172,36,36,36
Precinct,173,18,18,18
Precinct,174,46,46,46
Precinct,175,49,49,49
Precinct,176,39,39,39
Precinct,177,49,49,49
Precinct,178,41,41,41
Precinct,179,41,41,41
Precinct,180,14,14,14
Precinct,181,19,19,19
Precinct,182,27,27,27
Precinct,183,24,24,24
Precinct,184,39,39,39
Precinct,185,38,38,38
Precinct,186,11,11,11
Precinct,187,15,15,15
Precinct,188,8,8,8
Precinct,189,35,35,35
Precinct,190,16,16,16
Precinct,191,27,27,27
Precinct,192,19,19,19
Precinct,193,26,26,26
Precinct,194,27,27,27
Precinct,195,11,11,11
Precinct,196,11,11,11
Precinct,197,10,10,10
Precinct,198,12,12,12
Precinct,199,19,19,19
Precinct,200,37,37,37
Precinct,201,57,57,57
Precinct,202,39,39,39
Precinct,203,39,39,39
Precinct,204,40,40,40
Precinct,205,71,71,71
Precinct,206,48,48,48
Precinct,207,40,40,40
Precinct,208,29,29,29
Precinct,209,49,49,49
