,,Steve Jones,Louie Sanchez,Total Votes Cast,Total Ballots Cast
,,Republican,Republican,,
Congressional District,1,16889,15980,32869,32869
County,Bernalillo,9131,9673,18804,18804
Precinct,2,26,37,63,63
Precinct,3,17,20,37,37
Precinct,4,33,23,56,56
Precinct,5,6,17,23,23
Precinct,6,20,28,48,48
Precinct,7,10,24,34,34
Precinct,8,10,10,20,20
Precinct,9,25,29,54,54
Precinct,10,18,27,45,45
Precinct,11,10,17,27,27
Precinct,12,12,22,34,34
Precinct,13,19,23,42,42
Precinct,14,16,33,49,49
Precinct,15,34,24,58,58
Precinct,16,7,16,23,23
Precinct,17,23,22,45,45
Precinct,18,15,25,40,40
Precinct,19,31,46,77,77
Precinct,20,23,38,61,61
Precinct,21,7,18,25,25
Precinct,22,12,15,27,27
Precinct,23,11,16,27,27
Precinct,25,15,27,42,42
Precinct,26,18,25,43,43
Precinct,27,15,18,33,33
Precinct,28,13,14,27,27
Precinct,30,26,25,51,51
Precinct,39,10,16,26,26
Precinct,68,7,18,25,25
Precinct,69,15,19,34,34
Precinct,78,15,14,29,29
Precinct,79,19,18,37,37
Precinct,80,16,23,39,39
Precinct,83,14,22,36,36
Precinct,84,25,22,47,47
Precinct,86,23,37,60,60
Precinct,87,18,12,30,30
Precinct,89,9,13,22,22
Precinct,100,14,32,46,46
Precinct,101,*,*,0,0
Precinct,102,*,*,0,0
Precinct,103,*,*,0,0
Precinct,105,*,*,0,0
Precinct,107,6,6,12,12
Precinct,108,11,18,29,29
Precinct,110,30,32,62,62
Precinct,111,13,8,21,21
Precinct,113,35,42,77,77
Precinct,114,33,45,78,78
Precinct,116,29,39,68,68
Precinct,121,7,14,21,21
Precinct,122,*,*,0,0
Precinct,123,5,6,11,11
Precinct,124,7,*,7,7
Precinct,125,*,*,*,5
Precinct,126,7,17,24,24
Precinct,128,33,16,49,49
Precinct,129,15,21,36,36
Precinct,131,*,*,0,0
Precinct,132,7,5,12,12
Precinct,133,*,*,0,0
Precinct,150,10,6,16,16
Precinct,151,13,8,21,21
Precinct,152,8,11,19,19
Precinct,153,12,19,31,31
Precinct,154,7,8,15,15
Precinct,155,20,20,40,40
Precinct,161,*,*,0,0
Precinct,162,5,9,14,14
Precinct,163,*,13,13,13
Precinct,164,6,12,18,18
Precinct,165,*,7,7,7
Precinct,166,*,*,0,0
Precinct,167,19,36,55,55
Precinct,168,18,10,28,28
Precinct,169,20,30,50,50
Precinct,170,*,11,11,11
Precinct,171,16,13,29,29
Precinct,172,18,18,36,36
Precinct,173,11,11,22,22
Precinct,174,25,26,51,51
Precinct,175,20,31,51,51
Precinct,176,20,19,39,39
Precinct,177,26,25,51,51
Precinct,178,19,24,43,43
Precinct,179,25,16,41,41
Precinct,180,6,9,15,15
Precinct,181,8,11,19,19
Precinct,182,11,17,28,28
Precinct,183,9,17,26,26
Precinct,184,16,23,39,39
Precinct,185,14,25,39,39
Precinct,186,8,9,17,17
Precinct,187,8,8,16,16
Precinct,188,*,*,*,5
Precinct,189,11,25,36,36
Precinct,191,12,15,27,27
Precinct,192,6,13,19,19
Precinct,193,11,14,25,25
Precinct,194,12,19,31,31
Precinct,195,6,5,11,11
Precinct,196,5,7,12,12
Precinct,197,*,7,7,7
Precinct,200,15,24,39,39
Precinct,202,20,21,41,41
Precinct,204,20,27,47,47
Precinct,207,16,27,43,43
Precinct,208,14,19,33,33
Precinct,209,27,26,53,53
Precinct,210,19,34,53,53
Precinct,211,*,*,0,0
Precinct,212,*,7,7,7
Precinct,213,11,12,23,23
Precinct,214,*,*,*,5
Precinct,215,*,*,0,0
Precinct,216,6,*,6,6
Precinct,217,16,27,43,43
Precinct,218,33,26,59,59
Precinct,219,15,19,34,34
Precinct,220,29,26,55,55
Precinct,221,5,8,13,13
Precinct,222,19,18,37,37
Precinct,223,*,*,0,0
Precinct,224,*,*,0,0
Precinct,225,*,*,0,0
Precinct,226,*,*,0,0
Precinct,230,15,44,59,59
Precinct,232,14,17,31,31
Precinct,235,*,6,6,6
Precinct,238,8,11,19,19
Precinct,241,5,5,10,10
Precinct,242,*,*,0,0
Precinct,243,*,*,0,0
Precinct,244,*,*,0,0
Precinct,245,*,*,*,5
Precinct,246,*,*,0,0
Precinct,248,13,*,13,13
Precinct,249,23,26,49,49
Precinct,251,*,*,*,5
Precinct,252,*,*,*,5
Precinct,253,10,8,18,18
Precinct,254,9,5,14,14
Precinct,255,11,7,18,18
Precinct,256,*,*,0,0
Precinct,257,*,*,*,5
Precinct,258,*,*,0,0
Precinct,259,*,9,9,9
Precinct,261,13,18,31,31
Precinct,263,15,11,26,26
Precinct,266,*,*,0,0
Precinct,271,9,9,18,18
Precinct,272,11,7,18,18
Precinct,273,12,11,23,23
Precinct,274,5,5,10,10
Precinct,275,*,*,0,0
Precinct,276,10,18,28,28
Precinct,277,19,12,31,31
Precinct,278,12,17,29,29
Precinct,279,7,10,17,17
Precinct,280,*,*,0,0
Precinct,281,6,5,11,11
Precinct,282,16,16,32,32
Precinct,283,7,*,7,7
Precinct,284,14,9,23,23
Precinct,285,7,12,19,19
Precinct,286,*,*,0,0
Precinct,287,6,5,11,11
Precinct,289,17,7,24,24
Precinct,290,19,21,40,40
Precinct,291,22,21,43,43
Precinct,292,12,10,22,22
Precinct,293,10,13,23,23
Precinct,294,51,52,103,103
Precinct,295,26,37,63,63
Precinct,296,12,9,21,21
Precinct,297,20,20,40,40
Precinct,298,18,10,28,28
Precinct,299,5,6,11,11
Precinct,300,16,13,29,29
Precinct,301,25,28,53,53
Precinct,302,24,26,50,50
Precinct,303,8,10,18,18
Precinct,304,15,24,39,39
Precinct,305,20,18,38,38
Precinct,306,14,16,30,30
Precinct,307,34,20,54,54
Precinct,308,33,27,60,60
Precinct,309,26,34,60,60
Precinct,310,19,23,42,42
Precinct,311,14,9,23,23
Precinct,312,11,11,22,22
Precinct,313,6,*,6,6
Precinct,314,19,6,25,25
Precinct,315,14,8,22,22
Precinct,316,20,20,40,40
Precinct,317,10,7,17,17
Precinct,318,12,5,17,17
Precinct,319,20,27,47,47
Precinct,320,36,39,75,75
Precinct,321,*,7,7,7
Precinct,322,5,7,12,12
Precinct,323,7,5,12,12
Precinct,324,18,26,44,44
Precinct,325,35,46,81,81
Precinct,326,8,7,15,15
Precinct,327,6,*,6,6
Precinct,328,15,20,35,35
Precinct,329,10,11,21,21
Precinct,330,5,5,10,10
Precinct,331,*,7,7,7
Precinct,332,19,19,38,38
Precinct,333,23,23,46,46
Precinct,334,46,33,79,79
Precinct,335,7,8,15,15
Precinct,336,6,7,13,13
Precinct,337,*,*,*,5
Precinct,338,11,13,24,24
Precinct,339,37,34,71,71
Precinct,341,10,8,18,18
Precinct,342,*,*,0,0
