,,Melanie Ann Stansbury,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Congressional District,1,47157,47157,47157
County,Bernalillo,36128,36128,36128
Precinct,2,102,102,102
Precinct,3,42,42,42
Precinct,4,123,123,123
Precinct,5,90,90,90
Precinct,6,96,96,96
Precinct,7,97,97,97
Precinct,8,55,55,55
Precinct,9,107,107,107
Precinct,10,50,50,50
Precinct,11,130,130,130
Precinct,12,77,77,77
Precinct,13,134,134,134
Precinct,14,109,109,109
Precinct,15,71,71,71
Precinct,16,70,70,70
Precinct,17,137,137,137
Precinct,18,134,134,134
Precinct,19,68,68,68
Precinct,20,82,82,82
Precinct,21,59,59,59
Precinct,22,49,49,49
Precinct,23,79,79,79
Precinct,25,76,76,76
Precinct,26,79,79,79
Precinct,27,90,90,90
Precinct,28,66,66,66
Precinct,30,143,143,143
Precinct,39,54,54,54
Precinct,68,28,28,28
Precinct,69,67,67,67
Precinct,78,43,43,43
Precinct,79,40,40,40
Precinct,80,41,41,41
Precinct,83,68,68,68
Precinct,84,40,40,40
Precinct,86,62,62,62
Precinct,87,43,43,43
Precinct,89,53,53,53
Precinct,100,57,57,57
Precinct,101,76,76,76
Precinct,102,43,43,43
Precinct,103,30,30,30
Precinct,105,21,21,21
Precinct,107,90,90,90
Precinct,108,52,52,52
Precinct,110,70,70,70
Precinct,111,38,38,38
Precinct,113,80,80,80
Precinct,114,81,81,81
Precinct,116,66,66,66
Precinct,121,147,147,147
Precinct,122,84,84,84
Precinct,123,153,153,153
Precinct,124,82,82,82
Precinct,125,134,134,134
Precinct,126,62,62,62
Precinct,128,28,28,28
Precinct,129,51,51,51
Precinct,131,56,56,56
Precinct,132,78,78,78
Precinct,133,49,49,49
Precinct,150,108,108,108
Precinct,151,136,136,136
Precinct,152,156,156,156
Precinct,153,104,104,104
Precinct,154,91,91,91
Precinct,155,159,159,159
Precinct,161,45,45,45
Precinct,162,111,111,111
Precinct,163,68,68,68
Precinct,164,102,102,102
Precinct,165,83,83,83
Precinct,166,108,108,108
Precinct,167,93,93,93
Precinct,168,87,87,87
Precinct,169,114,114,114
Precinct,170,25,25,25
Precinct,171,43,43,43
Precinct,172,38,38,38
