,,Gabriel Vasquez,Total Votes Cast,Total Ballots Cast
,,Democratic,,
Congressional District,2,29613,29613,29613
County,Bernalillo,8288,8288,8288
Precinct,1,54,54,54
Precinct,24,77,77,77
Precinct,29,81,81,81
Precinct,31,118,118,118
Precinct,32,37,37,37
Precinct,33,41,41,41
Precinct,34,42,42,42
Precinct,35,54,54,54
Precinct,36,118,118,118
Precinct,37,82,82,82
Precinct,38,61,61,61
Precinct,40,82,82,82
Precinct,41,41,41,41
Precinct,42,70,70,70
Precinct,43,44,44,44
Precinct,44,11,11,11
Precinct,45,47,47,47
Precinct,46,123,123,123
Precinct,47,68,68,68
Precinct,48,21,21,21
Precinct,49,*,0,0
Precinct,50,59,59,59
Precinct,51,71,71,71
Precinct,52,69,69,69
Precinct,53,52,52,52
Precinct,54,45,45,45
Precinct,55,30,30,30
Precinct,56,30,30,30
Precinct,57,256,256,256
Precinct,58,10,10,10
Precinct,59,35,35,35
Precinct,60,53,53,53
Precinct,61,95,95,95
Precinct,62,59,59,59
Precinct,63,49,49,49
Precinct,64,37,37,37
Precinct,65,89,89,89
Precinct,66,82,82,82
Precinct,67,96,96,96
Precinct,70,40,40,40
Precinct,71,84,84,84
Precinct,72,46,46,46
Precinct,73,55,55,55
Precinct,74,71,71,71
Precinct,75,51,51,51
Precinct,76,65,65,65
Precinct,77,61,61,61
Precinct,81,84,84,84
Precinct,82,68,68,68
Precinct,85,57,57,57
Precinct,88,*,0,0
Precinct,90,32,32,32
Precinct,91,83,83,83
Precinct,92,110,110,110
Precinct,93,136,136,136
Precinct,94,36,36,36
Precinct,95,28,28,28
Precinct,96,85,85,85
Precinct,97,81,81,81
Precinct,98,40,40,40
Precinct,99,67,67,67
Precinct,104,19,19,19
Precinct,106,15,15,15
Precinct,109,10,10,10
Precinct,112,67,67,67
Precinct,115,37,37,37
Precinct,117,58,58,58
Precinct,118,81,81,81
Precinct,119,65,65,65
Precinct,120,75,75,75
Precinct,127,30,30,30
Precinct,130,64,64,64
Precinct,134,76,76,76
Precinct,135,92,92,92
Precinct,136,25,25,25
Precinct,137,41,41,41
Precinct,138,33,33,33
Precinct,139,56,56,56
Precinct,140,25,25,25
Precinct,141,32,32,32
Precinct,142,41,41,41
Precinct,143,50,50,50
Precinct,144,27,27,27
Precinct,145,54,54,54
Precinct,146,59,59,59
Precinct,147,9,9,9
Precinct,148,50,50,50
Precinct,149,50,50,50
Precinct,156,72,72,72
Precinct,157,90,90,90
Precinct,158,68,68,68
Precinct,159,63,63,63
Precinct,160,139,139,139
Precinct,190,52,52,52
Precinct,198,42,42,42
Precinct,199,89,89,89
Precinct,201,57,57,57
Precinct,203,55,55,55
Precinct,205,88,88,88
Precinct,206,90,90,90
Precinct,227,38,38,38
Precinct,228,47,47,47
Precinct,229,54,54,54
Precinct,231,43,43,43
Precinct,233,20,20,20
Precinct,234,93,93,93
Precinct,236,17,17,17
Precinct,237,56,56,56
Precinct,239,46,46,46
Precinct,240,77,77,77
Precinct,247,33,33,33
Precinct,250,46,46,46
Precinct,260,52,52,52
Precinct,262,35,35,35
Precinct,264,38,38,38
Precinct,265,46,46,46
Precinct,267,49,49,49
Precinct,268,16,16,16
Precinct,269,23,23,23
Precinct,270,24,24,24
Precinct,288,46,46,46
Precinct,340,72,72,72
Precinct,367,16,16,16
Precinct,394,75,75,75
Precinct,399,68,68,68
Precinct,599,55,55,55
Precinct,600,24,24,24
Precinct,604,27,27,27
Precinct,606,47,47,47
Precinct,607,51,51,51
Precinct,609,37,37,37
Precinct,611,30,30,30
Precinct,612,48,48,48
Precinct,617,26,26,26
Precinct,618,100,100,100
Precinct,619,25,25,25
Precinct,620,12,12,12
Precinct,621,47,47,47
Precinct,622,63,63,63
Precinct,626,57,57,57
Precinct,628,22,22,22
Precinct,629,42,42,42
Precinct,630,46,46,46
Precinct,631,19,19,19
Precinct,632,38,38,38
Precinct,633,51,51,51
Precinct,635,30,30,30
Precinct,636,39,39,39
Precinct,638,27,27,27
Precinct,639,51,51,51
Precinct,652,13,13,13
Precinct,653,12,12,12
Precinct,654,46,46,46
Precinct,655,29,29,29
Precinct,687,25,25,25
Precinct,Voter Privacy,*,*,4
County,Catron,160,160,160
Precinct,1,24,24,24
Precinct,2,24,24,24
Precinct,3,30,30,30
Precinct,4,10,10,10
Precinct,5,18,18,18
Precinct,6,*,*,5
Precinct,7,24,24,24
Precinct,8,14,14,14
Precinct,9,11,11,11
Precinct,Voter Privacy,0,0,0
County,Chaves,0,0,0
Precinct,18,21,21,21
Precinct,104,*,0,0
Precinct,Voter Privacy,0,0,0
County,Cibola,1911,1911,1911
Precinct,1,*,0,0
Precinct,2,43,43,43
Precinct,3,20,20,20
Precinct,4,37,37,37
Precinct,5,118,118,118
Precinct,6,8,8,8
Precinct,7,94,94,94
Precinct,8,87,87,87
Precinct,9,121,121,121
Precinct,10,89,89,89
Precinct,11,165,165,165
Precinct,12,71,71,71
Precinct,13,49,49,49
Precinct,14,59,59,59
Precinct,15,43,43,43
Precinct,16,65,65,65
Precinct,17,154,154,154
Precinct,18,46,46,46
Precinct,19,39,39,39
Precinct,20,95,95,95
Precinct,21,33,33,33
Precinct,22,57,57,57
Precinct,23,13,13,13
Precinct,24,65,65,65
Precinct,25,27,27,27
Precinct,26,84,84,84
Precinct,27,34,34,34
Precinct,28,83,83,83
Precinct,29,89,89,89
Precinct,30,20,20,20
Precinct,Voter Privacy,*,*,3
County,Dona Ana,9210,9210,9210
Precinct,1,20,20,20
Precinct,2,24,24,24
Precinct,3,22,22,22
Precinct,4,59,59,59
Precinct,5,20,20,20
Precinct,6,28,28,28
Precinct,7,76,76,76
Precinct,8,32,32,32
Precinct,9,12,12,12
Precinct,10,*,*,5
Precinct,11,33,33,33
Precinct,12,19,19,19
Precinct,13,14,14,14
Precinct,14,36,36,36
Precinct,15,19,19,19
Precinct,16,66,66,66
Precinct,17,54,54,54
Precinct,18,130,130,130
Precinct,19,74,74,74
Precinct,20,69,69,69
Precinct,21,48,48,48
Precinct,22,64,64,64
Precinct,23,42,42,42
Precinct,24,64,64,64
Precinct,25,55,55,55
Precinct,26,60,60,60
Precinct,27,57,57,57
Precinct,28,67,67,67
Precinct,29,27,27,27
Precinct,30,73,73,73
Precinct,31,81,81,81
Precinct,32,14,14,14
Precinct,33,60,60,60
Precinct,34,37,37,37
Precinct,35,36,36,36
Precinct,36,34,34,34
Precinct,37,93,93,93
Precinct,38,10,10,10
Precinct,39,76,76,76
Precinct,40,62,62,62
Precinct,41,39,39,39
Precinct,42,25,25,25
Precinct,43,23,23,23
Precinct,44,39,39,39
Precinct,45,36,36,36
Precinct,46,32,32,32
Precinct,47,53,53,53
Precinct,48,53,53,53
Precinct,49,38,38,38
Precinct,50,14,14,14
Precinct,51,41,41,41
Precinct,52,26,26,26
Precinct,53,39,39,39
Precinct,54,*,0,0
Precinct,55,59,59,59
Precinct,56,82,82,82
Precinct,57,91,91,91
Precinct,58,*,0,0
Precinct,59,70,70,70
Precinct,60,9,9,9
Precinct,61,65,65,65
Precinct,62,29,29,29
Precinct,63,71,71,71
Precinct,64,13,13,13
Precinct,65,10,10,10
Precinct,66,53,53,53
Precinct,67,99,99,99
Precinct,68,28,28,28
Precinct,69,53,53,53
Precinct,70,40,40,40
Precinct,71,74,74,74
Precinct,72,25,25,25
Precinct,73,81,81,81
Precinct,74,17,17,17
Precinct,75,22,22,22
Precinct,76,21,21,21
Precinct,77,48,48,48
Precinct,78,58,58,58
Precinct,79,44,44,44
Precinct,80,34,34,34
Precinct,81,13,13,13
Precinct,82,37,37,37
Precinct,83,65,65,65
Precinct,84,68,68,68
Precinct,85,62,62,62
Precinct,86,91,91,91
Precinct,87,38,38,38
Precinct,88,37,37,37
Precinct,89,85,85,85
Precinct,90,71,71,71
Precinct,91,54,54,54
Precinct,92,26,26,26
Precinct,93,11,11,11
Precinct,94,32,32,32
Precinct,95,7,7,7
Precinct,96,67,67,67
Precinct,97,29,29,29
Precinct,98,54,54,54
Precinct,99,80,80,80
Precinct,100,47,47,47
Precinct,101,61,61,61
