,,Yvette Herrell,Total Votes Cast,Total Ballots Cast
,,Republican,,
Congressional District,2,23216,23216,23216
County,Bernalillo,3525,3525,3525
Precinct,1,24,24,24
Precinct,24,42,42,42
Precinct,29,27,27,27
Precinct,31,24,24,24
Precinct,32,8,8,8
Precinct,33,6,6,6
Precinct,34,14,14,14
Precinct,35,21,21,21
Precinct,36,34,34,34
Precinct,37,15,15,15
Precinct,38,15,15,15
Precinct,40,23,23,23
Precinct,41,19,19,19
Precinct,42,22,22,22
Precinct,43,8,8,8
Precinct,44,*,0,0
Precinct,45,29,29,29
Precinct,46,26,26,26
Precinct,47,14,14,14
Precinct,48,*,*,5
Precinct,49,*,0,0
Precinct,50,12,12,12
Precinct,51,16,16,16
Precinct,52,33,33,33
Precinct,53,24,24,24
Precinct,54,15,15,15
Precinct,55,10,10,10
Precinct,56,10,10,10
Precinct,57,102,102,102
Precinct,58,*,*,5
Precinct,59,21,21,21
Precinct,60,20,20,20
Precinct,61,21,21,21
Precinct,62,14,14,14
Precinct,63,*,0,0
Precinct,64,10,10,10
Precinct,65,30,30,30
Precinct,66,33,33,33
Precinct,67,13,13,13
Precinct,70,27,27,27
Precinct,71,35,35,35
Precinct,72,7,7,7
Precinct,73,24,24,24
Precinct,74,31,31,31
Precinct,75,8,8,8
Precinct,76,24,24,24
Precinct,77,22,22,22
Precinct,81,40,40,40
Precinct,82,51,51,51
Precinct,85,60,60,60
Precinct,88,*,0,0
Precinct,90,19,19,19
Precinct,91,47,47,47
Precinct,92,61,61,61
Precinct,93,21,21,21
Precinct,94,7,7,7
Precinct,95,6,6,6
Precinct,96,59,59,59
Precinct,97,35,35,35
Precinct,98,12,12,12
Precinct,99,35,35,35
Precinct,104,*,0,0
Precinct,106,*,*,5
Precinct,109,*,0,0
Precinct,112,33,33,33
Precinct,115,34,34,34
Precinct,117,39,39,39
Precinct,118,44,44,44
Precinct,119,12,12,12
Precinct,120,35,35,35
Precinct,127,15,15,15
Precinct,130,22,22,22
Precinct,134,29,29,29
Precinct,135,*,*,5
Precinct,136,10,10,10
Precinct,137,23,23,23
Precinct,138,10,10,10
Precinct,139,21,21,21
Precinct,140,15,15,15
Precinct,141,22,22,22
Precinct,142,14,14,14
Precinct,143,14,14,14
Precinct,144,23,23,23
Precinct,145,28,28,28
Precinct,146,24,24,24
Precinct,147,*,0,0
Precinct,148,13,13,13
Precinct,149,16,16,16
Precinct,156,34,34,34
Precinct,157,37,37,37
Precinct,158,29,29,29
Precinct,159,35,35,35
Precinct,160,73,73,73
Precinct,190,15,15,15
Precinct,198,12,12,12
Precinct,199,19,19,19
Precinct,201,52,52,52
Precinct,203,36,36,36
Precinct,205,72,72,72
Precinct,206,47,47,47
Precinct,227,49,49,49
Precinct,228,27,27,27
Precinct,229,62,62,62
Precinct,231,38,38,38
Precinct,233,8,8,8
Precinct,234,18,18,18
Precinct,236,10,10,10
Precinct,237,15,15,15
Precinct,239,12,12,12
Precinct,240,40,40,40
Precinct,247,13,13,13
Precinct,250,26,26,26
Precinct,260,27,27,27
Precinct,262,14,14,14
Precinct,264,38,38,38
Precinct,265,16,16,16
Precinct,267,14,14,14
Precinct,268,6,6,6
Precinct,269,*,0,0
Precinct,270,20,20,20
Precinct,288,39,39,39
Precinct,340,33,33,33
Precinct,367,6,6,6
Precinct,394,40,40,40
Precinct,399,31,31,31
Precinct,599,21,21,21
Precinct,600,*,0,0
Precinct,604,*,0,0
Precinct,606,34,34,34
Precinct,607,25,25,25
Precinct,609,21,21,21
Precinct,611,34,34,34
Precinct,612,27,27,27
Precinct,617,19,19,19
Precinct,618,19,19,19
Precinct,619,*,0,0
Precinct,620,*,0,0
Precinct,621,21,21,21
Precinct,622,35,35,35
Precinct,626,32,32,32
Precinct,628,13,13,13
Precinct,629,18,18,18
Precinct,630,19,19,19
Precinct,631,9,9,9
Precinct,632,20,20,20
Precinct,633,14,14,14
Precinct,635,30,30,30
Precinct,636,35,35,35
Precinct,638,17,17,17
Precinct,639,25,25,25
Precinct,652,9,9,9
Precinct,653,*,0,0
Precinct,654,15,15,15
Precinct,655,11,11,11
Precinct,687,9,9,9
Precinct,Voter Privacy,28,28,28
County,Catron,481,481,481
Precinct,1,83,83,83
Precinct,2,91,91,91
Precinct,3,60,60,60
Precinct,4,61,61,61
Precinct,5,53,53,53
Precinct,6,32,32,32
Precinct,7,54,54,54
Precinct,8,36,36,36
Precinct,9,11,11,11
Precinct,Voter Privacy,0,0,0
County,Chaves,40,40,40
Precinct,18,98,98,98
Precinct,104,40,40,40
Precinct,Voter Privacy,0,0,0
County,Cibola,878,878,878
Precinct,1,34,34,34
Precinct,2,16,16,16
Precinct,3,13,13,13
Precinct,4,67,67,67
Precinct,5,26,26,26
Precinct,6,31,31,31
Precinct,7,57,57,57
Precinct,8,38,38,38
Precinct,9,38,38,38
Precinct,10,55,55,55
Precinct,11,72,72,72
Precinct,12,36,36,36
Precinct,13,33,33,33
Precinct,14,55,55,55
Precinct,15,71,71,71
Precinct,16,40,40,40
Precinct,17,6,6,6
Precinct,18,*,0,0
Precinct,19,51,51,51
Precinct,20,14,14,14
Precinct,21,8,8,8
Precinct,22,11,11,11
Precinct,23,*,0,0
Precinct,24,*,*,5
Precinct,25,*,0,0
Precinct,26,15,15,15
