county,district,primary_party,candidate_name,votes,write_in,source_file,source_locator
Columbia,19,REP,Peter K. Oberacker,720,false,columbia-county-ny-PE26-data.json,ballot-option-01000000-a33e-a97f-beb7-08dec8a17034
Columbia,19,REP,Alexander M. Portelli,228,false,columbia-county-ny-PE26-data.json,ballot-option-01000000-a33e-a97f-becd-08dec8a17034
Columbia,19,REP,Write-in,4,true,columbia-county-ny-PE26-data.json,ballot-option-01000000-a33e-a97f-bed3-08dec8a17034
Sullivan,19,REP,Peter K. Oberacker,1699,false,sullivan-county-ny-PE26-data.json,ballot-option-01000000-f10f-a6e3-63e7-08decb22364f
Sullivan,19,REP,Alexander M. Portelli,311,false,sullivan-county-ny-PE26-data.json,ballot-option-01000000-f10f-a6e3-63f2-08decb22364f
Sullivan,19,REP,Write-in,5,true,sullivan-county-ny-PE26-data.json,ballot-option-01000000-f10f-a6e3-640f-08decb22364f
Rensselaer,19,REP,Peter K. Oberacker,713,false,rensselaer-county-ny-PE26-data.json,ballot-option-01000000-a33e-a97f-4070-08dec8adc963
Rensselaer,19,REP,Alexander M. Portelli,377,false,rensselaer-county-ny-PE26-data.json,ballot-option-01000000-a33e-a97f-411c-08dec8adc963
Rensselaer,19,REP,Write-in,16,true,rensselaer-county-ny-PE26-data.json,ballot-option-01000000-a33e-a97f-418a-08dec8adc963
Cattaraugus,23,DEM,Aaron Gies,1223,false,cattaraugus-county-ny-PE26-data.json,ballot-option-01000000-1ad0-f2e4-035d-08dece3be2f2
Cattaraugus,23,DEM,Kevin T. Stocker,287,false,cattaraugus-county-ny-PE26-data.json,ballot-option-01000000-1ad0-f2e4-0368-08dece3be2f2
Cattaraugus,23,DEM,Write-in,0,true,cattaraugus-county-ny-PE26-data.json,ballot-option-01000000-1ad0-f2e4-0372-08dece3be2f2
Chemung,23,DEM,Aaron Gies,1639,false,chemung-county-ny-PE26-data.json,ballot-option-01000000-96fb-57e0-0a43-08dec7d8d357
Chemung,23,DEM,Kevin T. Stocker,503,false,chemung-county-ny-PE26-data.json,ballot-option-01000000-96fb-57e0-0a4c-08dec7d8d357
Chemung,23,DEM,Write-in,8,true,chemung-county-ny-PE26-data.json,ballot-option-01000000-96fb-57e0-0a55-08dec7d8d357
Livingston,24,DEM,Alissa J.  Ellman,922,false,livingston-county-ny-PE26-data.json,ballot-option-01000000-d46c-18ee-a0ee-08deb5a725a0
Livingston,24,DEM,Diana K.  Kastenbaum,619,false,livingston-county-ny-PE26-data.json,ballot-option-01000000-d46c-18ee-a170-08deb5a725a0
Livingston,24,DEM,Write-in,7,true,livingston-county-ny-PE26-data.json,ballot-option-01000000-d46c-18ee-a1c6-08deb5a725a0
