,,Peter K. Oberacker,Alexander M. Portelli,Write-Ins,Undervotes,Overvotes,Total Votes Cast
,,Republican,Republican,,,,
Congressional District,19,399,184,8,2,4,597
Precinct,City of Ithaca 1-1,0,3,0,0,0,3
Precinct,City of Ithaca 1-2,12,3,0,0,0,15
Precinct,City of Ithaca 1-3,3,3,0,0,1,7
Precinct,City of Ithaca 1-4,0,0,0,0,0,0
Precinct,City of Ithaca 1-5,0,0,0,0,0,0
Precinct,City of Ithaca 2-1,1,1,0,0,0,2
Precinct,City of Ithaca 2-2,1,0,0,0,0,1
Precinct,City of Ithaca 2-3,1,0,0,0,0,1
Precinct,City of Ithaca 3-1,1,0,0,0,0,1
Precinct,City of Ithaca 3-2,0,2,0,0,0,2
Precinct,City of Ithaca 4-1,0,0,0,0,0,0
Precinct,City of Ithaca 5-1,1,0,0,0,0,1
Precinct,City of Ithaca 5-2,0,0,0,0,0,0
Precinct,Caroline 1,3,3,0,0,0,6
Precinct,Caroline 2,9,1,1,0,0,11
Precinct,Caroline 3,11,1,0,0,0,12
Precinct,Danby 1,3,0,0,0,0,3
Precinct,Danby 2,4,0,0,0,0,4
Precinct,Danby 3,4,1,0,0,0,5
Precinct,Dryden 1,5,2,0,0,0,7
Precinct,Dryden 2,29,6,1,0,1,37
Precinct,Dryden 3,7,3,0,0,0,10
Precinct,Dryden 4,7,3,0,0,0,10
Precinct,Dryden 5,6,3,0,0,0,9
Precinct,Dryden 6,22,6,0,0,0,28
Precinct,Dryden 7,6,1,1,0,0,8
Precinct,Dryden 8,8,2,0,0,0,10
Precinct,Dryden 9,20,5,0,0,0,25
Precinct,Enfield 1,12,12,0,0,0,24
Precinct,Enfield 2,15,8,1,0,0,24
Precinct,Groton 1,25,9,0,0,0,34
Precinct,Groton 2,23,9,0,0,1,33
Precinct,Groton 3,13,2,0,0,0,15
Precinct,Lansing 1,5,4,0,0,0,9
Precinct,Lansing 2,12,5,0,0,0,17
Precinct,Lansing 3,6,6,0,0,0,12
Precinct,Lansing 4,7,9,0,0,0,16
Precinct,Lansing 5,5,5,0,0,0,10
Precinct,Lansing 6,1,1,0,0,1,3
Precinct,Lansing 7,8,1,1,0,0,10
Precinct,Lansing 8,0,0,0,0,0,0
Precinct,Town of Ithaca 1,2,2,0,0,0,4
Precinct,Town of Ithaca 2,0,2,0,0,0,2
Precinct,Town of Ithaca 3,7,5,0,0,0,12
Precinct,Town of Ithaca 4,4,6,2,0,0,12
Precinct,Town of Ithaca 5,2,1,0,0,0,3
Precinct,Town of Ithaca 6,4,4,0,0,0,8
Precinct,Town of Ithaca 7,1,1,0,0,0,2
Precinct,Town of Ithaca 8,2,0,0,0,0,2
Precinct,Town of Ithaca 9,1,0,0,0,0,1
Precinct,Town of Ithaca 10,6,1,0,0,0,7
Precinct,Town of Ithaca 11,7,2,0,0,0,9
Precinct,Town of Ithaca 12,2,0,0,0,0,2
Precinct,Town of Ithaca 13,0,0,0,0,0,0
Precinct,Newfield 1,14,10,0,0,0,24
Precinct,Newfield 2,18,3,0,0,0,21
Precinct,Newfield 3,14,16,0,0,0,30
Precinct,Ulysses 1,6,6,1,1,0,14
Precinct,Ulysses 2,5,2,0,0,0,7
Precinct,Ulysses 3,2,1,0,0,0,3
Precinct,Ulysses 4,6,2,0,1,0,9
