TOTAL VOTER TURNOUT: 5,984,939
ElectionDate	OfficeCode(text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nomindated(N)/Elected(E)
2024-08-06	7	0	0	1	ALCONA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			185			
2024-08-06	7	0	0	1	ALCONA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			198			
2024-08-06	7	0	0	1	ALCONA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			287			
2024-08-06	7	0	0	1	ALCONA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			695			
2024-08-06	7	0	0	1	ALCONA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			118			
2024-08-06	7	0	0	1	ALCONA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			1329			
2024-08-06	7	0	0	2	ALGER	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			95			
2024-08-06	7	0	0	2	ALGER	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			117			
2024-08-06	7	0	0	2	ALGER	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			154			
2024-08-06	7	0	0	2	ALGER	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			802			
2024-08-06	7	0	0	2	ALGER	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			175			
2024-08-06	7	0	0	2	ALGER	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			846			
2024-08-06	7	0	0	3	ALLEGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			1189			
2024-08-06	7	0	0	3	ALLEGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			4743			
2024-08-06	7	0	0	3	ALLEGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			2349			
2024-08-06	7	0	0	3	ALLEGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			6197			
2024-08-06	7	0	0	3	ALLEGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			916			
2024-08-06	7	0	0	3	ALLEGAN	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			8479			
2024-08-06	7	0	0	4	ALPENA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			446			
2024-08-06	7	0	0	4	ALPENA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			560			
2024-08-06	7	0	0	4	ALPENA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			734			
2024-08-06	7	0	0	4	ALPENA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			2158			
2024-08-06	7	0	0	4	ALPENA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			533			
2024-08-06	7	0	0	4	ALPENA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			2802			
2024-08-06	7	0	0	5	ANTRIM	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			516			
2024-08-06	7	0	0	5	ANTRIM	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			881			
2024-08-06	7	0	0	5	ANTRIM	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			941			
2024-08-06	7	0	0	5	ANTRIM	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			1681			
2024-08-06	7	0	0	5	ANTRIM	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			214			
2024-08-06	7	0	0	5	ANTRIM	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			3018			
2024-08-06	7	0	0	6	ARENAC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			205			
2024-08-06	7	0	0	6	ARENAC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			226			
2024-08-06	7	0	0	6	ARENAC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	399437	O'DONNELL	SHERRY			290			
2024-08-06	7	0	0	6	ARENAC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	434127	SLOTKIN	ELISSA			712			
2024-08-06	7	0	0	6	ARENAC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	1	DEMOCRATIC	452314	HARPER	HILL			112			
2024-08-06	7	0	0	6	ARENAC	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	460388	ROGERS	MIKE			1974			
2024-08-06	7	0	0	7	BARAGA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	199188	PENSLER	SANDY			86			
2024-08-06	7	0	0	7	BARAGA	UNITED STATES SENATOR 6 YEAR TERM (1) POSITION	2	REPUBLICAN	277920	AMASH	JUSTIN			132			
