,,Claudia Tenney,Mario Fratto,Scattering,Blank,Void,Total Votes
,,Republican,Republican,,,,
Congressional District,24,19485,12233,187,420,44,32369
County,Cayuga,497,328,4,20,0,849
County,Genesee,1321,716,2,20,3,2062
County,Jefferson,1603,809,19,23,2,2456
County,Livingston,1588,1043,15,7,2,2655
County,Niagara,2278,1098,16,31,4,3427
County,Ontario,2181,1756,37,10,1,3985
County,Orleans,1944,1121,5,200,7,3277
County,Oswego,3150,1422,42,25,11,4650
County,Schuyler,159,117,1,3,0,280
County,Seneca,674,757,8,7,2,1448
County,Steuben,436,339,3,10,3,791
County,Wayne,1781,1680,22,14,2,3499
County,Wyoming,1305,575,4,49,5,1938
County,Yates,568,472,9,1,2,1052
