page,office,district,party,ballot_order,candidate_name
6,Representative in Congress,2,Democratic,Uncontested,Patrick Halpin
7,Representative in Congress,2,Republican,Uncontested,Andrew R. Garbarino
7,Representative in Congress,2,Conservative,Uncontested,Andrew R. Garbarino
7,Representative in Congress,2,Working Families,Uncontested,Patrick Halpin
8,Representative in Congress,3,Democratic,1,Thomas R. Suozzi
8,Representative in Congress,3,Democratic,2,Danielle Welch
8,Representative in Congress,3,Republican,1,Michael J. LiPetri Jr
8,Representative in Congress,3,Republican,2,Greg Hach
8,Representative in Congress,3,Conservative,Uncontested,Michael J. LiPetri Jr
9,Representative in Congress,16,Democratic,Uncontested,George S. Latimer
9,Representative in Congress,16,Republican,Uncontested,Joseph J. Cinquemani
10,Representative in Congress,17,Democratic,1,Effie Guadalupe Phillips-Staley
10,Representative in Congress,17,Democratic,2,Cait Conley
10,Representative in Congress,17,Democratic,3,Beth Davidson
10,Representative in Congress,17,Democratic,4,John Cappello
10,Representative in Congress,17,Democratic,5,Michael Sacks
10,Representative in Congress,17,Republican,Uncontested,Mike Lawler
11,Representative in Congress,17,Conservative,Uncontested,Mike Lawler
11,Representative in Congress,17,Working Families,Uncontested,Effie Guadalupe Phillips-Staley
11,Representative in Congress,18,Democratic,Uncontested,Pat Ryan
12,Representative in Congress,18,Republican,Uncontested,Jackie Mary Auringer
12,Representative in Congress,18,Conservative,Uncontested,Jackie Mary Auringer
12,Representative in Congress,18,Working Families,Uncontested,Pat Ryan
13,Representative in Congress,19,Democratic,Uncontested,Josh Riley
13,Representative in Congress,19,Republican,1,Peter K. Oberacker
13,Representative in Congress,19,Republican,2,Alexander M. Portelli
13,Representative in Congress,19,Conservative,Uncontested,Peter K. Oberacker
14,Representative in Congress,19,Working Families,Uncontested,Josh Riley
14,Representative in Congress,20,Democratic,Uncontested,Paul D. Tonko
14,Representative in Congress,20,Republican,Uncontested,Ralph F. Ambrosio
15,Representative in Congress,20,Conservative,Uncontested,Ralph F. Ambrosio
15,Representative in Congress,20,Working Families,Uncontested,Paul D. Tonko
15,Representative in Congress,21,Democratic,1,Stuart J. Amoriell
15,Representative in Congress,21,Democratic,2,Blake Gendebien
16,Representative in Congress,21,Republican,1,Robert J. Smullen
16,Representative in Congress,21,Republican,2,Anthony Constantino
16,Representative in Congress,21,Conservative,Uncontested,Robert J. Smullen
16,Representative in Congress,22,Democratic,Uncontested,John W. Mannion
17,Representative in Congress,22,Republican,Uncontested,Kailee Marie Buller
17,Representative in Congress,22,Conservative,Uncontested,Kailee Marie Buller
17,Representative in Congress,22,Working Families,Uncontested,John W. Mannion
18,Representative in Congress,23,Democratic,1,Aaron Gies
18,Representative in Congress,23,Democratic,2,Kevin T. Stocker
18,Representative in Congress,23,Republican,Uncontested,Nicholas A. Langworthy
18,Representative in Congress,23,Conservative,Uncontested,Nicholas A. Langworthy
19,Representative in Congress,23,Working Families,Uncontested,Aaron Gies
19,Representative in Congress,24,Democratic,1,Alissa J. Ellman
19,Representative in Congress,24,Democratic,2,Diana K. Kastenbaum
19,Representative in Congress,24,Republican,Uncontested,Claudia Tenney
20,Representative in Congress,24,Conservative,Uncontested,Claudia Tenney
20,Representative in Congress,24,Working Families,Uncontested,Alissa J. Ellman
20,Representative in Congress,25,Democratic,1,Robin Wilt
20,Representative in Congress,25,Democratic,2,Joseph D. Morelle
20,Representative in Congress,25,Democratic,3,Sherita S. Traywick
21,Representative in Congress,25,Republican,Uncontested,Virginia E. McIntyre
21,Representative in Congress,25,Conservative,Uncontested,Virginia E. McIntyre
21,Representative in Congress,25,Working Families,Uncontested,Joseph D. Morelle
22,Representative in Congress,26,Democratic,Uncontested,Timothy M. Kennedy
22,Representative in Congress,26,Republican,Uncontested,Dennis E. Hannon
22,Representative in Congress,26,Conservative,Uncontested,Dennis E. Hannon
