document_id,title,url,final_url,publication_date,retrieved_at,retrieved_at_precision,content_type,raw_path,sha256,bytes,status,evidence_status,notes
ca-identity-certified-candidates-20260326,"Official Certified List of Candidates, Statewide Direct Primary Election - June 2, 2026",https://elections.cdn.sos.ca.gov/statewide-elections/2026-primary/cert-list-candidates.pdf,https://elections.cdn.sos.ca.gov/statewide-elections/2026-primary/cert-list-candidates.pdf,2026-03-26,2026-09-23,date_only,application/pdf,data/raw/policy_ca_2026/ca-certified-candidates-2026-03-26.pdf,f409e8fbef68b56ef7ea4cac8ed1903a5d02fa8a8229666a73861e4b8ea2c03c,1153683,identity_only,identity_only,"Official identity and party-preference evidence, not a policy source. PDF page 20 lists CA-24; PDF page 21 lists CA-26. Exact acquisition time was not retained."
ca26-chris-live-paused,Chris Espinosa for Congress | CA-26 Democrat,https://www.espinosaforcongress.com/issues,https://www.espinosaforcongress.com/issues,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca26-chris-issues.html,60b86185f480981aa51947b9ed2ecf7e56a722dd609d304934a21216d92cc989,98795,excluded,blocked_or_nonpolicy,The final body is a site-paused/404 page and contains no policy text. It is not counted as policy evidence. Exact acquisition time was not retained.
ca26-chris-issues-20260603205553,Issues — EspinosaForCongress.com,https://www.espinosaforcongress.com/issues,https://web.archive.org/web/20260603205553id_/https://www.espinosaforcongress.com/issues,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca26-chris-issues-wayback.html,d131e0671fd0bd2b60bdc5d1c46ae0dcb0719ce0de224f3a535158374a56e707,324672,timing_unverified,timing_unverified,"Full campaign issues page. A request for the closest capture before June 2 redirected to a June 3 capture, so the policy wording is real but cannot prove its pre-primary state. Exact acquisition time was not retained."
ca26-jacqui-climate-current,Champion for Our Environment — Jacqui Irwin for Congress,https://jacquiirwin.com/champion-for-our-environment,https://jacquiirwin.com/champion-for-our-environment,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca26-jacqui-climate.html,91ee83259d86a903c6a27283ff77a7d27c9d85b1f897c5d09c28d2cce11014e2,295721,timing_unverified,timing_unverified,"Candidate-controlled environmental record page with substantive body text. The page is undated and was captured after the primary, so timing is unresolved. Exact acquisition time was not retained."
ca26-liam-signal-403,Error 403 Forbidden,https://signalscv.com/2026/05/the-signals-california-primary-preview-2/,https://signalscv.com/2026/05/the-signals-california-primary-preview-2/,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca26-liam-signal-2026-05.html,b05b7d02e79f00fe4b3d8229ef38854125057d7978ee859c99bba1a63c81216f,1041,excluded,blocked_or_nonpolicy,The final body is a 403 page and is not counted as policy evidence. Exact acquisition time was not retained.
ca26-liam-vcstar-aol-20260510,Meet the 9 candidates in 26th Congressional District race - AOL,https://www.aol.com/articles/meet-9-candidates-26th-congressional-123026000.html,https://www.aol.com/articles/meet-9-candidates-26th-congressional-123026000.html,2026-05-10,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca26-liam-vcstar-aol-2026-05-10.html,d151119ab3de305dfd2484fd44ab3aef5470ab615328bc3d02651302a81f5f6d,711554,used,verified_pre_primary,"Full dated Ventura County Star candidate questionnaire syndicated by AOL. JSON-LD identifies Tony Biasotti, Ventura County Star, publication 2026-05-10, and the original VC Star URL. The excerpt uses only Hernandez's answer. Exact acquisition time was not retained."
ca26-sasan-platform-current,Sasan Samadzadeh for Congress – CA-26,https://sasansamadzadeh.org/,https://sasansamadzadeh.org/,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca26-sasan-platform.html,07d471e5894a5f1529420edb0845b57cfad43d9350a86d828b8a2c72160dd560,862639,timing_unverified,timing_unverified,Full candidate platform with substantive policy text. The page is undated and no pre-primary capture was established in the bounded pass. Exact acquisition time was not retained.
ca26-ssfl-candidate-survey-current,Candidate Survey — PARENTS AGAINST SANTA SUSANA FIELD LAB,https://parentsagainstssfl.com/vote,https://parentsagainstssfl.com/vote,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca26-ssfl-candidate-survey.html,5b3b08ebad6e45392fe6ab74471e74351ded03423374bc673cd21cfd4029133c,454139,timing_unverified,timing_unverified,Candidate-answer survey containing separate labeled sections for Chris Espinosa and Sonia Kacker. Publication date and exact pre-primary version were not established. Exact acquisition time was not retained.
ca26-sonia-campaign-alias-current,Dr. Sonia for Congress | CA-26 in 2026,https://drsoniaforcongress.com/,https://drsoniaforcongress.com/,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca26-sonia-campaign.html,9923a04b33a8d4a699375d9d2028365a42b875850cf87747c3634a8371405410,3657,identity_only,identity_only,"The server body is a minimal shell, not a complete policy page. Its JSON-LD names the candidate as Dr. Sonia Devgan-Kacker while the official certified list and survey use Sonia Kacker, retaining the registry-to-ballot alias evidence. Exact acquisition time was not retained."
ca24-helena-issues-current,Issues — Pasquarella for Congress,https://www.pasquarellaforcongress.com/issues,https://www.pasquarellaforcongress.com/issues,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca24-helena-issues.html,1b8ebf45ac9c5135a512de5b30e9bfe26c4dbdddf1ef00a9e3d588fe14fac807,337179,timing_unverified,timing_unverified,"Full focal-candidate issues page. It is undated and the bounded pass did not establish a pre-primary capture. Official party preference is Peace and Freedom, not Democratic. Exact acquisition time was not retained."
ca24-salud-healthcare-current,Issue | Issues | Salud Carbajal for Congress,https://www.saludcarbajal.com/issues/making-health-care-more-affordable,https://www.saludcarbajal.com/issues/making-health-care-more-affordable,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca24-salud-healthcare.html,e52047b1c804c0e46a2a0ba62cafbb3d800f16c4c5a1b6e4dec5bb13e86a874a,24044,timing_unverified,timing_unverified,"Full candidate-controlled healthcare issue page. It is undated and captured after the primary, so timing is unresolved. Exact acquisition time was not retained."
ca24-sarah-platform-20260504,"Sarah Bacon for Congress Unveils Platform to Fix a Political System Built for the Powerful, Not the People",https://www.sarahbacon.com/sarah-bacon-platform-launch-050426.pdf,https://www.sarahbacon.com/sarah-bacon-platform-launch-050426.pdf,2026-05-04,2026-09-23,date_only,application/pdf,data/raw/policy_ca_2026/ca24-sarah-platform-2026-05-04.pdf,a50ce7532eb16ebc8ce4e377f631af5d2148a0b5ba58ffa2d47faf8f9fa81a90,181724,used,verified_pre_primary,"Original two-page campaign press-release PDF dated May 4, 2026. MIME and PDF body were verified; the excerpt is campaign-authored platform summary text. Exact acquisition time was not retained."
ca24-sarah-issues-current,Issues — Sarah Bacon for Congress,https://www.sarahbacon.com/issues,https://www.sarahbacon.com/issues,,2026-09-23,date_only,text/html,data/raw/policy_ca_2026/ca24-sarah-issues.html,7438c76e1db9737db0e4f092f7db34092df5c9681fffa127b2c04cc120121913,779542,excluded,timing_unverified_redundant,"Complete current issues page retained, but the dated original platform PDF supplies the selected pre-primary evidence. Exact acquisition time was not retained."
