document_id,metadata_document_id,url,final_url,publication_date,retrieved_at,retrieved_at_precision,raw_path,sha256,bytes,content_type,status,notes,historical_cycle_evidence,candidate_document_registration
hbr-md39-clint-questionnaire,,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,2018-02-13,2026-09-23,date_only,data/raw/policy_historical_b/recovered/md39-bethesda-questionnaire-2018.html,f64d3a28de0724004e47bcb6e1d6ac5baa326c3c3fd1289f0df0c90a07da45cb,417988,text/html,excluded,"Candidate listing retained, but the questionnaire explicitly says he did not respond to additional questions.",,"{""archive_url"": """", ""candidate_name"": ""Clint Sobratti"", ""canonical_race_id"": ""race-50548ada602a94d636d7"", ""election_date"": ""2018-06-26"", ""original_candidate_only_locators"": ""Clint Sobratti candidate block; did not respond to additional questions"", ""publication_date"": ""2018-02-13"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats""}"
hbr-md39-kirill-questionnaire,,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,2018-02-13,2026-09-23,date_only,data/raw/policy_historical_b/recovered/md39-bethesda-questionnaire-2018.html,f64d3a28de0724004e47bcb6e1d6ac5baa326c3c3fd1289f0df0c90a07da45cb,417988,text/html,used,Dated pre-primary candidate questionnaire answer.,,"{""archive_url"": """", ""candidate_name"": ""Kirill Reznik"", ""canonical_race_id"": ""race-50548ada602a94d636d7"", ""election_date"": ""2018-06-26"", ""original_candidate_only_locators"": ""Kirill Reznik candidate block, question 2 healthcare answer"", ""publication_date"": ""2018-02-13"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats""}"
hbr-md39-lesley-questionnaire,,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,2018-02-13,2026-09-23,date_only,data/raw/policy_historical_b/recovered/md39-bethesda-questionnaire-2018.html,f64d3a28de0724004e47bcb6e1d6ac5baa326c3c3fd1289f0df0c90a07da45cb,417988,text/html,used,Dated pre-primary candidate questionnaire answer.,,"{""archive_url"": """", ""candidate_name"": ""Lesley J. Lopez"", ""canonical_race_id"": ""race-50548ada602a94d636d7"", ""election_date"": ""2018-06-26"", ""original_candidate_only_locators"": ""Lesley J. Lopez candidate block, question 2 transportation answer"", ""publication_date"": ""2018-02-13"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats""}"
hbr-md39-shane-questionnaire,,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats,2018-02-13,2026-09-23,date_only,data/raw/policy_historical_b/recovered/md39-bethesda-questionnaire-2018.html,f64d3a28de0724004e47bcb6e1d6ac5baa326c3c3fd1289f0df0c90a07da45cb,417988,text/html,used,Dated pre-primary candidate questionnaire answer.,,"{""archive_url"": """", ""candidate_name"": ""Shane Robinson"", ""canonical_race_id"": ""race-50548ada602a94d636d7"", ""election_date"": ""2018-06-26"", ""original_candidate_only_locators"": ""Shane Robinson candidate block, question 2 climate answer"", ""publication_date"": ""2018-02-13"", ""role"": ""opponent"", ""source_type"": ""candidate_questionnaire"", ""source_url"": ""https://bethesdamagazine.com/2018/02/13/state-delegate-district-39-three-seats""}"
hbr-or03-barnett-lwv,,https://lwvpdx.org/wp-content/uploads/2020/04/2020-OR-English-FINAL.pdf,https://lwvpdx.org/wp-content/uploads/2020/04/2020-OR-English-FINAL.pdf,,2026-09-23,date_only,data/raw/policy_historical_b/recovered/oregon-lwv-voter-guide-2020.pdf,3f86f3a8a711ddf9b6ff25d0784c2db0e4881d6726f8b724e86da00e1110a8e7,3085109,application/pdf,timing_unverified,"The April 2020 League voter guide preserves Barnett’s candidate-submitted answers, but no exact publication day is asserted. Qualified historical questionnaire context.","{""election_year"": ""2020"", ""exact_quote"": ""VOTERS’ GUIDE PRIMARY ELECTION may 19, 2020"", ""source_locator"": ""PDF cover, page 1""}","{""archive_url"": """", ""candidate_name"": ""Charles Rand Barnett"", ""canonical_race_id"": ""race-98a94ea45af952a751bc"", ""election_date"": ""2020-05-19"", ""original_candidate_only_locators"": ""Oregon U.S. Representative District 3 Democratic candidate section, climate-action response"", ""publication_date"": null, ""role"": ""opponent"", ""source_type"": ""historical_voter_guide_questionnaire"", ""source_url"": ""https://lwvpdx.org/wp-content/uploads/2020/04/2020-OR-English-FINAL.pdf""}"
hbr-or03-davis-lwv,,https://lwvpdx.org/wp-content/uploads/2020/04/2020-OR-English-FINAL.pdf,https://lwvpdx.org/wp-content/uploads/2020/04/2020-OR-English-FINAL.pdf,,2026-09-23,date_only,data/raw/policy_historical_b/recovered/oregon-lwv-voter-guide-2020.pdf,3f86f3a8a711ddf9b6ff25d0784c2db0e4881d6726f8b724e86da00e1110a8e7,3085109,application/pdf,excluded,The guide explicitly states that Davis did not respond by the deadline.,"{""election_year"": ""2020"", ""exact_quote"": ""VOTERS’ GUIDE PRIMARY ELECTION may 19, 2020"", ""source_locator"": ""PDF cover, page 1""}","{""archive_url"": """", ""candidate_name"": ""Matthew S Davis"", ""canonical_race_id"": ""race-98a94ea45af952a751bc"", ""election_date"": ""2020-05-19"", ""original_candidate_only_locators"": ""Oregon U.S. Representative District 3 Democratic candidate section"", ""publication_date"": null, ""role"": ""opponent"", ""source_type"": ""historical_voter_guide_nonresponse"", ""source_url"": ""https://lwvpdx.org/wp-content/uploads/2020/04/2020-OR-English-FINAL.pdf""}"
hbr-erie-chuck-egn,,https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf,https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf,,2026-09-23,date_only,data/raw/policy_historical_b/recovered/erie-gay-news-voter-guide-2021-05.pdf,6565ca6cc176c0913f4398ab20694b62327815424550c789703702d5b001fc48,25643058,application/pdf,timing_unverified,May 2021 primary voter-guide response; exact publication day is not fabricated. Qualified historical questionnaire context.,"{""election_year"": ""2021"", ""exact_quote"": ""May 2021 – Issue 306 Voters Guide on page 13"", ""source_locator"": ""PDF cover, page 1""}","{""archive_url"": """", ""candidate_name"": ""Chuck Nelson"", ""canonical_race_id"": ""race-8d1e88972b7232ea26d0"", ""election_date"": ""2021-05-18"", ""original_candidate_only_locators"": ""PDF page 27, Chuck Nelson domestic-partner-benefits response"", ""publication_date"": null, ""role"": ""opponent"", ""source_type"": ""historical_candidate_questionnaire"", ""source_url"": ""https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf""}"
hbr-erie-cory-egn,,https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf,https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf,,2026-09-23,date_only,data/raw/policy_historical_b/recovered/erie-gay-news-voter-guide-2021-05.pdf,6565ca6cc176c0913f4398ab20694b62327815424550c789703702d5b001fc48,25643058,application/pdf,timing_unverified,May 2021 primary voter-guide response; exact publication day is not fabricated. Qualified historical questionnaire context.,"{""election_year"": ""2021"", ""exact_quote"": ""May 2021 – Issue 306 Voters Guide on page 13"", ""source_locator"": ""PDF cover, page 1""}","{""archive_url"": """", ""candidate_name"": ""Cory Diloreto"", ""canonical_race_id"": ""race-8d1e88972b7232ea26d0"", ""election_date"": ""2021-05-18"", ""original_candidate_only_locators"": ""PDF page 27, Cory Diloreto domestic-partner-benefits response"", ""publication_date"": null, ""role"": ""opponent"", ""source_type"": ""historical_candidate_questionnaire"", ""source_url"": ""https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf""}"
hbr-erie-jasmine-egn,,https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf,https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf,,2026-09-23,date_only,data/raw/policy_historical_b/recovered/erie-gay-news-voter-guide-2021-05.pdf,6565ca6cc176c0913f4398ab20694b62327815424550c789703702d5b001fc48,25643058,application/pdf,timing_unverified,May 2021 primary voter-guide response; exact publication day is not fabricated. Qualified historical questionnaire context.,"{""election_year"": ""2021"", ""exact_quote"": ""May 2021 – Issue 306 Voters Guide on page 13"", ""source_locator"": ""PDF cover, page 1""}","{""archive_url"": """", ""candidate_name"": ""Jasmine Flores"", ""canonical_race_id"": ""race-8d1e88972b7232ea26d0"", ""election_date"": ""2021-05-18"", ""original_candidate_only_locators"": ""PDF page 27, Jasmine Flores HRC Municipal Equality Index response"", ""publication_date"": null, ""role"": ""opponent"", ""source_type"": ""historical_candidate_questionnaire"", ""source_url"": ""https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf""}"
hbr-erie-kendrick-egn,,https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf,https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf,,2026-09-23,date_only,data/raw/policy_historical_b/recovered/erie-gay-news-voter-guide-2021-05.pdf,6565ca6cc176c0913f4398ab20694b62327815424550c789703702d5b001fc48,25643058,application/pdf,timing_unverified,May 2021 primary voter-guide response; exact publication day is not fabricated. Qualified historical questionnaire context.,"{""election_year"": ""2021"", ""exact_quote"": ""May 2021 – Issue 306 Voters Guide on page 13"", ""source_locator"": ""PDF cover, page 1""}","{""archive_url"": """", ""candidate_name"": ""Kendrick Tate"", ""canonical_race_id"": ""race-8d1e88972b7232ea26d0"", ""election_date"": ""2021-05-18"", ""original_candidate_only_locators"": ""PDF page 27, Kendrick Tate domestic-partner-benefits response"", ""publication_date"": null, ""role"": ""opponent"", ""source_type"": ""historical_candidate_questionnaire"", ""source_url"": ""https://www.eriegaynews.com/printedition/pdfs/EGN202105.pdf""}"
