document_id,metadata_document_id,url,final_url,publication_date,retrieved_at,raw_path,sha256,bytes,content_type,status,notes
hist-pres-source-sanders2016,37d889f9d5e21db48c12fe2f,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,https://web.archive.org/web/20160106120158id_/https://berniesanders.com/issues/,2016-01-06,2026-08-21T01:50:42.040898+00:00,data/raw/policy_historical_presidential/sanders2016-3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962.html,3db59d908e7bc457f8c27f8093b27ab408b8e4c1c48a3c7ab97186bdf8ee6962,23182,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-clinton2016,ec82801b17eefdcc9869ad0b,https://web.archive.org/web/20160108174029id_/https://www.hillaryclinton.com/issues/,https://web.archive.org/web/20160108174029id_/https://www.hillaryclinton.com/issues/,2016-01-08,2026-08-21T01:50:35.552031+00:00,data/raw/policy_historical_presidential/clinton2016-9109de3119f88de3f68d7dbef25ff609dcfea853fa1cfe72ca1376a570b12ab4.html,9109de3119f88de3f68d7dbef25ff609dcfea853fa1cfe72ca1376a570b12ab4,62182,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-omalley2016,6736fb3c7bf5bf0baa8d32a1,https://web.archive.org/web/20150815141242id_/https://martinomalley.com/15-goals/,https://web.archive.org/web/20150815141242id_/https://martinomalley.com/15-goals/,2015-08-15,2026-08-21T02:28:01.078436+00:00,data/raw/policy_historical_presidential/omalley2016-0c341dc5d18d15d6a74eb0934cee9dffa1543d8dd6edf6a8df5b07cc406b97e3.html,0c341dc5d18d15d6a74eb0934cee9dffa1543d8dd6edf6a8df5b07cc406b97e3,56924,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-sanders2020,b1092dbc6977f2e591f1d242,https://web.archive.org/web/20200105220028id_/https://berniesanders.com/issues/,https://web.archive.org/web/20200105220028id_/https://berniesanders.com/issues/,2020-01-05,2026-08-21T01:50:48.939529+00:00,data/raw/policy_historical_presidential/sanders2020-d9fc63d68b43a1e19ecd2fa6f6b3e8288d44f21f98ae52859d0d8965518e5f1a.html,d9fc63d68b43a1e19ecd2fa6f6b3e8288d44f21f98ae52859d0d8965518e5f1a,66700,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-klobuchar2020,6f9940531d5b75a7728986b5,https://web.archive.org/web/20191109194626id_/https://amyklobuchar.com/issues/,https://web.archive.org/web/20191109194626id_/https://amyklobuchar.com/issues/,2019-11-09,2026-08-21T02:29:38.518593+00:00,data/raw/policy_historical_presidential/klobuchar2020-ef4497dd6f9d98301e787005c1d24c07cc5167974f3f6ed453d02f93a124b89b.html,ef4497dd6f9d98301e787005c1d24c07cc5167974f3f6ed453d02f93a124b89b,86362,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-warren2020,f3d514b5e853851d9c3ca72c,https://web.archive.org/web/20190912194647id_/https://elizabethwarren.com/plans,https://web.archive.org/web/20190912194647id_/https://elizabethwarren.com/plans,2019-09-12,2026-08-21T02:28:24.513168+00:00,data/raw/policy_historical_presidential/warren2020-ffc4c5000fc25aada3205c28115f0f64adfb12e8df71f3d1d62cafd562443de7.html,ffc4c5000fc25aada3205c28115f0f64adfb12e8df71f3d1d62cafd562443de7,1771329,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-buttigieg2020,f99215806c31e27562455150,https://web.archive.org/web/20190516210435id_/https://peteforamerica.com/issues/,https://web.archive.org/web/20190516210435id_/https://peteforamerica.com/issues/,2019-05-16,2026-08-21T02:29:17.585315+00:00,data/raw/policy_historical_presidential/buttigieg2020-c0c4c930d402ab8f31e969ea78499e702c0755bfccdca8fecad903f71af9df0f.html,c0c4c930d402ab8f31e969ea78499e702c0755bfccdca8fecad903f71af9df0f,178921,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-gabbard2020,284cbec58fa3626ec1d46024,https://web.archive.org/web/20191121150006id_/https://www.tulsi2020.com/issues,https://web.archive.org/web/20191121150006id_/https://www.tulsi2020.com/issues,2019-11-21,2026-08-21T02:28:50.365358+00:00,data/raw/policy_historical_presidential/gabbard2020-162e68e19c1544133047c56304c99385a12195ca84c2478f2a26f8f15ff13909.html,162e68e19c1544133047c56304c99385a12195ca84c2478f2a26f8f15ff13909,120102,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-booker2020,a1083ea1ac8a30f7c59f5a5d,https://web.archive.org/web/20190717082937id_/https://corybooker.com/issues/,https://web.archive.org/web/20190717082937id_/https://corybooker.com/issues/,2019-07-17,2026-08-21T02:31:48.928745+00:00,data/raw/policy_historical_presidential/booker2020-b70b1c1de5bab17c2e1c86ba6f02608bc8048af86634e3522f503684dde57785.html,b70b1c1de5bab17c2e1c86ba6f02608bc8048af86634e3522f503684dde57785,23348,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
hist-pres-source-delaney2020,bb5c30c5e222bf88458ccd47,https://web.archive.org/web/20190216203734id_/https://www.johndelaney.com/issues/,https://web.archive.org/web/20190216203734id_/https://www.johndelaney.com/issues/,2019-02-16,2026-08-21T02:32:41.804480+00:00,data/raw/policy_historical_presidential/delaney2020-daa3af9a2d721cd5fe9c5c60484a221ed11857c2d87d6f06eb51262d6c255b8c.html,daa3af9a2d721cd5fe9c5c60484a221ed11857c2d87d6f06eb51262d6c255b8c,33131,text/html,used,"National campaign platforms reviewed once in their 2016 or 2020 New Hampshire primary context. These are not independent state-specific campaign texts, and are not multiplied across state primaries to inflate case counts. Original candidate-source association retained."
