document_id,url,final_url,publication_date,retrieved_at,raw_path,sha256,bytes,status,notes,retrieved_at_precision
mi12-tlaib-gender-20260803021500,https://rashidaforcongress.com/issues/lgbtq-and-gender-justice/,https://web.archive.org/web/20260803021500id_/https://rashidaforcongress.com/issues/lgbtq-and-gender-justice/,,2026-09-23,data/raw/policy_mi_wi_2026/tlaib-gender-20260803.html,92d62c5ab33238dc090bd7642dc06b77aba25f65680a75f8b45dfd9bda1fd0de,90114,used,"Undated campaign issue page; the Wayback capture proves the retained language existed by 2026-08-03, before the Michigan primary. Exact acquisition time was not retained.",date_only
mi12-tlaib-immigration-20260803021431,https://rashidaforcongress.com/issues/racial-and-immigration-justice/,https://web.archive.org/web/20260803021431id_/https://rashidaforcongress.com/issues/racial-and-immigration-justice/,,2026-09-23,data/raw/policy_mi_wi_2026/tlaib-immigration-20260803.html,c5e93f040c8ca5a0e42cc69cb92d6a0d4fff673221b2533119fb74255f3ceb7f,71330,used,Undated campaign issue page; the Wayback capture proves the retained language existed by 2026-08-03. Exact acquisition time was not retained.,date_only
mi12-nolen-wdet-20260728,https://wdet.org/2026/07/28/inkster-mayor-challenges-rep-rashida-tlaib-in-democratic-primary/,https://wdet.org/2026/07/28/inkster-mayor-challenges-rep-rashida-tlaib-in-democratic-primary/,2026-07-28,2026-09-23,data/raw/policy_mi_wi_2026/nolen-wdet-2026-07-28.html,f8db374fb22e273ee7c2cb8ac58805002096b8f18ecf686ca75eeb357547e668,362397,used,Dated public-radio candidate interview. The excerpt uses only Nolen's direct quotation; reporter paraphrases are excluded. Exact acquisition time was not retained.,date_only
mi12-jackson-campaign-20260803021851,https://shanellejackson.com/,https://web.archive.org/web/20260803021851id_/https://shanellejackson.com/,,2026-09-23,data/raw/policy_mi_wi_2026/jackson-campaign-20260803021851.html,0373ca0f50e3401bba0afeffe01eab93ba76b467918838745fd5103ad33b567f,173427,used,Campaign policy page captured before the primary; the excerpt is campaign-authored candidate-position text. Exact acquisition time was not retained.,date_only
mi13-mckinney-priorities-20260803023134,https://www.donavanforcongress.com/priorities,https://web.archive.org/web/20260803023134id_/https://www.donavanforcongress.com/priorities,,2026-09-23,data/raw/policy_mi_wi_2026/mckinney-priorities-20260803023134.html,a8feced54712bceff054b8d88508345ad0ba2010d455101bc0a24a447272ef8c,433823,used,Full campaign priorities page captured on 2026-08-03; publication date remains unknown and is not inferred from the capture. Exact acquisition time was not retained.,date_only
mi13-thanedar-wdet-20260323,https://wdet.org/2026/03/23/shri-thanedar-says-hes-ready-for-13th-congressional-district-primary/,https://wdet.org/2026/03/23/shri-thanedar-says-hes-ready-for-13th-congressional-district-primary/,2026-03-23,2026-09-23,data/raw/policy_mi_wi_2026/thanedar-wdet-2026-03-23.html,fe7613086b327be044b8d21fceaccaec64ae70e976fbc8479e1191fe9bf4b5ef,377913,used,Dated candidate Q&A. The excerpt uses only Thanedar's answer and excludes the interview question. Exact acquisition time was not retained.,date_only
wi3-berge-issues-20260811044341,https://www.bergeforcongress.com/issues/,https://web.archive.org/web/20260811044341id_/https://www.bergeforcongress.com/issues/,,2026-09-23,data/raw/policy_mi_wi_2026/berge-issues-20260811044341.html,4181ba9e39912fa17cf3eb6cc31a5fda4e5c2382f3f2121932a361409d41afb9,227658,used,Full campaign issues page captured on the primary date; publication date remains unknown and the capture date is retained separately. Exact acquisition time was not retained.,date_only
wi3-cooke-priorities-20260811044537,https://cookeforwisconsin.com/priorities/,https://web.archive.org/web/20260811044537id_/https://cookeforwisconsin.com/priorities/,,2026-09-23,data/raw/policy_mi_wi_2026/cooke-priorities-20260811044537.html,22bb37dca36844951a5621f0543e88e4eb911a643e59fd58e58506c4a1d482bc,136227,used,Full campaign priorities page captured on the primary date; publication date remains unknown and is not replaced by the capture date. Exact acquisition time was not retained.,date_only
mi12-tlaib-launch-20260128,https://rashidaforcongress.com/blog/2026/01/28/we-just-launched-our-2026-re-election-campaign/,https://rashidaforcongress.com/blog/2026/01/28/we-just-launched-our-2026-re-election-campaign/,2026-01-28,2026-09-23,data/raw/policy_mi_wi_2026/tlaib-campaign-launch-2026-01-28.html,599e0b49a411c6707a1418d97998e393f9b41d60d6f7b4a2931e78c1292d587d,85989,excluded,"Eligible dated campaign statement retained, but more proposition-specific archived issue pages support the selected comparisons. Exact acquisition time was not retained.",date_only
mi12-tlaib-healthcare-20260803021438,https://rashidaforcongress.com/issues/healthcare-for-all/,https://web.archive.org/web/20260803021438id_/https://rashidaforcongress.com/issues/healthcare-for-all/,,2026-09-23,data/raw/policy_mi_wi_2026/tlaib-healthcare-20260803021438.html,9e8d277a6bb98945ba0a11d07e6b9573d696360c7ddef2a89d9cc305b0dfdb7b,59922,excluded,"Eligible pre-primary archive retained, but no additional comparison was necessary after covering both actual challengers. Exact acquisition time was not retained.",date_only
mi12-tlaib-healthcare-current,https://rashidaforcongress.com/issues/healthcare-for-all/,https://rashidaforcongress.com/issues/healthcare-for-all/,,2026-09-23,data/raw/policy_mi_wi_2026/tlaib-healthcare-current.html,1235d2a2ea945739028cfa1e0a3091a1f2dc96bf3516c4e4a1fc9c286f0d4100,79848,excluded,Current undated page cannot independently establish pre-primary wording; the dated archive is retained separately. Exact acquisition time was not retained.,date_only
mi12-nolen-campaign-20260804034622,https://nolen4congress.com/,https://web.archive.org/web/20260804034622id_/https://nolen4congress.com/,,2026-09-23,data/raw/policy_mi_wi_2026/nolen-campaign-20260804034622.html,5129bb046aaa82a06b4a4e6de564558e43dea624433ad699d7cbd8502c4f9230,110320,excluded,Pre-primary campaign capture retained; the dated WDET interview provides clearer speaker-attributed policy language. Exact acquisition time was not retained.,date_only
mi12-nolen-campaign-current,https://nolen4congress.com/,https://nolen4congress.com/,,2026-09-23,data/raw/policy_mi_wi_2026/nolen-campaign-current.html,5d46139528105c18bbef90991ea5d371db5bd449e953d63e330e1c936c539bd9,110645,excluded,Current undated page cannot prove primary-window wording; the archived capture and dated interview are retained separately. Exact acquisition time was not retained.,date_only
mi12-jackson-wdet-20260728,https://wdet.org/2026/07/28/former-state-lawmaker-aims-to-unseat-rep-rashida-tlaib/,https://wdet.org/2026/07/28/former-state-lawmaker-aims-to-unseat-rep-rashida-tlaib/,2026-07-28,2026-09-23,data/raw/policy_mi_wi_2026/jackson-wdet-2026-07-28.html,61703af6082233cdba62163184d35884af7f14be7a5f3a924c5e09ecdd932e7b,362369,excluded,"Eligible dated interview retained, but the archived campaign page states Jackson's ICE reform position more directly. Exact acquisition time was not retained.",date_only
mi12-jackson-campaign-current,https://shanellejackson.com/,https://shanellejackson.com/,,2026-09-23,data/raw/policy_mi_wi_2026/jackson-campaign-current.html,69eacef2f355c22ff53745adb39ff0076d2093a767a72e38070ca83c7c5569df,5768,excluded,The current request returned a JavaScript browser-check page; the successful pre-primary archive is retained separately. Exact acquisition time was not retained.,date_only
