document_id,url,final_url,publication_date,retrieved_at,retrieved_at_precision,raw_path,sha256,bytes,content_type,status,notes,archive_capture_date
mo04-ashleigh-live-current,https://ashleighrogers4congress.com/,https://ashleighrogers4congress.com/,,2026-09-23T04:55:19.193432+00:00,timestamp,data/raw/policy_mo_2026/ashleigh-rogers-current.html,85a3bc07c4d3178079fbe66c7696c785cf35f74df6042595329fcbaa7ec52ee1,161991,text/html,timing_unverified,"Full candidate-authored campaign homepage. On the Issues includes first-person policy statements, but original publication date and the pre-primary version are unverified; the indexed August3 archive still returns HTTP500.",
mo01-carl-harris-stlamerican-20260320,https://www.stlamerican.com/news/local-news/carl-harris-enters-race-for-missouris-1st-congressional-district/,https://www.stlamerican.com/news/local-news/carl-harris-enters-race-for-missouris-1st-congressional-district/,2026-03-20,2026-09-23T04:57:03.254185+00:00,timestamp,data/raw/policy_mo_2026/carl-harris-stlamerican-20260320.html,fdde18f7d00a9a31d7367e2e049ac5c84e61b8146c8318d4093ad68fe8155ba4,206277,text/html,captured_not_excerpted,"Complete dated article contains only reporter narration about campaign themes, no direct candidate quotation or submitted policy answers. Retained as discovery context, not attributed policy text.",
mo01-identity-sos-20260606,https://s1.sos.mo.gov/candidatesonweb/DisplayCandidatesPlacement.aspx?ElectionCode=750006905&OfficeCode=25%20CN%201,https://web.archive.org/web/20260606074525id_/https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%201&ElectionCode=750006905,,2026-09-23,date_only,data/raw/policy_mo_2026/mo-sos-2026-cd1-certified-candidates-20260606074525.html,24765cd5388b960132e58b3f190a7d3d5fa60eb346f67b64908f18fb398f287e,23645,,identity_only,"Certified candidate list; used only to verify district, party, election and candidate identities. Retrieved_at precision is date-only.",2026-06-06
mo04-identity-sos-20260606,https://s1.sos.mo.gov/candidatesonweb/DisplayCandidatesPlacement.aspx?ElectionCode=750006905&OfficeCode=25%20CN%204,https://web.archive.org/web/20260606074419id_/https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%204&ElectionCode=750006905,,2026-09-23,date_only,data/raw/policy_mo_2026/mo-sos-2026-cd4-certified-candidates-20260606074419.html,4128dcb318c978a1a5e9d1396de4ed0f3ef61db23fae993e79484206db1e4745,24097,,identity_only,"Certified candidate list; used only to verify district, party, election and candidate identities. Retrieved_at precision is date-only.",2026-06-06
mo01-stlpr-bush-bell-20260724,https://www.stlpr.org/show/st-louis-on-the-air/2026-07-24/missouri-wesley-bell-cori-bush-radio-appearance,https://www.stlpr.org/show/st-louis-on-the-air/2026-07-24/missouri-wesley-bell-cori-bush-radio-appearance,2026-07-24,2026-09-23,date_only,data/raw/policy_mo_2026/mo01-stlpr-bush-bell-2026-07-24.html,a5cafdfc151432cee7830403e17859098f7e7c4182c59efe7bacca535a58ada7,227173,,used,Dated joint radio appearance/article. Excerpts use only direct Bush or Bell quotations; reporter descriptions are excluded from stance coding. Retrieved_at precision is date-only.,
mo04-hartzell-platform-20260803,https://www.hartzellforcongress.com/,https://web.archive.org/web/20260803201925id_/https://www.hartzellforcongress.com/,,2026-09-23,date_only,data/raw/policy_mo_2026/hartzell-issues-20260803201925.html,6c1e351c090b6a5bba5e11a260067bf9d04a830906831efc4f42cf8f78ee204d,470703,,used,Campaign platform is undated; pre-primary archive capture establishes this version by 2026-08-03. Retrieved_at precision is date-only.,2026-08-03
mo04-herrera-platform-20260803,https://jordanjherrera.com/issues,https://web.archive.org/web/20260803205949id_/https://jordanjherrera.com/issues/,,2026-09-23,date_only,data/raw/policy_mo_2026/herrera-issues-20260803205949.html,699cc08117ef168ef9947b16228c61f8dbdd4e66233f51d9145e03c8add797ba,301280,,used,Campaign platform is undated; pre-primary archive capture establishes this version by 2026-08-03. Retrieved_at precision is date-only.,2026-08-03
mo04-jeanette-cass-platform-20250907,https://www.cassforcongress.com/,https://web.archive.org/web/20250907182249id_/https://www.cassforcongress.com/,,2026-09-23,date_only,data/raw/policy_mo_2026/jeanette-cass-20250907182249.html,5c431b4f4927d139169dc64dde84a1197ae4b353b786c46dcc0afcdae01eecd3,949942,,used,Campaign page is undated; archive capture establishes this text before the primary. Retrieved_at precision is date-only.,2025-09-07
mo04-randy-miller-platform-20260803,https://www.randymillercongress.com/,https://web.archive.org/web/20260803201241id_/https://www.randymillercongress.com/,,2026-09-23,date_only,data/raw/policy_mo_2026/randy-miller-20260803201241.html,91e7af8815a6d74f01ef3cc0a6975293ca1a5a2367f7414d8eb80822553185de,853166,,used,"Campaign page archived the day before the primary; publication date is the archive capture bound, not a claimed original posting date. Retrieved_at precision is date-only.",2026-08-03
mo04-wayne-russell-platform-20260803,https://votewaynerussell.com/,https://web.archive.org/web/20260803200904id_/https://votewaynerussell.com/,,2026-09-23,date_only,data/raw/policy_mo_2026/wayne-russell-20260803200904.html,218f2896a2c8e743d3531d11338d25ac552f79538ac3eab7a52fbf09a19fc546,167515,,used,"Campaign page archived the day before the primary; publication date is the archive capture bound, not a claimed original posting date. Retrieved_at precision is date-only.",2026-08-03
