cycle,election_date,state_code,chamber,district,term,stage,election_system,primary_party,candidate_name,candidate_party,source_url,source_sha256,source_locator
2026,2026-08-04,MO,House,01,regular,primary,partisan_primary,Democratic,Alissa Murphy,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%201&ElectionCode=750006905,24765cd5388b960132e58b3f190a7d3d5fa60eb346f67b64908f18fb398f287e,U.S. REPRESENTATIVE - DISTRICT 1 > Democratic table > candidate row 1 (Alissa Murphy)
2026,2026-08-04,MO,House,01,regular,primary,partisan_primary,Democratic,Carl E. Harris Sr,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%201&ElectionCode=750006905,24765cd5388b960132e58b3f190a7d3d5fa60eb346f67b64908f18fb398f287e,U.S. REPRESENTATIVE - DISTRICT 1 > Democratic table > candidate row 2 (Carl E. Harris Sr)
2026,2026-08-04,MO,House,01,regular,primary,partisan_primary,Democratic,Cori Bush,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%201&ElectionCode=750006905,24765cd5388b960132e58b3f190a7d3d5fa60eb346f67b64908f18fb398f287e,U.S. REPRESENTATIVE - DISTRICT 1 > Democratic table > candidate row 3 (Cori Bush)
2026,2026-08-04,MO,House,01,regular,primary,partisan_primary,Democratic,Wesley Bell,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%201&ElectionCode=750006905,24765cd5388b960132e58b3f190a7d3d5fa60eb346f67b64908f18fb398f287e,U.S. REPRESENTATIVE - DISTRICT 1 > Democratic table > candidate row 4 (Wesley Bell)
2026,2026-08-04,MO,House,01,regular,primary,partisan_primary,Democratic,Carl Earnest Henderson,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%201&ElectionCode=750006905,24765cd5388b960132e58b3f190a7d3d5fa60eb346f67b64908f18fb398f287e,U.S. REPRESENTATIVE - DISTRICT 1 > Democratic table > candidate row 5 (Carl Earnest Henderson)
2026,2026-08-04,MO,House,04,regular,primary,partisan_primary,Democratic,Jordan Herrera,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%204&ElectionCode=750006905,4128dcb318c978a1a5e9d1396de4ed0f3ef61db23fae993e79484206db1e4745,U.S. REPRESENTATIVE - DISTRICT 4 > Democratic table > candidate row 1 (Jordan Herrera)
2026,2026-08-04,MO,House,04,regular,primary,partisan_primary,Democratic,Wayne Russell,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%204&ElectionCode=750006905,4128dcb318c978a1a5e9d1396de4ed0f3ef61db23fae993e79484206db1e4745,U.S. REPRESENTATIVE - DISTRICT 4 > Democratic table > candidate row 2 (Wayne Russell)
2026,2026-08-04,MO,House,04,regular,primary,partisan_primary,Democratic,Hartzell Gray 3rd,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%204&ElectionCode=750006905,4128dcb318c978a1a5e9d1396de4ed0f3ef61db23fae993e79484206db1e4745,U.S. REPRESENTATIVE - DISTRICT 4 > Democratic table > candidate row 3 (Hartzell Gray 3rd)
2026,2026-08-04,MO,House,04,regular,primary,partisan_primary,Democratic,G Rick,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%204&ElectionCode=750006905,4128dcb318c978a1a5e9d1396de4ed0f3ef61db23fae993e79484206db1e4745,U.S. REPRESENTATIVE - DISTRICT 4 > Democratic table > candidate row 4 (G Rick)
2026,2026-08-04,MO,House,04,regular,primary,partisan_primary,Democratic,Jeanette Cass,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%204&ElectionCode=750006905,4128dcb318c978a1a5e9d1396de4ed0f3ef61db23fae993e79484206db1e4745,U.S. REPRESENTATIVE - DISTRICT 4 > Democratic table > candidate row 5 (Jeanette Cass)
2026,2026-08-04,MO,House,04,regular,primary,partisan_primary,Democratic,Ashleigh Rogers,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%204&ElectionCode=750006905,4128dcb318c978a1a5e9d1396de4ed0f3ef61db23fae993e79484206db1e4745,U.S. REPRESENTATIVE - DISTRICT 4 > Democratic table > candidate row 6 (Ashleigh Rogers)
2026,2026-08-04,MO,House,04,regular,primary,partisan_primary,Democratic,Randy Miller,Democratic,https://s1.sos.mo.gov/CandidatesOnWeb/DisplayCandidatesPlacement.aspx?OfficeCode=25%20CN%204&ElectionCode=750006905,4128dcb318c978a1a5e9d1396de4ed0f3ef61db23fae993e79484206db1e4745,U.S. REPRESENTATIVE - DISTRICT 4 > Democratic table > candidate row 7 (Randy Miller)
