,,,
Julie Oliver,,Heidi Sloan,
CAMPAIGN INFO,,,
julieoliver.org,,heidisloan.com,
facebook.com/JulieForTexas,,facebook.com/HeidiSloanForTX,
twitter.com/JulieOliverTX,,twitter.com/heidisloanfortx,
instagram.com/julieolivertx,,instagram.com/heidisloanfortx,
Total Fundraising,"$325,091",Total Fundraising,"$136,461"
PAC Money,$0,PAC Money,$0
HISTORY WITH OUR REVOLUTION,,,
Has individual attended an Our Revolution meeting?,Yes,Has individual attended an Our Revolution meeting?,Yes
Has individual helped grow the movement?,Yes,Has individual helped grow the movement?,Yes
Has individual helped ORTX with Healthy Texas / Medicare for All?,Yes,Has individual helped ORTX with Healthy Texas / Medicare for All?,Yes
TOP THREE ISSUES,,,
Medicare for All,,Green New Deal,
Green New Deal,,Medicare for All,
Ending Corruption and Getting Big money out politics,,Strengthen Unions,
"Detailed Summary
(1 Strong Support -- 5 Weak Support)",,,
"1. Today, we live in the richest country in the history of the world, but that reality means little because much of that wealth is controlled by a tiny handful of individuals. To address that, the wealthy and large corporations must pay their fair share in taxes. ",1,"1. Today, we live in the richest country in the history of the world, but that reality means little because much of that wealth is controlled by a tiny handful of individuals. To address that, the wealthy and large corporations must pay their fair share in taxes. ",1
2. Huge financial institutions must be broken up so they are no longer too big to fail. ,1,2. Huge financial institutions must be broken up so they are no longer too big to fail. ,1
3. No one who works 40-hours a week should live in poverty. The minimum wage needs to be a livable wage of $15 an hour. ,1,3. No one who works 40-hours a week should live in poverty. The minimum wage needs to be a livable wage of $15 an hour. ,1
4. It is critically important to create jobs for disadvantaged young Americans by investing in youth jobs programs. ,1,4. It is critically important to create jobs for disadvantaged young Americans by investing in youth jobs programs. ,1
5. Social Security must be expanded so that every American can retire with dignity. ,1,5. Social Security must be expanded so that every American can retire with dignity. ,1
"6. Trade deals like TPP, NAFTA, CAFTA, and PNTR have cost the U.S. thousands of jobs, allowed corporations to shut down operations in the US and move work to low-wage countries where people are forced to work for pennies an hour. We must do everything we can to reverse these effects from current trade deals and ensure we don't sign on to anymore that place corporate profits ahead of working-class and poor people in the U.S. and throughout the world.",1,"6. Trade deals like TPP, NAFTA, CAFTA, and PNTR have cost the U.S. thousands of jobs, allowed corporations to shut down operations in the US and move work to low-wage countries where people are forced to work for pennies an hour. We must do everything we can to reverse these effects from current trade deals and ensure we don't sign on to anymore that place corporate profits ahead of working-class and poor people in the U.S. and throughout the world.",1
"7. Citizens United, a 5-4 Supreme Court decision, resulted in enabling the wealthiest people and largest corporations in this country to contribute unlimited amounts of money to campaigns. This decision must be overturned and corruption in politics must end. This means fighting to pass a constitutional amendment making it clear that Congress and the states have the power to regulate money in elections. We must also eliminate super PACs and other outside spending abuses and work to aggressively enforce campaign finance rules.",1,"7. Citizens United, a 5-4 Supreme Court decision, resulted in enabling the wealthiest people and largest corporations in this country to contribute unlimited amounts of money to campaigns. This decision must be overturned and corruption in politics must end. This means fighting to pass a constitutional amendment making it clear that Congress and the states have the power to regulate money in elections. We must also eliminate super PACs and other outside spending abuses and work to aggressively enforce campaign finance rules.",1
"8. In order to protect our democracy, we must fight for a publicly financed, transparent system of campaign financing that amplifies small donations. We must also ensure that all Americans are guaranteed an effective right to vote.",1,"8. In order to protect our democracy, we must fight for a publicly financed, transparent system of campaign financing that amplifies small donations. We must also ensure that all Americans are guaranteed an effective right to vote.",1
"9. Every American who studies hard in school should be able to go to college regardless of how much money their parents make and without going deeply into debt. For that, we need to work towards making tuition free at public colleges and universities throughout America, stopping the federal government from making a profit on student loans.",1,"9. Every American who studies hard in school should be able to go to college regardless of how much money their parents make and without going deeply into debt. For that, we need to work towards making tuition free at public colleges and universities throughout America, stopping the federal government from making a profit on student loans.",1
"10. Healthcare is a human right. Our healthcare system needs to work for all of us. We must guarantee healthcare as a right of citizenship by enacting a Medicare for All single-payer healthcare system, as well as lowering the price for prescription drugs.",1,"10. Healthcare is a human right. Our healthcare system needs to work for all of us. We must guarantee healthcare as a right of citizenship by enacting a Medicare for All single-payer healthcare system, as well as lowering the price for prescription drugs.",1
