cycle,election_date,primary_party,candidate_name,votes,source_url,source_locator
2024,2024-08-13,Republican,John Berman,14158,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Republican,Joe Fraser,56909,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Republican,Patrick D. Munro,9444,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Republican,Christopher Seymore Sr.,5020,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Republican,Raymond D. Petersen,16237,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Republican,Loner Blue,2727,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Republican,Royce White,74814,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Republican,Alycia R. Gruenhagen,15017,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Democratic-Farmer-Labor,Amy Klobuchar,305055,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Democratic-Farmer-Labor,Steve Carlson,9535,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Democratic-Farmer-Labor,Ahmad R. Hassan,4891,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Democratic-Farmer-Labor,George H. Kalberer,1578,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2024,2024-08-13,Democratic-Farmer-Labor,Ole Savior,2478,https://www.sos.mn.gov/elections-voting/election-results/2024/2024-primary-election-results/,lines-95-110
2026,2026-08-11,Republican,Adam Schwarze,97470,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Republican,"Bob ""Again"" Carney Jr.",5678,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Republican,Ahmad R. (Raafat) Hassan,1742,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Republican,Patrick Munro,7096,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Republican,Joyce Lacey,7474,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Republican,Tom Weiler,24247,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Republican,Cynthia Gail,5929,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Republican,Michele Tafoya,211813,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Republican,Royce White,45374,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Democratic-Farmer-Labor,Peggy Flanagan,411853,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Democratic-Farmer-Labor,Peter John Murgic,1661,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Democratic-Farmer-Labor,George H Kalberer,2076,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Democratic-Farmer-Labor,Kurt Michael Anderson,4521,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Democratic-Farmer-Labor,Angie Craig,274920,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
2026,2026-08-11,Democratic-Farmer-Labor,Billy Nord,2896,https://www.sos.mn.gov/elections-voting/election-results/2026/2026-primary-election-results/,lines-89-106
