,,Michael B Moore,Mac Deford,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Democratic,Democratic,,,
Congressional District,1,10893,10209,21102,50907,72009
County,Beaufort,2685,4180,6865,13589,20454
Precinct,Beaufort 01,61,35,96,52,148
Precinct,Beaufort 02,34,61,95,169,264
Precinct,Beaufort 03,26,77,103,164,267
Precinct,Belfair 01,10,25,35,230,265
Precinct,Belfair 02,14,38,52,138,190
Precinct,Bluffton 01a,6,13,19,66,85
Precinct,Bluffton 01b,2,8,10,66,76
Precinct,Bluffton 01c,7,15,22,63,85
Precinct,Bluffton 01d,5,9,14,20,34
Precinct,Bluffton 02a,7,17,24,31,55
Precinct,Bluffton 02b,8,13,21,43,64
Precinct,Bluffton 02c,6,18,24,81,105
Precinct,Bluffton 02d,4,14,18,44,62
Precinct,Bluffton 02e,20,30,50,38,88
Precinct,Bluffton 03,6,18,24,130,154
Precinct,Bluffton 04a,12,22,34,183,217
Precinct,Bluffton 04b,3,7,10,61,71
Precinct,Bluffton 04c,10,36,46,131,177
Precinct,Bluffton 04d,16,25,41,140,181
Precinct,Bluffton 04e,13,22,35,66,101
Precinct,Bluffton 05a,16,25,41,61,102
Precinct,Bluffton 05b,12,18,30,54,84
Precinct,Bluffton 05c,12,23,35,44,79
Precinct,Bluffton 05d,7,9,16,101,117
Precinct,Bluffton 05e,8,12,20,51,71
Precinct,Bluffton 06a,7,16,23,68,91
Precinct,Bluffton 06b,16,27,43,132,175
Precinct,Bluffton 07a,20,58,78,218,296
Precinct,Buckwalter 01,5,24,29,111,140
Precinct,Buckwalter 02,5,24,29,68,97
Precinct,Burton 01a,27,16,43,75,118
Precinct,Burton 01b,73,26,99,26,125
Precinct,Burton 01c,54,78,132,246,378
Precinct,Burton 01d,7,9,16,5,21
Precinct,Burton 02a,11,15,26,49,75
Precinct,Burton 02b,17,21,38,90,128
Precinct,Burton 02c,34,39,73,169,242
Precinct,Burton 02d,12,29,41,75,116
Precinct,Burton 03a,17,6,23,19,42
Precinct,Burton 03b,38,20,58,54,112
Precinct,Burton 04,39,11,50,23,73
Precinct,Burton 05a,23,15,38,71,109
Precinct,Burton 05b,20,13,33,39,72
Precinct,Chechessee 01,5,18,23,108,131
Precinct,Chechessee 02,7,23,30,82,112
Precinct,Chechessee 03,9,9,18,100,118
Precinct,Dale Lobeco,65,21,86,44,130
Precinct,Daufuskie,22,12,34,47,81
Precinct,Failsafe,2,0,2,2,4
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Hilton Head 01a,22,27,49,44,93
Precinct,Hilton Head 01b,32,31,63,118,181
Precinct,Hilton Head 02a,28,38,66,117,183
Precinct,Hilton Head 02b,21,24,45,44,89
Precinct,Hilton Head 02c,13,28,41,172,213
Precinct,Hilton Head 02d,13,14,27,21,48
Precinct,Hilton Head 02e,22,52,74,219,293
Precinct,Hilton Head 03,16,25,41,212,253
Precinct,Hilton Head 04a,19,52,71,130,201
Precinct,Hilton Head 04b,44,103,147,234,381
Precinct,Hilton Head 04c,8,54,62,135,197
Precinct,Hilton Head 04d,13,42,55,132,187
Precinct,Hilton Head 05a,17,53,70,156,226
Precinct,Hilton Head 05b,21,37,58,149,207
Precinct,Hilton Head 05c,8,41,49,148,197
Precinct,Hilton Head 06,30,65,95,290,385
Precinct,Hilton Head 07a,29,38,67,129,196
Precinct,Hilton Head 07b,11,29,40,78,118
Precinct,Hilton Head 07c,9,29,38,116,154
Precinct,Hilton Head 08,8,44,52,64,116
Precinct,Hilton Head 09a,11,23,34,76,110
Precinct,Hilton Head 09b,5,17,22,180,202
Precinct,Hilton Head 09c,5,20,25,74,99
Precinct,Hilton Head 09d,13,13,26,148,174
Precinct,Hilton Head 10,10,19,29,84,113
Precinct,Hilton Head 11,12,50,62,157,219
Precinct,Hilton Head 12,14,36,50,116,166
Precinct,Hilton Head 13,14,33,47,57,104
Precinct,Hilton Head 14,18,27,45,125,170
Precinct,Hilton Head 15a,7,24,31,83,114
Precinct,Hilton Head 15b,17,41,58,109,167
Precinct,Ladys Island 01a,32,20,52,62,114
Precinct,Ladys Island 01b,33,20,53,60,113
Precinct,Ladys Island 02a,11,30,41,68,109
Precinct,Ladys Island 02b,13,53,66,201,267
Precinct,Ladys Island 02c,32,17,49,105,154
Precinct,Ladys Island 03a,36,57,93,146,239
Precinct,Ladys Island 03b,11,35,46,176,222
Precinct,Ladys Island 03c,19,23,42,93,135
Precinct,Ladys Island 04a,39,42,81,108,189
Precinct,Ladys Island 04b,16,27,43,112,155
Precinct,Ladys Island 04c,24,31,55,109,164
Precinct,Moss Creek,15,155,170,293,463
Precinct,Mossy Oaks 01a,23,37,60,94,154
Precinct,Mossy Oaks 01b,26,46,72,134,206
Precinct,Mossy Oaks 02,26,25,51,100,151
Precinct,New River 01,18,32,50,160,210
Precinct,New River 02,12,31,43,61,104
Precinct,Palmetto Bluff,9,19,28,133,161
Precinct,Port Royal 01,28,30,58,104,162
Precinct,Port Royal 02,22,30,52,57,109
Precinct,Pritchardville 01,12,16,28,82,110
Precinct,Provisional,3,3,6,8,14
Precinct,Riverbend,20,31,51,147,198
Precinct,Rose Hill 01,7,13,20,86,106
Precinct,Rose Hill 02,18,35,53,129,182
Precinct,Sandy Pointe,9,9,18,39,57
Precinct,Seabrook 01,18,8,26,51,77
Precinct,Seabrook 02,33,16,49,37,86
Precinct,Seabrook 03,40,19,59,62,121
Precinct,Sheldon 01,45,21,66,76,142
Precinct,Sheldon 02,85,17,102,23,125
Precinct,Spanish Wells,24,22,46,63,109
Precinct,St. Helena 01a,103,57,160,58,218
Precinct,St. Helena 01b,93,51,144,48,192
Precinct,St. Helena 01c,23,82,105,382,487
Precinct,St. Helena 02a,62,36,98,78,176
Precinct,St. Helena 02b,94,38,132,45,177
Precinct,St. Helena 02c,9,46,55,159,214
Precinct,Sun City 01,18,93,111,197,308
Precinct,Sun City 02,27,69,96,130,226
Precinct,Sun City 03,7,67,74,113,187
Precinct,Sun City 04,12,80,92,213,305
Precinct,Sun City 05,22,68,90,237,327
Precinct,Sun City 06,22,75,97,219,316
Precinct,Sun City 07,23,83,106,153,259
Precinct,Sun City 08,11,44,55,110,165
Precinct,Sun City 09,13,39,52,131,183
Precinct,Sun City 10,17,33,50,72,122
County,Berkeley,3219,1858,5077,11988,17065
Precinct,52,45,14,59,83,142
Precinct,78,12,18,30,66,96
Precinct,Alvin,73,12,85,51,136
Precinct,Bethera,0,0,0,51,51
Precinct,Beverly Hills,37,4,41,45,86
Precinct,Bonneau,37,10,47,121,168
Precinct,Bonneau Beach,13,8,21,234,255
Precinct,Boulder Bluff,46,21,67,102,169
Precinct,Bushy Park,2,0,2,9,11
Precinct,Cainhoy,102,19,121,44,165
Precinct,Cane Bay,43,36,79,155,234
Precinct,Cane Bay East,35,63,98,330,428
Precinct,Cane Bay North,57,47,104,270,374
Precinct,Cane Bay South,24,13,37,81,118
Precinct,Carnes Cross Roads 01,6,8,14,126,140
Precinct,Carnes Cross Roads 02,15,20,35,187,222
Precinct,Central,74,41,115,143,258
Precinct,Cobblestone,23,16,39,66,105
Precinct,Cordesville,24,24,48,96,144
Precinct,Cross,27,18,45,127,172
Precinct,Cypress,39,7,46,88,134
Precinct,Daniel Island 01,26,74,100,453,553
Precinct,Daniel Island 02,21,38,59,218,277
Precinct,Daniel Island 03,33,68,101,296,397
Precinct,Daniel Island 04,42,80,122,452,574
Precinct,Devon Forest 01,34,16,50,81,131
Precinct,Devon Forest 02,20,11,31,62,93
Precinct,Discovery,27,11,38,80,118
Precinct,Eadytown,33,8,41,39,80
Precinct,Failsafe,1,0,1,1,2
Precinct,Failsafe Provisional,3,0,3,2,5
Precinct,Foster Creek 01,25,20,45,106,151
Precinct,Foster Creek 02,43,31,74,235,309
Precinct,Foster Creek 03,31,28,59,141,200
Precinct,Fox Bank,56,22,78,182,260
Precinct,Hanahan 01,38,32,70,301,371
Precinct,Hanahan 02,20,8,28,110,138
Precinct,Hanahan 03,10,2,12,157,169
Precinct,Hanahan 04,19,13,32,88,120
Precinct,Hanahan 05,8,6,14,223,237
Precinct,Harbour Lake,31,16,47,48,95
Precinct,Hilton Cross Road,72,33,105,96,201
Precinct,Horseshoe,17,5,22,55,77
Precinct,Howe Hall 01,61,19,80,79,159
Precinct,Howe Hall 02,28,6,34,59,93
Precinct,Huger,55,29,84,101,185
Precinct,Jamestown,26,14,40,40,80
Precinct,Lebanon,14,6,20,113,133
Precinct,Liberty Hall,57,16,73,99,172
Precinct,Live Oak,1,11,12,148,160
Precinct,Macedonia,3,10,13,171,184
Precinct,Macedonia 02,0,1,1,22,23
Precinct,Mcbeth,27,4,31,102,133
Precinct,Medway,77,37,114,152,266
Precinct,Moncks Corner 01,42,14,56,162,218
Precinct,Moncks Corner 02,59,16,75,98,173
Precinct,Moncks Corner 03,75,26,101,101,202
Precinct,Moncks Corner 04,18,13,31,258,289
Precinct,Moultrie,102,64,166,54,220
Precinct,Nexton,33,74,107,312,419
Precinct,North Creek,27,24,51,83,134
Precinct,Old 52,18,6,24,91,115
Precinct,Pimlico,18,7,25,202,227
Precinct,Pinopolis,17,11,28,323,351
Precinct,Provisional,0,0,0,1,1
Precinct,Royle,21,4,25,80,105
Precinct,Russellville,145,44,189,63,252
Precinct,Sangaree 01,22,14,36,63,99
Precinct,Sangaree 02,21,18,39,90,129
Precinct,Sangaree 03,26,12,38,65,103
Precinct,Sedgefield 01,41,9,50,86,136
Precinct,Sedgefield 02,11,5,16,16,32
Precinct,Sedgefield 03,19,8,27,55,82
Precinct,Shulerville,25,8,33,44,77
Precinct,St. James,23,14,37,106,143
Precinct,St. Stephen 01,110,36,146,73,219
Precinct,St. Stephen 02,74,20,94,86,180
Precinct,Stone Lake,31,15,46,112,158
Precinct,Stratford 01,6,10,16,28,44
Precinct,Stratford 02,36,21,57,258,315
Precinct,Stratford 03,42,11,53,113,166
Precinct,Stratford 04,24,13,37,118,155
Precinct,Stratford 05,27,6,33,57,90
Precinct,The Village,22,44,66,249,315
Precinct,Tramway,27,10,37,84,121
Precinct,Wassamassaw 01,50,23,73,61,134
Precinct,Wassamassaw 02,52,21,73,229,302
Precinct,Weatherstone,25,23,48,99,147
Precinct,Westview 01,30,7,37,193,230
Precinct,Westview 02,25,18,43,148,191
Precinct,Westview 03,36,17,53,170,223
Precinct,Westview 04,27,14,41,163,204
Precinct,Whitesville 01,37,16,53,70,123
Precinct,Whitesville 02,27,11,38,39,77
Precinct,Wildcat Trail,18,18,36,77,113
Precinct,Yeaman's Club,0,0,0,16,16
Precinct,Yellow House,37,39,76,205,281
County,Charleston,3469,2801,6270,15407,21677
Precinct,Awendaw,71,19,90,151,241
Precinct,Christ Church,39,13,52,108,160
Precinct,Edisto Island,135,32,167,199,366
Precinct,Failsafe,0,0,0,2,2
Precinct,Failsafe Provisional,1,3,4,10,14
Precinct,Folly Beach 01,13,35,48,103,151
Precinct,Folly Beach 02,33,39,72,146,218
Precinct,Isle Of Palms 01a,13,11,24,156,180
Precinct,Isle of Palms 01b,21,28,49,183,232
Precinct,Isle of Palms 01c,15,37,52,289,341
Precinct,James Island 01a,80,34,114,157,271
Precinct,James Island 01b,130,25,155,38,193
Precinct,James Island 03,111,20,131,11,142
Precinct,James Island 05a,22,20,42,154,196
Precinct,James Island 05b,4,17,21,103,124
Precinct,James Island 06,61,32,93,135,228
Precinct,James Island 07,48,47,95,165,260
Precinct,James Island 08a,55,75,130,146,276
Precinct,James Island 08b,41,26,67,123,190
Precinct,James Island 09,35,28,63,103,166
Precinct,James Island 10,31,26,57,106,163
Precinct,James Island 11,40,34,74,187,261
Precinct,James Island 12,31,24,55,161,216
Precinct,James Island 13,31,28,59,205,264
Precinct,James Island 14,17,17,34,100,134
Precinct,James Island 15,36,25,61,132,193
Precinct,James Island 17,33,19,52,157,209
Precinct,James Island 19,20,27,47,100,147
Precinct,James Island 20,51,28,79,79,158
