,,Nancy Mace,Catherine Templeton,Bill Young,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Republican,Republican,,,
Congressional District,1,28300,14849,6691,49840,22169,72009
County,Beaufort,6792,5190,1583,13565,6889,20454
Precinct,Beaufort 01,27,21,4,52,96,148
Precinct,Beaufort 02,66,93,10,169,95,264
Precinct,Beaufort 03,81,67,16,164,103,267
Precinct,Belfair 01,100,93,37,230,35,265
Precinct,Belfair 02,84,39,15,138,52,190
Precinct,Bluffton 01a,42,19,5,66,19,85
Precinct,Bluffton 01b,33,27,6,66,10,76
Precinct,Bluffton 01c,34,15,14,63,22,85
Precinct,Bluffton 01d,11,4,5,20,14,34
Precinct,Bluffton 02a,12,14,5,31,24,55
Precinct,Bluffton 02b,15,17,11,43,21,64
Precinct,Bluffton 02c,52,14,15,81,24,105
Precinct,Bluffton 02d,23,13,8,44,18,62
Precinct,Bluffton 02e,18,15,5,38,50,88
Precinct,Bluffton 03,60,54,16,130,24,154
Precinct,Bluffton 04a,65,102,16,183,34,217
Precinct,Bluffton 04b,27,21,13,61,10,71
Precinct,Bluffton 04c,75,49,7,131,46,177
Precinct,Bluffton 04d,69,56,15,140,41,181
Precinct,Bluffton 04e,29,26,11,66,35,101
Precinct,Bluffton 05a,39,12,9,60,42,102
Precinct,Bluffton 05b,23,21,10,54,30,84
Precinct,Bluffton 05c,17,23,4,44,35,79
Precinct,Bluffton 05d,40,46,15,101,16,117
Precinct,Bluffton 05e,25,18,8,51,20,71
Precinct,Bluffton 06a,41,15,12,68,23,91
Precinct,Bluffton 06b,69,45,17,131,44,175
Precinct,Bluffton 07a,105,81,32,218,78,296
Precinct,Buckwalter 01,64,36,11,111,29,140
Precinct,Buckwalter 02,42,15,11,68,29,97
Precinct,Burton 01a,37,21,17,75,43,118
Precinct,Burton 01b,12,12,2,26,99,125
Precinct,Burton 01c,88,120,38,246,132,378
Precinct,Burton 01d,2,3,0,5,16,21
Precinct,Burton 02a,27,18,2,47,28,75
Precinct,Burton 02b,54,30,6,90,38,128
Precinct,Burton 02c,89,58,22,169,73,242
Precinct,Burton 02d,43,21,11,75,41,116
Precinct,Burton 03a,12,0,7,19,23,42
Precinct,Burton 03b,31,13,10,54,58,112
Precinct,Burton 04,12,5,6,23,50,73
Precinct,Burton 05a,41,18,12,71,38,109
Precinct,Burton 05b,20,9,10,39,33,72
Precinct,Chechessee 01,50,51,7,108,23,131
Precinct,Chechessee 02,40,33,9,82,30,112
Precinct,Chechessee 03,60,29,11,100,18,118
Precinct,Dale Lobeco,22,11,9,42,88,130
Precinct,Daufuskie,32,12,3,47,34,81
Precinct,Failsafe,1,1,0,2,2,4
Precinct,Failsafe Provisional,0,0,0,0,0,0
Precinct,Hilton Head 01a,27,15,2,44,49,93
Precinct,Hilton Head 01b,53,57,8,118,63,181
Precinct,Hilton Head 02a,71,41,5,117,66,183
Precinct,Hilton Head 02b,23,11,10,44,45,89
Precinct,Hilton Head 02c,69,91,12,172,41,213
Precinct,Hilton Head 02d,9,10,2,21,27,48
Precinct,Hilton Head 02e,102,95,21,218,75,293
Precinct,Hilton Head 03,119,77,16,212,41,253
Precinct,Hilton Head 04a,75,48,7,130,71,201
Precinct,Hilton Head 04b,102,102,29,233,148,381
Precinct,Hilton Head 04c,72,51,12,135,62,197
Precinct,Hilton Head 04d,75,38,19,132,55,187
Precinct,Hilton Head 05a,65,66,24,155,71,226
Precinct,Hilton Head 05b,80,55,14,149,58,207
Precinct,Hilton Head 05c,84,48,16,148,49,197
Precinct,Hilton Head 06,150,115,25,290,95,385
Precinct,Hilton Head 07a,66,53,10,129,67,196
Precinct,Hilton Head 07b,40,34,4,78,40,118
