,,David Robinson II,Daniel J Shrief,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Democratic,Democratic,,,
Congressional District,2,16299,3093,19392,49759,69151
County,Aiken,1585,313,1898,9682,11580
Precinct,Aiken No. 01,9,3,12,238,250
Precinct,Aiken No. 02,31,10,41,52,93
Precinct,Aiken No. 03,46,9,55,38,93
Precinct,Aiken No. 04,25,2,27,26,53
Precinct,Aiken No. 05,33,5,38,112,150
Precinct,Aiken No. 06,13,2,15,196,211
Precinct,Aiken No. 47,7,1,8,128,136
Precinct,Anderson Pond No. 69,15,6,21,449,470
Precinct,Ascauga Lake No. 63,18,1,19,52,71
Precinct,Ascauga Lake No. 84,25,1,26,73,99
Precinct,Bath,12,1,13,34,47
Precinct,Beech Island,19,7,26,55,81
Precinct,Belvedere No. 09,10,2,12,34,46
Precinct,Belvedere No. 44,9,3,12,58,70
Precinct,Belvedere No. 62,39,2,41,41,82
Precinct,Belvedere No. 74,2,0,2,25,27
Precinct,Breezy Hill,12,1,13,30,43
Precinct,Breezy No. 87,8,3,11,73,84
Precinct,Carolina Heights,36,3,39,61,100
Precinct,Cedar Creek No. 64,20,6,26,296,322
Precinct,China Springs,42,12,54,66,120
Precinct,Clearwater,12,1,13,39,52
Precinct,College Acres,14,6,20,157,177
Precinct,Community No. 86,8,2,10,68,78
Precinct,Couchton,19,4,23,137,160
Precinct,Creek No. 85,12,4,16,49,65
Precinct,Eureka,23,3,26,101,127
Precinct,Failsafe,0,0,0,3,3
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Fox Creek No. 58,23,0,23,80,103
Precinct,Fox Creek No. 73,11,3,14,101,115
Precinct,Gem Lakes No. 60,4,3,7,194,201
Precinct,Gem Lakes No. 77,10,3,13,268,281
Precinct,Gloverville,9,2,11,88,99
Precinct,Graniteville,5,3,8,105,113
Precinct,Hammond No. 48,23,2,25,100,125
Precinct,Hammond No. 81,17,2,19,62,81
Precinct,Hitchcock No. 66,9,3,12,184,196
Precinct,Hollow Creek,10,1,11,224,235
Precinct,Jackson,10,3,13,127,140
Precinct,Langley,3,2,5,102,107
Precinct,Levels No. 52,10,5,15,84,99
Precinct,Levels No. 72,13,2,15,64,79
Precinct,Levels No. 83,12,2,14,75,89
Precinct,Lynwood,2,1,3,65,68
Precinct,Midland Valley No. 51,8,0,8,73,81
Precinct,Midland Valley No. 71,28,3,31,156,187
Precinct,Midlands No. 88,23,2,25,101,126
Precinct,Millbrook,19,4,23,283,306
Precinct,Misty Lakes,33,2,35,102,137
Precinct,Monetta,22,7,29,71,100
Precinct,Montmorenci No. 22,28,7,35,157,192
Precinct,Montmorenci No. 78,19,3,22,121,143
Precinct,N. Augusta No. 25,22,2,24,103,127
Precinct,N. Augusta No. 26,9,1,10,37,47
Precinct,N. Augusta No. 27,18,1,19,161,180
Precinct,N. Augusta No. 28,9,1,10,113,123
