,,Mark Burns,Sheri Biggs,Stewart O. Jones,Kevin Bishop,Franky Franco,Elspeth Snow Murday,Phil Healy,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Republican,Republican,Republican,Republican,Republican,Republican,,,
Congressional District,3,27069,23523,15260,8972,3494,1754,1552,81624,11420,93044
County,Abbeville,753,692,257,125,89,19,26,1961,433,2394
Precinct,Abbeville No. 01,63,116,42,16,12,5,4,258,41,299
Precinct,Abbeville No. 02,38,31,8,2,3,0,1,83,76,159
Precinct,Abbeville No. 03,36,55,14,11,8,1,0,125,53,178
Precinct,Abbeville No. 04,56,31,13,6,1,3,4,114,25,139
Precinct,Antreville,91,65,20,12,4,4,2,198,22,220
Precinct,Broadmouth,26,11,7,2,1,0,0,47,4,51
Precinct,Calhoun Falls,49,35,16,5,2,1,0,108,58,166
Precinct,Cold Springs,66,62,20,11,3,1,4,167,17,184
Precinct,Donald's,30,21,7,4,7,0,0,69,6,75
Precinct,Due West,39,48,21,15,32,3,1,159,41,200
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Hall's Store,20,35,8,3,0,0,0,66,7,73
Precinct,Keowee,78,52,25,8,8,1,3,175,20,195
Precinct,Lebanon,51,44,17,11,5,0,2,130,23,153
Precinct,Lowndesville,82,41,18,12,1,0,5,159,14,173
Precinct,Provisional,1,0,0,0,0,0,0,1,0,1
Precinct,Smithville,27,45,21,7,2,0,0,102,26,128
County,Anderson,8204,7633,3541,1928,875,472,312,22965,2140,25105
Precinct,3 And 20,186,122,97,57,19,3,13,497,38,535
Precinct,5 Forks,144,140,76,35,13,11,3,422,47,469
Precinct,Anderson 01/1,61,82,27,24,8,9,0,211,24,235
Precinct,Anderson 01/2,67,149,69,34,7,12,2,340,28,368
Precinct,Anderson 02/1,71,107,62,31,13,11,6,301,27,328
Precinct,Anderson 02/2,134,168,85,38,32,14,2,473,56,529
Precinct,Anderson 03/1,15,14,22,5,2,1,0,59,15,74
Precinct,Anderson 03/2,31,19,7,2,2,1,0,62,28,90
Precinct,Anderson 04/1,11,6,3,1,0,0,0,21,37,58
Precinct,Anderson 04/2,52,46,8,8,2,1,1,118,64,182
Precinct,Anderson 05/b,8,4,1,3,3,0,1,20,48,68
Precinct,Anderson 06/1,84,111,36,36,8,17,3,295,39,334
Precinct,Anderson 06/2,15,12,6,5,1,0,0,39,22,61
Precinct,Appleton-Equinox,25,24,6,2,0,1,0,58,9,67
Precinct,Barkers Creek-Mcadams,54,38,21,11,5,0,1,130,2,132
Precinct,Belton,146,91,35,13,10,3,4,302,14,316
Precinct,Belton Annex,166,118,58,33,17,7,3,402,29,431
Precinct,Bishops Branch,159,111,62,51,9,6,10,408,30,438
Precinct,Bowling Green,66,50,28,9,1,8,2,164,6,170
Precinct,Broadview,21,18,13,3,2,2,0,59,52,111
Precinct,Broadway,55,54,18,9,5,0,1,142,20,162
Precinct,Brushy Creek,151,102,95,45,30,8,5,436,36,472
Precinct,Cedar Grove,104,75,28,16,12,6,3,244,16,260
Precinct,Center Rock,190,264,63,36,10,12,10,585,32,617
Precinct,Centerville Station A,177,213,69,51,13,7,7,537,68,605
Precinct,Centerville Station B,194,201,76,42,15,11,11,550,50,600
Precinct,Chiquola Mill,14,13,5,1,0,0,1,34,7,41
Precinct,Concrete,176,86,97,91,37,20,10,517,42,559
Precinct,Coxs Creek,50,90,47,25,9,2,0,223,28,251
Precinct,Craytonville,95,97,24,8,6,2,6,238,9,247
Precinct,Denver-sandy Springs,128,111,44,19,9,8,8,327,21,348
Precinct,Edgewood Station A,64,95,46,23,7,6,2,243,29,272
Precinct,Edgewood Station B,121,163,102,40,14,7,8,455,34,489
Precinct,Failsafe,3,3,5,0,0,0,0,11,2,13
Precinct,Failsafe Provisional,6,3,3,1,1,0,0,14,0,14
Precinct,Flat Rock,110,62,18,7,3,2,1,203,11,214
Precinct,Fork No. 01,115,130,43,23,3,8,2,324,22,346
Precinct,Fork No. 02,184,140,40,29,9,13,4,419,25,444
Precinct,Friendship,57,68,19,14,14,1,2,175,12,187
Precinct,Glenview,101,140,92,44,31,13,3,424,37,461
Precinct,Gluck Mill,49,33,10,4,3,5,1,105,15,120
Precinct,Green Pond Station A,179,230,68,29,14,5,6,531,52,583
Precinct,Hall,102,68,19,10,1,2,2,204,20,224
Precinct,Hammond Annex,91,191,92,48,12,11,6,451,37,488
Precinct,Hammond School,110,154,105,39,15,17,6,446,26,472
Precinct,High Point,64,65,26,4,8,2,0,169,3,172
Precinct,Homeland Park,27,17,3,1,0,0,1,49,2,51
Precinct,Honea Path,110,94,19,17,32,5,0,277,16,293
Precinct,Hopewell,105,142,99,28,15,6,1,396,27,423
Precinct,Hunt Meadows,254,166,135,114,42,11,17,739,44,783
Precinct,Iva,157,112,21,15,1,1,5,312,19,331
Precinct,Jackson Mill,113,90,30,15,2,0,3,253,12,265
Precinct,La France,65,63,27,23,8,3,5,194,13,207
Precinct,Lakeside,116,170,32,13,6,4,5,346,69,415
Precinct,Melton,57,39,63,15,1,5,1,181,22,203
Precinct,Mount Tabor,194,261,70,43,16,13,7,604,63,667
Precinct,Mountain Creek,41,27,7,1,0,0,2,78,18,96
Precinct,Mt Airy,175,61,50,48,43,17,9,403,30,433
Precinct,Neals Creek,157,97,40,15,12,2,3,326,38,364
Precinct,North Pointe,129,166,80,46,15,13,5,454,59,513
Precinct,Pelzer,58,27,5,8,8,1,3,110,3,113
Precinct,Pendleton,148,158,70,95,21,41,10,543,108,651
Precinct,Piedmont,47,33,12,8,10,1,1,112,4,116
Precinct,Piercetown,191,153,111,36,9,7,5,512,33,545
Precinct,Powdersville,177,74,65,62,22,10,5,415,51,466
Precinct,Provisional,3,2,0,0,0,1,0,6,0,6
Precinct,Rock Mill,86,145,48,25,9,12,4,329,17,346
Precinct,Rock Springs,75,87,29,7,2,0,2,202,3,205
Precinct,Shirley's Store,84,89,42,10,0,0,2,227,16,243
Precinct,Simpsonville,154,88,48,42,33,9,9,383,15,398
Precinct,South Fant,21,20,3,5,0,0,2,51,21,72
Precinct,Starr,86,73,38,10,8,2,1,218,3,221
Precinct,Toney Creek,68,48,13,7,6,0,3,145,10,155
Precinct,Town Creek,122,177,100,23,12,9,6,449,33,482
Precinct,Townville,85,82,21,14,1,2,3,208,7,215
Precinct,Varennes,29,23,12,7,0,0,2,73,7,80
Precinct,West Pelzer,179,83,38,29,15,5,8,357,15,372
Precinct,West Savannah,39,34,9,5,2,1,2,92,12,104
Precinct,White Plains,242,167,109,37,18,6,10,589,39,628
Precinct,Williamston,166,105,27,23,39,3,8,371,27,398
Precinct,Williamston Mill,161,98,56,13,27,4,4,363,10,373
Precinct,Wright's School,77,81,33,9,5,3,2,210,5,215
County,Edgefield,420,790,306,126,50,13,40,1745,778,2523
Precinct,Brunson,14,8,10,1,0,0,2,35,44,79
Precinct,Edgefield No. 01,25,52,9,6,5,1,0,98,47,145
Precinct,Edgefield No. 02,44,60,20,4,7,0,0,135,79,214
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Harmony,25,96,14,18,2,0,3,158,33,191
Precinct,Johnston No. 01,14,24,12,9,3,1,0,63,105,168
Precinct,Johnston No. 02,33,66,11,11,2,0,1,124,99,223
Precinct,Merriweather No. 01,72,132,53,18,16,3,10,304,44,348
Precinct,Merriweather No. 02,90,187,109,23,4,6,10,429,66,495
Precinct,North Side,13,21,11,3,4,0,0,52,39,91
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Trenton No. 01,20,21,13,6,0,0,2,62,54,116
Precinct,Trenton No. 02,21,20,16,15,5,0,4,81,155,236
Precinct,Westside,49,103,28,12,2,2,8,204,13,217
County,Greenville,1988,1088,1007,523,483,134,233,5456,1344,6800
Precinct,Baker Creek,97,46,31,18,21,6,6,225,25,250
Precinct,Dunklin,195,89,75,20,24,5,9,417,32,449
Precinct,Failsafe,1,0,0,0,0,0,0,1,11,12
Precinct,Failsafe Provisional,2,0,0,0,0,0,0,2,19,21
Precinct,Fork Shoals,154,75,81,32,23,3,5,373,23,396
Precinct,Fountain Inn 01,141,66,96,25,39,10,8,385,83,468
Precinct,Fountain Inn 02,68,24,37,14,8,4,7,162,21,183
Precinct,Long Creek,93,84,35,27,50,2,12,303,61,364
Precinct,Neely Farms,124,82,72,53,52,13,23,419,90,509
Precinct,Piedmont,129,77,51,26,7,9,6,305,81,386
Precinct,Pineview,68,27,30,13,14,1,13,166,13,179
Precinct,Provisional,0,1,0,0,0,0,0,1,30,31
Precinct,Raintree,127,56,73,28,43,9,22,358,62,420
Precinct,Reedy Fork,100,65,30,27,19,9,21,271,218,489
Precinct,Sycamore,157,73,76,58,29,20,29,442,117,559
Precinct,Verdmont,73,47,44,36,89,12,19,320,58,378
Precinct,Walnut Springs,220,129,158,96,33,23,37,696,100,796
Precinct,Ware Place,148,80,81,24,20,8,7,368,52,420
Precinct,Woodmont,91,67,37,26,12,0,9,242,248,490
County,Greenwood,1598,1790,1072,612,408,59,83,5622,1683,7305
Precinct,Airport,39,46,43,13,41,5,6,193,50,243
Precinct,Allies Crossing,46,45,24,13,4,0,1,133,27,160
Precinct,Angel Oak's Crossing,65,63,38,27,40,0,5,238,49,287
Precinct,Ashley River Run,5,6,2,1,1,0,1,16,34,50
Precinct,Bee's Ferry,0,1,0,1,0,0,0,2,96,98
Precinct,Biltmore Pines,40,49,23,23,11,2,3,151,40,191
Precinct,Bradley,14,9,3,2,5,0,2,35,15,50
Precinct,Callison,67,41,23,7,2,2,1,143,29,172
Precinct,Civic Center,28,24,14,15,3,1,2,87,49,136
Precinct,Cokesbury,27,19,8,5,3,1,1,64,63,127
Precinct,Coronaca,63,146,52,20,23,2,5,311,35,346
Precinct,Emerald,11,9,5,4,2,0,0,31,53,84
Precinct,Emerald High,23,32,19,15,11,0,1,101,17,118
Precinct,Epworth,34,31,19,9,8,0,0,101,9,110
Precinct,Failsafe,0,0,0,0,0,0,0,0,1,1
Precinct,Failsafe Provisional,2,1,4,0,0,0,0,7,5,12
Precinct,Fairhope Ferry,14,32,9,3,6,0,2,66,57,123
Precinct,Georgetown,34,40,37,33,9,4,2,159,36,195
Precinct,Gideons Way,18,16,5,3,1,0,0,43,50,93
Precinct,Glendale,45,29,29,10,11,0,2,126,20,146
Precinct,Graham's Glen,21,49,35,10,9,2,1,127,26,153
Precinct,Grandiflora Glen,24,32,15,13,0,0,2,86,69,155
Precinct,Greenwood High,35,46,40,18,7,5,4,155,37,192
Precinct,Greenwood Mill,28,33,22,19,18,4,0,124,14,138
Precinct,Harris,31,43,14,14,12,1,1,116,36,152
Precinct,Hodges,62,83,52,17,7,0,1,222,31,253
Precinct,Hope's Ferry,17,9,2,3,1,1,0,33,13,46
Precinct,Laco,51,37,25,15,5,3,3,139,56,195
Precinct,Levi's Knoll,21,26,24,29,11,1,4,116,46,162
Precinct,Liberty,21,8,15,14,3,0,0,61,33,94
Precinct,Loblolly Pines,3,6,5,2,0,0,0,16,26,42
Precinct,Lower Lake,70,119,54,43,16,2,3,307,28,335
Precinct,Marshall Oaks,8,4,4,3,0,0,0,19,13,32
Precinct,Maxwellton Pike,36,37,38,16,12,0,2,141,15,156
Precinct,Mimosa Crest,30,31,30,6,4,1,0,102,55,157
Precinct,Mountain Laurel,26,12,6,4,2,2,1,53,32,85
Precinct,New Market,34,27,19,7,5,1,3,96,33,129
Precinct,Newcastle,47,53,26,21,22,0,1,170,36,206
Precinct,Ninety Six,30,23,15,9,2,3,0,82,48,130
Precinct,Ninety Six Mill,50,34,10,18,3,2,1,118,8,126
Precinct,Parsons Mill,24,27,15,15,6,1,0,88,17,105
