,,William Timmons,Adam Morgan,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Republican,,,
Congressional District,4,36533,34269,70802,7530,78332
County,Greenville,22411,24699,47110,5042,52152
Precinct,Aiken,20,27,47,42,89
Precinct,Altamont Forest,149,207,356,8,364
Precinct,Asheton Lakes,262,249,511,18,529
Precinct,Avon,122,260,382,12,394
Precinct,Belle Meade,10,6,16,246,262
Precinct,Bells Crossing,205,217,422,10,432
Precinct,Belmont,29,21,50,105,155
Precinct,Berea,75,78,153,0,153
Precinct,Boiling Springs,189,269,458,15,473
Precinct,Botany Woods,140,218,358,11,369
Precinct,Bridge Fork,182,130,312,2,314
Precinct,Brookglenn,72,137,209,4,213
Precinct,Canebrake,273,368,641,16,657
Precinct,Carolina,27,3,30,151,181
Precinct,Castle Rock,287,302,589,14,603
Precinct,Chestnut Hills,84,56,140,53,193
Precinct,Circle Creek,232,241,473,13,486
Precinct,Clear Creek,199,255,454,3,457
Precinct,Conestee,106,106,212,88,300
Precinct,Darby Ridge,258,399,657,6,663
Precinct,Del Norte,157,220,377,6,383
Precinct,Devenger,212,257,469,19,488
Precinct,Donaldson,50,26,76,123,199
Precinct,Dove Tree,153,208,361,21,382
Precinct,Eastside,164,316,480,13,493
Precinct,Ebenezer,254,244,498,7,505
Precinct,Edwards Forest,159,324,483,10,493
Precinct,Enoree,291,238,529,7,536
Precinct,Failsafe,3,5,8,4,12
Precinct,Failsafe Provisional,4,15,19,2,21
Precinct,Feaster,83,88,171,4,175
Precinct,Fox Chase,306,300,606,18,624
Precinct,Frohawk,175,262,437,13,450
Precinct,Furman,276,312,588,5,593
Precinct,Gowensville,262,174,436,8,444
Precinct,Granite Creek,225,236,461,9,470
Precinct,Graze Branch,166,153,319,3,322
Precinct,Greenbriar,136,81,217,74,291
Precinct,Greenville 01,176,272,448,26,474
Precinct,Greenville 03,282,224,506,46,552
Precinct,Greenville 04,97,97,194,91,285
Precinct,Greenville 05,178,132,310,124,434
Precinct,Greenville 06,7,7,14,23,37
Precinct,Greenville 07,27,33,60,96,156
Precinct,Greenville 08,115,70,185,187,372
Precinct,Greenville 10,136,111,247,135,382
Precinct,Greenville 14,13,14,27,182,209
Precinct,Greenville 16,161,174,335,12,347
Precinct,Greenville 17,206,162,368,12,380
Precinct,Greenville 18,131,149,280,4,284
Precinct,Greenville 19,34,37,71,229,300
Precinct,Greenville 20,103,102,205,17,222
Precinct,Greenville 21,112,67,179,9,188
Precinct,Greenville 22,188,219,407,10,417
Precinct,Greenville 23,242,243,485,12,497
Precinct,Greenville 24,243,234,477,11,488
Precinct,Greenville 25,87,75,162,4,166
Precinct,Greenville 26,51,71,122,92,214
Precinct,Greenville 27,64,251,315,3,318
Precinct,Greenville 28,33,93,126,27,153
Precinct,Greenville 29,31,21,52,135,187
Precinct,Grove,85,68,153,97,250
Precinct,Hillcrest,177,149,326,15,341
Precinct,Holly Tree,135,120,255,7,262
Precinct,Jennings Mill,252,153,405,11,416
Precinct,Kilgore Farms,208,148,356,8,364
Precinct,Lakeview,116,120,236,50,286
Precinct,Laurel Ridge,228,345,573,7,580
Precinct,Leawood,166,217,383,14,397
Precinct,Locust Hill,206,217,423,9,432
Precinct,Maple Creek,174,166,340,5,345
Precinct,Maridell,185,174,359,5,364
Precinct,Mauldin 01,109,104,213,81,294
Precinct,Mauldin 02,256,213,469,7,476
Precinct,Mauldin 03,104,68,172,149,321
Precinct,Mauldin 04,208,176,384,5,389
Precinct,Mauldin 05,121,117,238,4,242
Precinct,Mauldin 06,148,124,272,2,274
Precinct,Mauldin 07,86,99,185,4,189
Precinct,Mission,304,252,556,22,578
Precinct,Monaview,70,56,126,9,135
Precinct,Moore Creek,274,244,518,10,528
Precinct,Mountain Creek,263,407,670,12,682
Precinct,Mountain View,212,241,453,9,462
Precinct,Mt. Pleasant,29,25,54,176,230
Precinct,Northwood,179,261,440,18,458
Precinct,Oakview,252,310,562,12,574
Precinct,Oneal,385,420,805,8,813
Precinct,Palmetto,129,167,296,9,305
Precinct,Paris Mountain,156,208,364,6,370
Precinct,Pebble Creek,203,347,550,22,572
Precinct,Pelham Falls,84,141,225,6,231
Precinct,Poinsett,242,271,513,8,521
Precinct,Provisional,16,10,26,5,31
Precinct,Ranch Creek,125,137,262,144,406
Precinct,Riverside,144,180,324,5,329
Precinct,Riverwalk,269,296,565,23,588
Precinct,Rock Hill,155,218,373,12,385
Precinct,Rocky Creek,126,128,254,4,258
Precinct,Rolling Green,251,237,488,12,500
Precinct,Royal Oaks,19,10,29,178,207
Precinct,Saluda,118,106,224,2,226
Precinct,Sandy Flat,360,489,849,21,870
Precinct,Sevier,202,380,582,21,603
Precinct,Silverleaf,178,318,496,17,513
Precinct,Simpsonville 01,161,184,345,10,355
Precinct,Simpsonville 02,138,82,220,4,224
Precinct,Simpsonville 03,210,231,441,13,454
Precinct,Simpsonville 04,83,90,173,2,175
Precinct,Simpsonville 05,85,89,174,3,177
Precinct,Simpsonville 06,185,139,324,2,326
Precinct,Skyland,297,267,564,8,572
Precinct,Slater Marietta,331,215,546,7,553
Precinct,Southside,126,146,272,187,459
Precinct,Sparrows Point,169,129,298,7,305
Precinct,Spring Forest,142,174,316,13,329
Precinct,Standing Springs,113,139,252,4,256
Precinct,Stone Valley,126,255,381,4,385
Precinct,Stonehaven,138,162,300,4,304
Precinct,Suber Mill,286,297,583,11,594
Precinct,Sugar Creek,271,328,599,20,619
Precinct,Sulphur Springs,226,177,403,4,407
Precinct,Sycamore,34,19,53,506,559
Precinct,Tanglewood,104,86,190,108,298
Precinct,Taylors,130,178,308,11,319
Precinct,Thornblade,273,277,550,18,568
Precinct,Tigerville,338,338,676,15,691
Precinct,Timberlake,239,366,605,15,620
Precinct,Trade,158,144,302,15,317
Precinct,Travelers Rest 01,267,233,500,15,515
Precinct,Travelers Rest 02,195,134,329,6,335
Precinct,Tubbs Mountain,294,254,548,5,553
Precinct,Tyger River,89,88,177,4,181
Precinct,Wade Hampton,123,296,419,10,429
Precinct,Welcome,75,41,116,62,178
Precinct,Wellington,147,214,361,8,369
Precinct,Westcliffe,131,89,220,20,240
Precinct,Westside,127,94,221,8,229
Precinct,Woodruff Lakes,177,241,418,12,430
County,Spartanburg,14122,9570,23692,2488,26180
Precinct,2 Mile Creek,183,135,318,10,328
Precinct,Abner Creek Baptist,244,216,460,13,473
Precinct,Airport,46,31,77,1,78
Precinct,Anderson Mill Baptist,275,189,464,19,483
Precinct,Anderson Mill Elementary,162,119,281,18,299
Precinct,Apalache Baptist,318,232,550,6,556
Precinct,Arcadia Elementary,31,20,51,18,69
Precinct,Beacon,15,14,29,93,122
Precinct,Beech Springs Intermediate,180,112,292,7,299
Precinct,Ben Avon Methodist,206,150,356,12,368
Precinct,Bethany Wesleyan,193,113,306,8,314
Precinct,Blackstock,198,132,330,22,352
Precinct,Boiling Springs Elementary,173,75,248,29,277
Precinct,Broome High School,91,67,158,7,165
Precinct,C.C. Woodson Recreation,6,8,14,169,183
Precinct,Canaan,124,56,180,5,185
Precinct,Cavins-Hobbysville,116,52,168,5,173
Precinct,Chapman High School,147,78,225,34,259
Precinct,Chestnut Lake,123,71,194,25,219
Precinct,Clifton Glendale,125,83,208,9,217
Precinct,Converse,28,13,41,3,44
Precinct,Converse Fire Station,78,37,115,49,164
Precinct,Cornerstone Baptist,73,48,121,115,236
Precinct,Croft Baptist,65,34,99,30,129
Precinct,Cross Anchor Fire Station,78,40,118,3,121
Precinct,Cudd Memorial,75,47,122,14,136
Precinct,D. R. Hill Middle School,216,227,443,16,459
Precinct,Daniel Morgan Technology Center,126,93,219,11,230
Precinct,Drayton,65,34,99,12,111
Precinct,Duncan United Methodist,115,86,201,9,210
Precinct,E.P. Todd Elementary,138,103,241,60,301
Precinct,Eastside Baptist,171,125,296,17,313
Precinct,Enoree 1st Baptist,150,63,213,4,217
Precinct,Enoree River,181,89,270,4,274
Precinct,Failsafe,8,4,12,5,17
Precinct,Failsafe Provisional,2,2,4,1,5
Precinct,Fairforest Elementary,151,112,263,18,281
Precinct,Fairgrounds,13,3,16,76,92
Precinct,Gable Middle School,363,230,593,17,610
Precinct,Gramling Methodist,318,157,475,15,490
Precinct,Greater St. James,211,96,307,33,340
Precinct,Hanging Rock,176,88,264,28,292
Precinct,Hayne,54,14,68,15,83
Precinct,Hearon Circle,47,19,66,40,106
Precinct,Hendrix Elementary,167,118,285,34,319
Precinct,Holly Springs Baptist,190,139,329,6,335
Precinct,Holly Springs Motlow,283,212,495,16,511
Precinct,Holy Communion,75,61,136,36,172
Precinct,Hope,61,25,86,31,117
Precinct,Inman,146,73,219,24,243
Precinct,Jesse Bobo Elementary,34,18,52,121,173
