,,Mal Hyman,Daryl W Scott,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Democratic,Democratic,,,
Congressional District,7,12617,12218,24835,32457,57292
County,Chesterfield,378,295,673,3066,3739
Precinct,Angelus-Catarrh,3,1,4,84,88
Precinct,Bay Springs,0,2,2,88,90
Precinct,Black Creek,6,1,7,37,44
Precinct,Brocks Mill,39,42,81,102,183
Precinct,Cash,24,39,63,89,152
Precinct,Center Grove-Winzo,25,6,31,61,92
Precinct,Cheraw No. 01,23,15,38,157,195
Precinct,Cheraw No. 02,19,20,39,88,127
Precinct,Cheraw No. 03,37,44,81,94,175
Precinct,Cheraw No. 04,36,28,64,80,144
Precinct,Courthouse,18,10,28,419,447
Precinct,Dudley-mangum,0,0,0,104,104
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Grants Mill,25,7,32,143,175
Precinct,Jefferson,13,16,29,182,211
Precinct,Mcbee,17,17,34,245,279
Precinct,Middendorf,5,3,8,107,115
Precinct,Mt. Groghan,5,0,5,65,70
Precinct,Ousleydale,13,3,16,106,122
Precinct,Pageland No. 01,20,10,30,213,243
Precinct,Pageland No. 02,12,7,19,151,170
Precinct,Patrick,8,1,9,78,87
Precinct,Pee Dee,3,4,7,44,51
Precinct,Provisional,1,0,1,1,2
Precinct,Ruby,12,9,21,136,157
Precinct,Shiloh,12,8,20,115,135
Precinct,Snow Hill-Vaughn,2,2,4,77,81
County,Darlington,1389,640,2029,5238,7267
Precinct,Antioch,38,12,50,216,266
Precinct,Auburn,43,20,63,33,96
Precinct,Bethel,22,7,29,44,73
Precinct,Black Creek-Clyde,13,11,24,190,214
Precinct,Burnt Branch,14,5,19,100,119
Precinct,Darlington No. 01,12,7,19,47,66
Precinct,Darlington No. 02,51,30,81,103,184
Precinct,Darlington No. 03,70,44,114,594,708
Precinct,Darlington No. 04,88,31,119,197,316
Precinct,Darlington No. 05,123,54,177,36,213
Precinct,Darlington No. 06,24,28,52,199,251
Precinct,Dovesville,53,26,79,131,210
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,1,1
Precinct,Hartsville No. 01,30,5,35,266,301
Precinct,Hartsville No. 04,26,3,29,25,54
Precinct,Hartsville No. 05,110,10,120,343,463
Precinct,Hartsville No. 06,148,39,187,8,195
Precinct,Hartsville No. 07,25,2,27,79,106
Precinct,Hartsville No. 08,47,7,54,477,531
Precinct,Hartsville No. 09,42,16,58,181,239
Precinct,High Hill,33,52,85,204,289
Precinct,Indian Branch,5,8,13,130,143
Precinct,Kelleytown,31,7,38,384,422
Precinct,Lake Swamp,14,17,31,111,142
Precinct,Lamar No. 01,62,35,97,51,148
Precinct,Lamar No. 02,55,18,73,178,251
Precinct,Lydia,28,11,39,40,79
Precinct,Mechanicsville,47,45,92,236,328
Precinct,New Market,10,3,13,176,189
Precinct,Oates,14,15,29,107,136
Precinct,Palmetto,62,46,108,133,241
Precinct,Provisional,0,0,0,3,3
Precinct,Society Hill,40,19,59,77,136
Precinct,Swift Creek,9,7,16,138,154
County,Dillon,1748,2176,3924,1723,5647
Precinct,Bermuda,33,28,61,21,82
Precinct,Carolina,14,26,40,20,60
Precinct,East Dillon,202,195,397,372,769
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Floydale,33,56,89,63,152
Precinct,Fork,17,29,46,40,86
Precinct,Hamer,74,94,168,69,237
