,,Sheri Biggs,Mark Burns,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Republican,,,
Congressional District,3,28156,27064,55220,1033,56253
County,Abbeville,648,620,1268,2,1270
Precinct,Abbeville No. 01,96,70,166,0,166
Precinct,Abbeville No. 02,26,25,51,1,52
Precinct,Abbeville No. 03,47,35,82,0,82
Precinct,Abbeville No. 04,23,37,60,0,60
Precinct,Antreville,74,58,132,1,133
Precinct,Broadmouth,12,36,48,0,48
Precinct,Calhoun Falls,37,34,71,0,71
Precinct,Cold Springs,50,43,93,0,93
Precinct,Donald's,22,38,60,0,60
Precinct,Due West,60,48,108,0,108
Precinct,Failsafe,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0
Precinct,Hall's Store,31,22,53,0,53
Precinct,Keowee,56,44,100,0,100
Precinct,Lebanon,33,40,73,0,73
Precinct,Lowndesville,39,55,94,0,94
Precinct,Provisional,0,0,0,0,0
Precinct,Smithville,42,35,77,0,77
County,Anderson,7930,6970,14900,78,14978
Precinct,3 And 20,127,152,279,0,279
Precinct,5 Forks,137,119,256,0,256
Precinct,Anderson 01/1,85,40,125,1,126
Precinct,Anderson 01/2,187,81,268,9,277
Precinct,Anderson 02/1,139,94,233,9,242
Precinct,Anderson 02/2,252,133,385,6,391
Precinct,Anderson 03/1,27,17,44,3,47
Precinct,Anderson 03/2,17,22,39,0,39
Precinct,Anderson 04/1,7,5,12,2,14
Precinct,Anderson 04/2,36,40,76,0,76
Precinct,Anderson 05/b,11,9,20,0,20
Precinct,Anderson 06/1,138,92,230,3,233
Precinct,Anderson 06/2,14,15,29,0,29
Precinct,Appleton-Equinox,15,15,30,0,30
Precinct,Barkers Creek-Mcadams,38,33,71,0,71
Precinct,Belton,86,87,173,1,174
Precinct,Belton Annex,122,101,223,1,224
Precinct,Bishops Branch,153,126,279,0,279
Precinct,Bowling Green,54,57,111,1,112
Precinct,Broadview,26,32,58,1,59
Precinct,Broadway,48,37,85,0,85
Precinct,Brushy Creek,124,145,269,0,269
Precinct,Cedar Grove,60,85,145,0,145
Precinct,Center Rock,182,141,323,0,323
Precinct,Centerville Station A,207,117,324,1,325
Precinct,Centerville Station B,205,107,312,1,313
Precinct,Chiquola Mill,10,6,16,0,16
Precinct,Concrete,130,187,317,0,317
Precinct,Coxs Creek,99,72,171,2,173
Precinct,Craytonville,76,57,133,0,133
Precinct,Denver-sandy Springs,107,78,185,0,185
Precinct,Edgewood Station A,88,53,141,0,141
Precinct,Edgewood Station B,167,93,260,0,260
Precinct,Failsafe,2,1,3,0,3
Precinct,Failsafe Provisional,1,0,1,0,1
Precinct,Flat Rock,65,69,134,0,134
Precinct,Fork No. 01,115,102,217,0,217
Precinct,Fork No. 02,141,111,252,0,252
Precinct,Friendship,71,43,114,0,114
Precinct,Glenview,198,133,331,9,340
Precinct,Gluck Mill,37,34,71,0,71
Precinct,Green Pond Station A,151,140,291,0,291
Precinct,Hall,79,66,145,0,145
Precinct,Hammond Annex,237,126,363,1,364
Precinct,Hammond School,179,164,343,5,348
Precinct,High Point,54,46,100,0,100
Precinct,Homeland Park,23,21,44,0,44
Precinct,Honea Path,94,71,165,0,165
Precinct,Hopewell,110,113,223,0,223
Precinct,Hunt Meadows,184,269,453,0,453
Precinct,Iva,114,94,208,0,208
Precinct,Jackson Mill,101,78,179,1,180
Precinct,La France,62,52,114,0,114
Precinct,Lakeside,133,80,213,0,213
Precinct,Melton,48,56,104,0,104
Precinct,Mount Tabor,208,174,382,0,382
Precinct,Mountain Creek,34,32,66,0,66
Precinct,Mt Airy,97,167,264,0,264
Precinct,Neals Creek,97,108,205,0,205
Precinct,North Pointe,161,101,262,0,262
