"office","candidatename","partyname","electiondate","machinevotessum","absenteevotessum","earlyvotessum","totalvotessum","totalvotespercentage","xmlreporttime","electionname"
"U.S. Representative in Congress","EARL COOPER","Democratic Party","2024-09-10T00:00:00.000","10451","1413","1693","13557","16.2152","2024-09-13T12:42:52.000","2024 Primary Election"
"U.S. Representative in Congress","SARAH MCBRIDE","Democratic Party","2024-09-10T00:00:00.000","48390","8357","10017","66764","79.8546","2024-09-13T12:42:52.000","2024 Primary Election"
"U.S. Representative in Congress","ELIAS WEIR","Democratic Party","2024-09-10T00:00:00.000","2567","390","329","3286","3.93029","2024-09-13T12:42:52.000","2024 Primary Election"
"U.S. Representative in Congress","DONYALE HALL","Republican Party","2024-09-10T00:00:00.000","11892","1205","2655","15752","44.2075","2024-09-13T12:42:52.000","2024 Primary Election"
"U.S. Representative in Congress","JOHN J. WHALEN III","Republican Party","2024-09-10T00:00:00.000","15459","1364","3057","19880","55.7925","2024-09-13T12:42:52.000","2024 Primary Election"
"Governor","BETHANY HALL-LONG","Democratic Party","2024-09-10T00:00:00.000","23178","3932","4478","31588","36.6246","2024-09-13T12:42:52.000","2024 Primary Election"
"Governor","MATT MEYER","Democratic Party","2024-09-10T00:00:00.000","29459","4899","6160","40518","46.9785","2024-09-13T12:42:52.000","2024 Primary Election"
"Governor","COLLIN O'MARA","Democratic Party","2024-09-10T00:00:00.000","10962","1412","1768","14142","16.3969","2024-09-13T12:42:52.000","2024 Primary Election"
"Governor","JERROLD A. PRICE","Republican Party","2024-09-10T00:00:00.000","4454","670","847","5971","16.3419","2024-09-13T12:42:52.000","2024 Primary Election"
"Governor","MIKE RAMONE","Republican Party","2024-09-10T00:00:00.000","20412","1456","4546","26414","72.2919","2024-09-13T12:42:52.000","2024 Primary Election"
"Governor","BOBBY WILLIAMSON","Republican Party","2024-09-10T00:00:00.000","3194","464","495","4153","11.3662","2024-09-13T12:42:52.000","2024 Primary Election"
"Lieutenant Governor","SHERRY DORSEY WALKER","Democratic Party","2024-09-10T00:00:00.000","23253","3591","4191","31035","36.8093","2024-09-13T12:42:52.000","2024 Primary Election"
"Lieutenant Governor","KYLE EVANS GAY","Democratic Party","2024-09-10T00:00:00.000","29828","4402","6408","40638","48.199","2024-09-13T12:42:52.000","2024 Primary Election"
"Lieutenant Governor","DEBBIE HARRINGTON","Democratic Party","2024-09-10T00:00:00.000","9063","1977","1600","12640","14.9918","2024-09-13T12:42:52.000","2024 Primary Election"
"Insurance Commissioner","KAYODE ABEGUNDE","Democratic Party","2024-09-10T00:00:00.000","16561","2231","2777","21569","26.0413","2024-09-13T12:42:52.000","2024 Primary Election"
"Insurance Commissioner","TRINIDAD NAVARRO","Democratic Party","2024-09-10T00:00:00.000","44331","7757","9169","61257","73.9587","2024-09-13T12:42:52.000","2024 Primary Election"
"State Senator District 18","ROBERT ""BOB"" REED","Republican Party","2024-09-10T00:00:00.000","836","60","188","1084","24.2668","2024-09-13T12:42:52.000","2024 Primary Election"
"State Senator District 18","DAVE WILSON","Republican Party","2024-09-10T00:00:00.000","2722","141","520","3383","75.7332","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 2","STEPHANIE T. BOLDEN","Democratic Party","2024-09-10T00:00:00.000","1043","120","213","1376","64.6009","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 2","JAMES TAYLOR","Democratic Party","2024-09-10T00:00:00.000","587","53","114","754","35.3991","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 10","STEPHEN JANKOVIC","Democratic Party","2024-09-10T00:00:00.000","156","26","15","197","7.33433","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 10","MELANIE ROSS LEVIN","Democratic Party","2024-09-10T00:00:00.000","1462","180","197","1839","68.4661","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 10","DENNIS E. WILLIAMS","Democratic Party","2024-09-10T00:00:00.000","481","88","81","650","24.1996","2024-09-13T12:42:52.000","2024 Primary Election"
"State Representative District 14","KATHLEEN K. MCGUINESS","Democratic Party","2024-09-10T00:00:00.000","811","202","225","1238","26.913","2024-09-13T12:42:52.000","2024 Primary Election"
