#FormatVersion 1																				
#Contest ID	Contest Title	Contest Seq Nbr	Contest Type	Contest Party	Mail Blank Votes	In-Person Blank Votes	Mail Over Votes	In-Person Over Votes	Mail Invalid Votes	In-Person Invalid Votes	Registered Voters	Total Precincts	Counted Precincts	Candidate ID	Candidate Name	Candidate Seq Nbr	Candidate Party	Mail Votes	In-Person Votes	Total Votes
338	"U.S. Representative, Dist I"	1	OF	N	811	17	0	0	2113	38	846543	223	223	1	"BERNING, Nathan M."	1		956	21	977
364	"U.S. Representative, Dist I"	2	OF	G	104	2	0	0	1360	23	846543	223	223	1	"CONLEY, Jordan S."	1		392	10	402
104	"U.S. Representative, Dist I"	3	OF	R	3664	199	0	0	843	15	846543	223	223	2	"LAM, Adriel C."	1		17596	934	18530
266	"U.S. Representative, Dist I"	4	OF	D	3619	37	83	0	1756	32	846543	223	223	2	"CASE, Ed"	2		63301	483	63784
266	"U.S. Representative, Dist I"	4	OF	D	3619	37	83	0	1756	32	846543	223	223	3	"KEOHOKALOLE, Jarrett K."	4		40326	522	40848
266	"U.S. Representative, Dist I"	4	OF	D	3619	37	83	0	1756	32	846543	223	223	1	"BOOKER, Jennifer"	1		2395	38	2433
266	"U.S. Representative, Dist I"	4	OF	D	3619	37	83	0	1756	32	846543	223	223	4	"FATULA, Ben"	3		1007	18	1025
266	"U.S. Representative, Dist I"	4	OF	D	3619	37	83	0	1756	32	846543	223	223	5	"KISWANTO, Nicholas (Nick)"	5		1011	14	1025
336	"U.S. Representative, Dist II"	5	OF	N	1416	50	2	0	3754	106	846543	273	273	2	"CODELIA, Edward A."	1		1194	36	1230
336	"U.S. Representative, Dist II"	5	OF	N	1416	50	2	0	3754	106	846543	273	273	1	"TERRY, Randall"	2		705	33	738
269	"U.S. Representative, Dist II"	6	OF	R	3081	183	0	0	1721	42	846543	273	273	1	"AWA, Brenton"	1		24415	1875	26290
70	"U.S. Representative, Dist II"	7	OF	D	7798	166	55	1	1694	47	846543	273	273	4	"TOKUDA, Jill N."	4		90758	1317	92075
70	"U.S. Representative, Dist II"	7	OF	D	7798	166	55	1	1694	47	846543	273	273	2	"KING, Steven"	3		3775	142	3917
70	"U.S. Representative, Dist II"	7	OF	D	7798	166	55	1	1694	47	846543	273	273	5	"GUITHUES, Greg"	2		3039	121	3160
70	"U.S. Representative, Dist II"	7	OF	D	7798	166	55	1	1694	47	846543	273	273	3	"BASIN, Kirill"	1		1467	63	1530
543	Governor	8	OF	N	2074	68	3	0	5017	137	846543	494	494	4	"HILL, Bu Laia"	2		1291	35	1326
543	Governor	8	OF	N	2074	68	3	0	5017	137	846543	494	494	1	"WILLIAMSON, Calvert A."	4		854	17	871
543	Governor	8	OF	N	2074	68	3	0	5017	137	846543	494	494	3	"LEWMAN, Clyde McClain (Mac)"	3		483	24	507
543	Governor	8	OF	N	2074	68	3	0	5017	137	846543	494	494	2	"GIUFFRE, John M. (Raghu)"	1		379	13	392
490	Governor	9	OF	R	3785	91	43	1	2669	59	846543	494	494	2	"CORDERY, Gary"	1		33755	2673	36428
490	Governor	9	OF	R	3785	91	43	1	2669	59	846543	494	494	3	"FUJIYAMA, Ken"	2		11173	426	11599
377	Governor	10	OF	D	12953	248	138	0	3825	75	846543	494	494	1	"GREEN, Josh"	2		182453	1836	184289
377	Governor	10	OF	D	12953	248	138	0	3825	75	846543	494	494	2	"SHIM, Lauren Kapoliahi'iaka"	4		10851	348	11199
377	Governor	10	OF	D	12953	248	138	0	3825	75	846543	494	494	4	"LUCAS-TADEO, George (Teva)"	3		7857	277	8134
377	Governor	10	OF	D	12953	248	138	0	3825	75	846543	494	494	3	"BOURGOIN, Duke"	1		4382	213	4595
591	Lieutenant Governor	11	OF	N	2639	77	0	0	4871	119	846543	494	494	1	"KAMAU, Kilakila"	1		2445	80	2525
581	Lieutenant Governor	12	OF	R	6847	257	58	1	2608	64	846543	494	494	4	"ANTHONY, Daniel"	1		15756	1226	16982
581	Lieutenant Governor	12	OF	R	6847	257	58	1	2608	64	846543	494	494	3	"MEJIA, Margaret Rose"	3		9992	841	10833
581	Lieutenant Governor	12	OF	R	6847	257	58	1	2608	64	846543	494	494	2	"PETERS, Robert E."	4		8485	414	8899
581	Lieutenant Governor	12	OF	R	6847	257	58	1	2608	64	846543	494	494	1	"CRESENCIA, Hopelin (Hope)"	2		7618	452	8070
415	Lieutenant Governor	13	OF	D	9179	162	145	0	4010	91	846543	494	494	2	"KAWAKAMI, Derek S.K."	4		138840	1407	140247
415	Lieutenant Governor	13	OF	D	9179	162	145	0	4010	91	846543	494	494	6	"BELATTI, Della Au"	1		54235	1010	55245
415	Lieutenant Governor	13	OF	D	9179	162	145	0	4010	91	846543	494	494	4	"CHOI, John"	2		12783	226	13009
415	Lieutenant Governor	13	OF	D	9179	162	145	0	4010	91	846543	494	494	5	"PULETASI, Sam"	5		2084	68	2152
415	Lieutenant Governor	13	OF	D	9179	162	145	0	4010	91	846543	494	494	3	"CUADRA, Ku L. (Bobby)"	3		1368	49	1417
454	"State Senator, Dist 2"	14	OF	L	6	0	0	0	142	4	846543	18	18	1	"FOGEL, Frederick F."	1		39	2	41
567	"State Senator, Dist 2"	15	OF	D	500	14	3	0	118	1	846543	18	18	1	"SAN BUENAVENTURA, Joy"	2		5167	91	5258
567	"State Senator, Dist 2"	15	OF	D	500	14	3	0	118	1	846543	18	18	2	"AYNESSAZIAN, Tanya Yamanaka"	1		1843	72	1915
175	"State Senator, Dist 5"	16	OF	D	1311	33	0	0	281	8	846543	22	22	1	"HASHIMOTO, Troy N."	1		7685	137	7822
447	"State Senator, Dist 8"	17	OF	D	3524	105	0	0	311	5	846543	32	32	1	"KOUCHI, Ronald D."	1		10532	279	10811
505	"State Senator, Dist 9"	18	OF	R	380	11	0	0	51	1	846543	16	16	1	"CROSWELL, David A."	1		1652	61	1713
592	"State Senator, Dist 9"	19	OF	D	3738	42	0	0	96	2	846543	16	16	1	"CHANG, Stanley"	1		10056	73	10129
409	"State Senator, Dist 10"	20	OF	D	807	10	4	0	159	0	846543	22	22	2	"SAYAMA, Jackson D."	2		6429	76	6505
409	"State Senator, Dist 10"	20	OF	D	807	10	4	0	159	0	846543	22	22	1	"IHARA, Les, Jr."	1		3055	25	3080
547	"State Senator, Dist 11"	21	OF	D	2728	44	0	0	74	2	846543	18	18	1	"FUKUNAGA, Carol"	1		8619	109	8728
501	"State Senator, Dist 13"	22	OF	R	187	12	0	0	89	2	846543	12	12	1	"CHRISTIAN, Wallyn Kanoelani"	1		1027	63	1090
469	"State Senator, Dist 13"	23	OF	D	541	9	7	0	163	6	846543	12	12	2	"NAKAMATSU, Tricia Kwai Lin"	3		4409	51	4460
469	"State Senator, Dist 13"	23	OF	D	541	9	7	0	163	6	846543	12	12	1	"NAKAMURA, Jordan K."	4		1966	43	2009
469	"State Senator, Dist 13"	23	OF	D	541	9	7	0	163	6	846543	12	12	4	"AHU ISA, Lei"	1		1242	19	1261
469	"State Senator, Dist 13"	23	OF	D	541	9	7	0	163	6	846543	12	12	5	"LOGUE, James"	2		536	12	548
469	"State Senator, Dist 13"	23	OF	D	541	9	7	0	163	6	846543	12	12	3	"VASQUEZ, Lynn"	5		234	2	236
495	"State Senator, Dist 14"	24	OF	D	303	2	2	0	182	2	846543	20	20	2	"KIM, Donna Mercado"	1		3430	32	3462
495	"State Senator, Dist 14"	24	OF	D	303	2	2	0	182	2	846543	20	20	1	"MACPHERSON, Christy Kikue"	2		2834	31	2865
477	"State Senator, Dist 15"	25	OF	D	1170	17	0	0	125	2	846543	24	24	2	"WAKAI, Glenn"	1		4928	30	4958
498	"State Senator, Dist 17"	26	OF	D	692	2	3	0	156	4	846543	14	14	1	"DELA CRUZ, Donovan"	2		6412	49	6461
498	"State Senator, Dist 17"	26	OF	D	692	2	3	0	156	4	846543	14	14	2	"BROWN, Nani H."	1		2326	30	2356
436	"State Senator, Dist 19 Vacancy"	27	OF	R	175	18	0	0	120	1	846543	16	16	1	"PIERICK, Elijah"	1		1124	66	1190
202	"State Senator, Dist 19 Vacancy"	28	OF	D	573	5	4	0	149	6	846543	16	16	2	"LAMOSAO, Rachele F."	1		3864	24	3888
202	"State Senator, Dist 19 Vacancy"	28	OF	D	573	5	4	0	149	6	846543	16	16	1	"RAHMAN, Inam Ikeda Perreira"	2		1359	15	1374
442	"State Senator, Dist 20"	29	OF	R	37	0	4	0	226	5	846543	16	16	3	"FEVELLA, Kurt"	2		1140	72	1212
442	"State Senator, Dist 20"	29	OF	R	37	0	4	0	226	5	846543	16	16	2	"MCDERMOTT, Bob"	3		1121	91	1212
442	"State Senator, Dist 20"	29	OF	R	37	0	4	0	226	5	846543	16	16	1	"CABANILLA ARAKAWA, Rida"	1		323	10	333
402	"State Senator, Dist 20"	30	OF	D	1315	24	0	0	67	2	846543	16	16	1	"OWENS, Markus"	1		3668	48	3716
406	"State Senator, Dist 21"	31	OF	D	1811	31	0	0	104	4	846543	18	18	2	"GABBARD, Mike"	1		3588	63	3651
387	"State Senator, Dist 25"	32	OF	D	1425	10	7	0	150	4	846543	24	24	1	"LEE, Chris"	1		9246	39	9285
387	"State Senator, Dist 25"	32	OF	D	1425	10	7	0	150	4	846543	24	24	2	"SILVA, Bobby"	2		1628	18	1646
231	"State Representative, Dist 1"	33	OF	D	1421	27	0	0	43	1	846543	8	8	1	"KUSCH, Matthias"	1		3717	58	3775
484	"State Representative, Dist 2"	34	OF	R	159	8	0	0	43	0	846543	8	8	1	"KENNEALY, Jonathan"	1		714	45	759
153	"State Representative, Dist 2"	35	OF	D	688	5	2	0	45	1	846543	8	8	1	"KEOHOKAPU LEE LOY, Sue"	2		3989	66	4055
153	"State Representative, Dist 2"	35	OF	D	688	5	2	0	45	1	846543	8	8	2	"HOLT, Cristina (Tina)"	1		1404	39	1443
404	"State Representative, Dist 3"	36	OF	L	4	0	0	0	64	0	846543	10	10	1	"MARTIN, Austin"	1		16	0	16
201	"State Representative, Dist 3"	37	OF	D	220	5	2	0	72	0	846543	10	10	1	"TODD, Christopher L.T."	2		2419	27	2446
201	"State Representative, Dist 3"	37	OF	D	220	5	2	0	72	0	846543	10	10	2	"KEAWEKANE, Kuulei (Kiana)"	1		1233	51	1284
346	"State Representative, Dist 4"	38	OF	R	155	7	0	0	31	2	846543	8	8	1	"WITTENHAGEN, Zak"	1		741	48	789
183	"State Representative, Dist 4"	39	OF	D	126	2	3	0	75	2	846543	8	8	1	"ILAGAN, Greggor"	2		2423	45	2468
183	"State Representative, Dist 4"	39	OF	D	126	2	3	0	75	2	846543	8	8	2	"HUNT, Tamlyn (Tam)"	1		1222	50	1272
467	"State Representative, Dist 5"	40	OF	R	169	14	0	0	65	0	846543	20	20	1	"MCCORMICK, Dalene"	1		800	74	874
283	"State Representative, Dist 5"	41	OF	D	279	5	4	0	58	1	846543	20	20	2	"KAPELA, Jeanne"	2		2680	26	2706
283	"State Representative, Dist 5"	41	OF	D	279	5	4	0	58	1	846543	20	20	1	"KANEALI'I-KLEINFELDER, Matt"	1		1156	27	1183
331	"State Representative, Dist 6"	42	OF	D	813	12	0	0	40	0	846543	8	8	1	"KAHALOA, Kirstin"	1		3278	90	3368
297	"State Representative, Dist 7"	43	OF	D	457	9	0	0	55	2	846543	14	14	1	"LOWEN, Nicole"	1		2390	60	2450
566	"State Representative, Dist 8"	44	OF	R	109	2	2	0	46	0	846543	8	8	1	"PERREIRA, Monique"	2		740	43	783
566	"State Representative, Dist 8"	44	OF	R	109	2	2	0	46	0	846543	8	8	2	"CERMELJ, Hope Alohalani"	1		192	13	205
273	"State Representative, Dist 8"	45	OF	D	682	5	0	0	58	2	846543	8	8	1	"TARNAS, David A."	1		3399	27	3426
