ContestName,PartyCode,AreaNum,CandidateName,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
"United States Senator","REP","","Kevin  Cramer ",1,82692,97.74%,385/385,
"United States Senator","REP","","write-in ",1,1913,2.26%,385/385,
"United States Senator","DEM","","Katrina  Christiansen ",1,19690,99.76%,385/385,
"United States Senator","DEM","","write-in ",1,47,0.24%,385/385,
"Representative in Congress","REP","","Alexander C Balazs ",1,3788,4.01%,385/385,
"Representative in Congress","DEM","","Roland Clifford Riemers ",1,5042,26.25%,385/385,
"Representative in Congress","REP","","Rick Becker",1,27965,29.58%,385/385,
"Representative in Congress","REP","","Sharlet Mohr",1,800,0.85%,385/385,
"Representative in Congress","DEM","","Trygve  Hammer ",1,14088,73.36%,385/385,
"Representative in Congress","DEM","","write-in ",1,75,0.39%,385/385,
"Representative in Congress","REP","","write-in ",1,109,0.12%,385/385,
"Representative in Congress","REP","","Julie  Fedorchak ",1,43424,45.93%,385/385,
"Representative in Congress","REP","","Cara  Mund ",1,18460,19.52%,385/385,
"Governor and Lt. Governor","REP","","Kelly Armstrong and Michelle Strinden",1,68152,72.75%,385/385,
"Governor and Lt. Governor","DEM","","Merrill Piepkorn and  Patrick Hart ",1,19609,99.84%,385/385,
"Governor and Lt. Governor","DEM","","write-in ",1,31,0.16%,385/385,
"Governor and Lt. Governor","REP","","Tammy Miller and Josh Teigen",1,24967,26.65%,385/385,
"Governor and Lt. Governor","REP","","write-in ",1,561,0.60%,385/385,
"State Auditor","DEM","","write-in ",1,45,0.24%,385/385,
"State Auditor","REP","","Joshua C Gallion ",1,81069,99.24%,385/385,
"State Auditor","DEM","","Timothy C Lamb ",1,18987,99.76%,385/385,
"State Auditor","REP","","write-in ",1,617,0.76%,385/385,
"State Treasurer","DEM","","write-in ",1,1501,100.00%,385/385,
"State Treasurer","REP","","write-in ",1,403,0.49%,385/385,
"State Treasurer","REP","","Thomas  Beadle ",1,81014,99.51%,385/385,
"Insurance Commissioner","DEM","","write-in ",1,1152,100.00%,385/385,
"Insurance Commissioner","REP","","Jon  Godfread ",1,81445,99.58%,385/385,
"Insurance Commissioner","REP","","write-in ",1,345,0.42%,385/385,
"Public Service Commissioner","DEM","","write-in ",1,24,0.13%,385/385,
"Public Service Commissioner","REP","","Randy  Christmann ",1,81247,99.41%,385/385,
"Public Service Commissioner","DEM","","Tracey L Wilkie",1,18710,99.87%,385/385,
"Public Service Commissioner","REP","","write-in ",1,480,0.59%,385/385,
"Superintendent of Public Instruction","NON","","write-in ",1,280,0.26%,385/385,
"Superintendent of Public Instruction","NON","","Jason  Heitkamp ",1,23837,22.11%,385/385,
"Superintendent of Public Instruction","NON","","James Paul (Jim) Bartlett",1,21216,19.68%,385/385,
"Superintendent of Public Instruction","NON","","Kirsten  Baesler ",1,59170,54.88%,385/385,
"Superintendent of Public Instruction","NON","","Darko  Draganic ",1,3320,3.08%,385/385,
"Relating to Congressional Candidate Age Limits","","","Yes",1,68468,60.84%,385/385,
"Relating to Congressional Candidate Age Limits","","","No",1,44076,39.16%,385/385,
