Precinct_name,Reporting_flag,Pct_Id,Pct_seq_nbr,Reg_voters,Aggregation_ID,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,Candidate_State_ID,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,Election Day_ballots,Election Day_votes,Election Day_under_votes,Election Day_over_votes,Absentee_ballots,Absentee_votes,Absentee_under_votes,Absentee_over_votes,Early Voting_ballots,Early Voting_votes,Early Voting_under_votes,Early Voting_over_votes,Question_ballots,Question_votes,Question_under_votes,Question_over_votes,Remote_ballots,Remote_votes,Remote_under_votes,Remote_over_votes,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",47,"Darden, Dustin Thomas House",C,1,"REP",340,3,1,1,340,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",33,"Grauberger, Fred C.",C,2,"REP",340,1,1,1,340,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",34,"Grayson, Richard",C,3,"GRN",340,2,1,1,340,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",56,"Hafner, Carol ""Kitty""",C,4,"DEM",340,3,1,1,340,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",57,"Heikes, Gerald L.",C,5,"REP",340,6,1,1,340,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",6,"Hill, Sidney ""Sid""",C,6,"UND",340,1,1,1,340,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",92,"Kohlhaas, Scott A.",C,7,"LIB",340,1,1,1,340,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",93,"Leslie, David B.",C,8,"DEM",340,7,1,1,340,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",48,"Mayers, Richard B.",C,9,"REP",340,5,1,1,340,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",94,"McElwain, Heather",C,10,"REP",340,1,1,1,340,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",32,"Peltola, Mary",C,11,"DEM",340,188,1,1,340,188,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",95,"Roberts, Reece J.",C,12,"NON",340,0,1,1,340,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",96,"Saucerman, Shirley A.",C,13,"NON",340,0,1,1,340,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",97,"Southworth, Earl D. ""Skip""",C,14,"RAP",340,6,1,1,340,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",128,"Sullivan, Daniel J. Jr.",C,15,"",340,8,1,1,340,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",6,5,"U.S. Senator","",1,"",7,"Sullivan, Dan S.",C,16,"REP",340,106,1,1,340,106,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",58,"Ambrose, David R. II",C,17,"NON",340,0,16,0,340,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",52,"Begich, Nick",C,18,"REP",340,119,16,0,340,119,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",59,"Dutchess, Lady Donna",C,19,"NON",340,4,16,0,340,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",98,"Foddrill, John E. Sr.",C,20,"LIB",340,1,16,0,340,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",99,"Goldfarb, Eddie",C,21,"REP",340,3,16,0,340,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",100,"Hafner, Eric",C,22,"DEM",340,35,16,0,340,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",101,"Hill, Bill",C,23,"NON",340,95,16,0,340,95,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",102,"McDermott, James C. ""Jim""",C,24,"LIB",340,5,16,0,340,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",103,"Reynoso, Yaquelin",C,25,"DEM",340,8,16,0,340,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",104,"Richey, David",C,26,"NON",340,2,16,0,340,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",105,"Salazar, Melanie A.",C,27,"NON",340,1,16,0,340,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",106,"Schultz, Matt",C,28,"DEM",340,26,16,0,340,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",107,"Strickland, Clay",C,29,"REP",340,9,16,0,340,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",8,"Williams, John B.",C,30,"DEM",340,15,16,0,340,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",7,6,"U.S. Representative","",1,"",51,"Williams, Matthew ""Bronco""",C,31,"UND",340,1,16,0,340,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"01-600 Ketchikan No. 1",0,"01-600",1,2233,"",5,7,"Governor / Lieutenant Governor","",1,"",17,"Begich/Hnilicka",C,32,"DEM",340,59,12,0,340,59,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
