section,metric,value
denominator_completeness,canonical_races,578
denominator_completeness,in_scope_races,421
denominator_completeness,in_scope_unresolved_races,72
denominator_completeness,in_scope_candidate_records,1912
denominator_completeness,valid_official_election_source_rows,404
denominator_completeness,national_endorsements_absent_from_registry,7
candidate_document_coverage,candidate_queue_records,1927
candidate_document_coverage,verified_candidate_records,1024
candidate_document_coverage,retryable_candidate_gaps,899
candidate_document_coverage,substantive_candidate_count,934
candidate_document_coverage,substantive_document_count,1575
candidate_document_coverage,paired_race_eligible,264
official_platform_coverage,organizational_state_cycles,180
official_platform_coverage,organizational_inventory_rows,730
official_platform_coverage,organizational_platform_gap_rows,152
official_platform_coverage,organizational_successful_documents,93
official_platform_coverage,official_analysis_documents,47
official_platform_coverage,official_source_segments,5747
full_corpus_analysis,candidate_source_documents,1582
full_corpus_analysis,candidate_source_segments,39080
full_corpus_analysis,candidate_analysis_segments,37977
full_corpus_analysis,model_classified_rows,25437
full_corpus_analysis,analysis_sticking_points,1251
provisional_kde,kde_status,provisional
provisional_kde,kde_retained_segments,38245
provisional_kde,kde_endorsed_candidates,247
provisional_kde,kde_opponent_candidates,465
provisional_kde,kde_selected_dimensions,10
