feature,endorsed_documents,opponent_documents,endorsed_share,opponent_share,difference
fight,232,235,0.474438,0.278766,0.195671
volunteer,171,150,0.349693,0.177936,0.171757
human_right,113,56,0.231084,0.066429,0.164654
justice,191,203,0.390593,0.240807,0.149786
corporate,119,87,0.243354,0.103203,0.140151
platform,139,122,0.284254,0.144721,0.139532
working_class,99,61,0.202454,0.072361,0.130093
worker,193,224,0.394683,0.265718,0.128965
business,130,331,0.265849,0.392645,-0.126797
endorsement,154,159,0.314928,0.188612,0.126316
profit,104,73,0.212679,0.086595,0.126083
organizing,90,50,0.184049,0.059312,0.124737
donate,189,224,0.386503,0.265718,0.120785
universal,107,88,0.218814,0.104389,0.114425
movement,104,83,0.212679,0.098458,0.114221
union,147,161,0.300613,0.190985,0.109629
socialist,70,29,0.143149,0.034401,0.108748
democratic socialist,65,21,0.132924,0.024911,0.108013
organizer,90,66,0.184049,0.078292,0.105757
labor,119,116,0.243354,0.137604,0.105750
power,168,201,0.343558,0.238434,0.105124
political,187,234,0.382413,0.277580,0.104833
challenge,84,233,0.171779,0.276394,-0.104615
pass,123,125,0.251534,0.148280,0.103254
fighting,133,144,0.271984,0.170819,0.101165
small_business,48,168,0.098160,0.199288,-0.101129
healthcare,215,289,0.439673,0.342823,0.096850
end,165,203,0.337423,0.240807,0.096617
she,148,174,0.302658,0.206406,0.096253
veteran,20,114,0.040900,0.135231,-0.094332
his,121,287,0.247444,0.340451,-0.093007
legislation,169,213,0.345603,0.252669,0.092934
success,60,179,0.122699,0.212337,-0.089638
black,117,127,0.239264,0.150652,0.088611
today,100,247,0.204499,0.293001,-0.088502
opportunity,136,309,0.278119,0.366548,-0.088429
dsa,48,9,0.098160,0.010676,0.087483
technology,35,134,0.071575,0.158956,-0.087381
council,137,309,0.280164,0.366548,-0.086384
machine,78,62,0.159509,0.073547,0.085962
tenant,84,74,0.171779,0.087782,0.083997
crisis,158,202,0.323108,0.239620,0.083488
growth,36,131,0.073620,0.155397,-0.081778
service,201,415,0.411043,0.492289,-0.081246
great,52,158,0.106339,0.187426,-0.081086
