feature,endorsed_count,opponent_count,z_score,favored_group
human_right,49,10,6.832386,endorsed
tenant,44,18,5.949495,endorsed
rent_control,36,8,5.840200,endorsed
single_payer,32,9,5.412475,endorsed
social_housing,29,4,5.212467,endorsed
eviction,30,10,5.121684,endorsed
guarantee,32,15,4.882962,endorsed
living_wage,31,15,4.757052,endorsed
medicare_for_all,40,27,4.676783,endorsed
rent,43,32,4.574754,endorsed
profit,22,5,4.560104,endorsed
movement,20,4,4.364849,endorsed
worker,79,89,4.257123,endorsed
healthcare,108,141,4.009307,endorsed
union,42,39,3.816212,endorsed
ordinance,21,11,3.806511,endorsed
business,13,89,-3.799800,opponent
corporate,27,19,3.750833,endorsed
public_housing,19,9,3.749214,endorsed
minimum_wage,32,26,3.714314,endorsed
power,35,32,3.531845,endorsed
stabilization,16,7,3.523058,endorsed
black,18,10,3.443220,endorsed
corporation,24,18,3.399153,endorsed
single_payer healthcare,12,2,3.377983,endorsed
massive,12,3,3.348442,endorsed
rent stabilization,15,7,3.346741,endorsed
working_class,19,12,3.336844,endorsed
small_business,6,54,-3.262063,opponent
healthcare human_right,12,4,3.238280,endorsed
jail,16,9,3.229430,endorsed
universal,38,40,3.198107,endorsed
maybe,11,3,3.182309,endorsed
coalition,13,6,3.126179,endorsed
we're,36,38,3.102956,endorsed
root,12,5,3.090939,endorsed
green_new_deal,25,22,3.083771,endorsed
fully funding,11,4,3.051921,endorsed
raise minimum_wage,10,3,3.001821,endorsed
owned,14,8,3.000566,endorsed
wealthy,12,6,2.925855,endorsed
permanently,9,2,2.918968,endorsed
industry,21,18,2.887363,endorsed
organizer,9,1,2.857569,endorsed
organizing,9,1,2.857569,endorsed
population,9,1,2.857569,endorsed
fuel industry,10,4,2.850123,endorsed
sick,10,4,2.850123,endorsed
institution,9,3,2.804295,endorsed
premium,9,3,2.804295,endorsed
statewide,9,3,2.804295,endorsed
comprehensive healthcare,8,2,2.733828,endorsed
free point,8,2,2.733828,endorsed
strike,8,2,2.733828,endorsed
